Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Март, 2013, тыс. рублей;Февраль, 2013, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;13 987 430 215,00;13 795 990 088,00;191 440 127,00;1,39
2;0;ВТБ;1000;Санкт-Петербург и обл.;4 463 599 728,00;4 291 726 251,00;171 873 477,00;4,00
3;0;Газпромбанк;354;Москва и обл.;2 844 414 931,00;2 843 557 323,00;857 608,00;0,03
4;0;Россельхозбанк;3349;Москва и обл.;1 685 785 217,00;1 647 148 686,00;38 636 531,00;2,35
5;0;ВТБ 24;1623;Москва и обл.;1 543 242 683,00;1 499 116 601,00;44 126 082,00;2,94
6;0;БМ-Банк;2748;Москва и обл.;1 468 055 325,00;1 485 592 406,00;-17 537 081,00;-1,18
7;0;Альфа-Банк;1326;Москва и обл.;1 315 389 329,00;1 257 151 126,00;58 238 203,00;4,63
8;0;ЮниКредит Банк;1;Москва и обл.;800 735 164,00;744 457 903,00;56 277 261,00;7,56
9;0;Росбанк;2272;Москва и обл.;733 592 438,00;681 338 323,00;52 254 115,00;7,67
10;0;Промсвязьбанк;3251;Москва и обл.;668 779 158,00;672 645 785,00;-3 866 627,00;-0,57
11;1;Банк Открытие;2209;Москва и обл.;640 508 041,00;611 866 309,00;28 641 732,00;4,68
12;-1;Райффайзенбанк;3292;Москва и обл.;619 979 213,00;613 960 678,00;6 018 535,00;0,98
13;0;Транскредитбанк;2142;Москва и обл.;490 934 042,00;504 430 097,00;-13 496 055,00;-2,68
14;0;Банк Уралсиб;30;Москва и обл.;427 971 491,00;429 134 835,00;-1 163 344,00;-0,27
15;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;370 799 845,00;364 191 070,00;6 608 775,00;1,81
16;0;МДМ Банк;2562;Новосибирская обл.;349 793 731,00;349 162 424,00;631 307,00;0,18
17;1;Хоум Кредит Банк;316;Москва и обл.;347 707 883,00;336 181 403,00;11 526 480,00;3,43
18;-1;Ак Барс;2590;Татарстан;341 082 956,00;336 299 676,00;4 783 280,00;1,42
19;2;Русский Стандарт;2289;Москва и обл.;334 230 850,00;311 171 558,00;23 059 292,00;7,41
20;2;Московский Кредитный Банк;1978;Москва и обл.;322 421 570,00;308 361 793,00;14 059 777,00;4,56
21;-1;Россия;328;Санкт-Петербург и обл.;311 052 263,00;315 201 223,00;-4 148 960,00;-1,32
22;-3;Ситибанк;2557;Москва и обл.;300 823 439,00;323 852 973,00;-23 029 534,00;-7,11
23;0;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;279 758 750,00;274 937 390,00;4 821 360,00;1,75
24;0;Связь-Банк;1470;Москва и обл.;267 940 979,00;269 672 772,00;-1 731 793,00;-0,64
25;0;Петрокоммерц;1776;Москва и обл.;240 913 567,00;251 959 550,00;-11 045 983,00;-4,38
26;0;Нордеа Банк;3016;Москва и обл.;237 059 307,00;234 873 476,00;2 185 831,00;0,93
27;0;Восточный Банк;1460;Амурская обл.;236 947 945,00;231 523 628,00;5 424 317,00;2,34
28;0;Банк Зенит;3255;Москва и обл.;228 815 927,00;225 883 170,00;2 932 757,00;1,30
29;1;Возрождение;1439;Москва и обл.;222 716 550,00;219 890 216,00;2 826 334,00;1,29
30;-1;Глобэкс;1942;Москва и обл.;222 651 972,00;223 741 251,00;-1 089 279,00;-0,49
31;2;Национальный Клиринговый Центр;3466;Москва и обл.;204 291 171,00;190 642 133,00;13 649 038,00;7,16
32;0;Банк «Открытие»;2179;Москва и обл.;194 509 102,00;195 181 581,00;-672 479,00;-0,34
33;-2;ИНГ Банк;2495;Москва и обл.;189 737 838,00;213 183 125,00;-23 445 287,00;-11,00
34;0;Траст;3279;Москва и обл.;181 365 735,00;182 251 894,00;-886 159,00;-0,49
35;0;Московский Индустриальный Банк;912;Москва и обл.;172 651 394,00;168 153 274,00;4 498 120,00;2,68
36;1;ОТП Банк;2766;Москва и обл.;166 179 262,00;159 856 369,00;6 322 893,00;3,96
37;-1;МТС Банк;2268;Москва и обл.;163 299 073,00;162 300 090,00;998 983,00;0,62
38;0;Бинбанк;323;Москва и обл.;161 440 759,00;159 172 124,00;2 268 635,00;1,43
39;2;Дойче Банк;3328;Москва и обл.;156 023 468,00;136 757 247,00;19 266 221,00;14,09
40;-1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;145 577 730,00;147 359 450,00;-1 781 720,00;-1,21
41;-1;СМП Банк;3368;Москва и обл.;138 747 199,00;137 083 125,00;1 664 074,00;1,21
42;1;СКБ-Банк;705;Свердловская обл.;132 089 050,00;129 463 371,00;2 625 679,00;2,03
43;1;Новикомбанк;2546;Москва и обл.;127 022 808,00;122 513 977,00;4 508 831,00;3,68
44;-2;Национальный Расчетный Депозитарий;3294;Москва и обл.;123 421 357,00;134 321 708,00;-10 900 351,00;-8,12
45;0;Транскапиталбанк;2210;Москва и обл.;123 086 264,00;120 346 699,00;2 739 565,00;2,28
46;0;Кредит Европа Банк;3311;Москва и обл.;122 460 548,00;117 518 124,00;4 942 424,00;4,21
47;0;Внешпромбанк;3261;Москва и обл.;120 637 697,00;116 746 157,00;3 891 540,00;3,33
48;1;РосЕвроБанк;3137;Москва и обл.;115 366 928,00;112 061 565,00;3 305 363,00;2,95
49;-1;МСП Банк;3340;Москва и обл.;114 711 627,00;114 431 732,00;279 895,00;0,24
50;1;Инвестторгбанк;2763;Москва и обл.;111 037 702,00;107 403 844,00;3 633 858,00;3,38
51;-1;Пробизнесбанк;2412;Москва и обл.;109 892 581,00;109 373 907,00;518 674,00;0,47
52;2;Авангард;2879;Москва и обл.;107 461 765,00;105 093 270,00;2 368 495,00;2,25
53;0;Татфондбанк;3058;Татарстан;107 209 299,00;106 226 412,00;982 887,00;0,93
54;-2;Абсолют Банк;2306;Москва и обл.;105 423 556,00;106 617 336,00;-1 193 780,00;-1,12
55;0;Русфинанс Банк;1792;Самарская обл.;103 382 411,00;105 090 236,00;-1 707 825,00;-1,63
56;0;РГС Банк;3073;Москва и обл.;102 726 103,00;101 345 763,00;1 380 340,00;1,36
57;1;Совкомбанк;963;Костромская обл.;101 851 639,00;98 539 784,00;3 311 855,00;3,36
58;2;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;98 023 042,00;92 239 404,00;5 783 638,00;6,27
59;-2;Банк ДОМ.РФ;2312;Москва и обл.;97 073 106,00;99 759 439,00;-2 686 333,00;-2,69
60;1;Ренессанс Кредит;3354;Москва и обл.;94 165 620,00;91 832 313,00;2 333 307,00;2,54
61;3;Еврофинанс Моснарбанк;2402;Москва и обл.;90 907 587,00;85 630 225,00;5 277 362,00;6,16
62;0;БНП Париба Банк;3407;Москва и обл.;88 782 739,00;90 180 333,00;-1 397 594,00;-1,55
63;0;КИТ Финанс Инвестиционный Банк;1911;Санкт-Петербург и обл.;86 907 149,00;87 254 560,00;-347 411,00;-0,40
64;3;Запсибкомбанк;918;Тюменская обл.;85 681 683,00;83 645 521,00;2 036 162,00;2,43
65;13;ЦентроКредит;121;Москва и обл.;85 004 675,00;72 864 900,00;12 139 775,00;16,66
66;-1;Юниаструм Банк;2771;Москва и обл.;84 531 194,00;84 911 128,00;-379 934,00;-0,45
67;8;Тинькофф Банк;2673;Москва и обл.;84 479 601,00;76 436 853,00;8 042 748,00;10,52
68;0;Балтийский Банк;128;Москва и обл.;83 869 549,00;82 960 663,00;908 886,00;1,10
69;2;Банк Интеза;2216;Москва и обл.;83 627 463,00;80 233 634,00;3 393 829,00;4,23
70;0;Пересвет;2110;Москва и обл.;83 326 121,00;80 236 049,00;3 090 072,00;3,85
71;6;Нота-Банк;2913;Москва и обл.;82 509 605,00;74 086 835,00;8 422 770,00;11,37
72;-3;ДельтаКредит;3338;Москва и обл.;81 761 446,00;80 244 715,00;1 516 731,00;1,89
73;-1;Союз;2307;Москва и обл.;80 469 928,00;79 289 651,00;1 180 277,00;1,49
74;-1;Связной Банк;1961;Москва и обл.;79 662 320,00;78 583 976,00;1 078 344,00;1,37
75;-1;Мастер-Банк;2176;Москва и обл.;78 665 334,00;77 888 782,00;776 552,00;1,00
76;-17;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;74 207 763,00;93 101 795,00;-18 894 032,00;-20,29
77;2;Локо-Банк;2707;Москва и обл.;73 619 033,00;71 663 688,00;1 955 345,00;2,73
78;2;Собинбанк;1317;Москва и обл.;72 563 006,00;69 672 288,00;2 890 718,00;4,15
