Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Сентябрь, 2017, тыс. рублей;Август, 2017, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;23 337 804 132,00;23 322 666 077,00;15 138 055,00;0,06
2;0;ВТБ;1000;Санкт-Петербург и обл.;9 278 574 632,00;9 220 312 364,00;58 262 268,00;0,63
3;0;Газпромбанк;354;Москва и обл.;5 363 245 991,00;5 478 300 501,00;-115 054 510,00;-2,10
4;0;ВТБ 24;1623;Москва и обл.;3 449 761 456,00;3 462 992 307,00;-13 230 851,00;-0,38
5;0;Россельхозбанк;3349;Москва и обл.;2 940 426 455,00;2 898 712 724,00;41 713 731,00;1,44
6;1;Национальный Клиринговый Центр;3466;Москва и обл.;2 843 087 036,00;2 655 660 650,00;187 426 386,00;7,06
7;-1;Альфа-Банк;1326;Москва и обл.;2 780 625 134,00;2 666 208 894,00;114 416 240,00;4,29
8;0;Банк Открытие;2209;Москва и обл.;2 651 684 616,00;2 323 873 824,00;327 810 792,00;14,11
9;0;Московский Кредитный Банк;1978;Москва и обл.;1 704 647 202,00;1 723 910 563,00;-19 263 361,00;-1,12
10;0;Промсвязьбанк;3251;Москва и обл.;1 339 214 888,00;1 299 597 298,00;39 617 590,00;3,05
11;1;ЮниКредит Банк;1;Москва и обл.;1 155 496 848,00;1 165 421 158,00;-9 924 310,00;-0,85
12;-1;Бинбанк;323;Москва и обл.;1 121 511 725,00;1 176 179 502,00;-54 667 777,00;-4,65
13;1;Райффайзенбанк;3292;Москва и обл.;854 155 244,00;841 688 153,00;12 467 091,00;1,48
14;-1;Росбанк;2272;Москва и обл.;853 048 255,00;858 120 503,00;-5 072 248,00;-0,59
15;0;Россия;328;Санкт-Петербург и обл.;778 340 622,00;768 468 288,00;9 872 334,00;1,28
16;0;Рост Банк;2888;Москва и обл.;710 456 662,00;675 179 654,00;35 277 008,00;5,22
17;0;Совкомбанк;963;Костромская обл.;615 515 832,00;618 780 365,00;-3 264 533,00;-0,53
18;0;БМ-Банк;2748;Москва и обл.;613 401 330,00;612 444 990,00;956 340,00;0,16
19;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;568 577 904,00;575 876 956,00;-7 299 052,00;-1,27
20;0;Банк Уралсиб;30;Москва и обл.;524 932 730,00;522 329 477,00;2 603 253,00;0,50
21;0;Московский Областной Банк;1751;Москва и обл.;518 051 698,00;517 860 863,00;190 835,00;0,04
22;0;Ситибанк;2557;Москва и обл.;476 039 221,00;483 769 922,00;-7 730 701,00;-1,60
23;0;Ак Барс;2590;Татарстан;462 664 150,00;475 017 208,00;-12 353 058,00;-2,60
24;0;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;402 284 119,00;404 565 588,00;-2 281 469,00;-0,56
25;0;Русский Стандарт;2289;Москва и обл.;398 361 159,00;403 429 357,00;-5 068 198,00;-1,26
26;0;Банк ДОМ.РФ;2312;Москва и обл.;377 134 525,00;388 036 743,00;-10 902 218,00;-2,81
27;0;СМП Банк;3368;Москва и обл.;336 229 271,00;343 951 251,00;-7 721 980,00;-2,25
28;0;Всероссийский Банк Развития Регионов;3287;Москва и обл.;328 065 832,00;309 144 246,00;18 921 586,00;6,12
29;2;Новикомбанк;2546;Москва и обл.;287 575 319,00;273 748 977,00;13 826 342,00;5,05
30;-1;Восточный Банк;1460;Амурская обл.;278 114 589,00;278 618 080,00;-503 491,00;-0,18
31;-1;Московский Индустриальный Банк;912;Москва и обл.;271 706 549,00;274 160 275,00;-2 453 726,00;-0,89
32;2;Связь-Банк;1470;Москва и обл.;257 098 034,00;249 913 314,00;7 184 720,00;2,87
33;0;Возрождение;1439;Москва и обл.;256 805 033,00;253 405 836,00;3 399 197,00;1,34
34;1;Тинькофф Банк;2673;Москва и обл.;256 450 695,00;247 278 119,00;9 172 576,00;3,71
35;-3;Абсолют Банк;2306;Москва и обл.;249 499 735,00;259 622 950,00;-10 123 215,00;-3,90
36;2;Хоум Кредит Банк;316;Москва и обл.;241 470 101,00;227 339 857,00;14 130 244,00;6,22
37;-1;Банк Зенит;3255;Москва и обл.;239 697 093,00;245 360 255,00;-5 663 162,00;-2,31
38;-1;Пересвет;2110;Москва и обл.;229 923 619,00;230 222 057,00;-298 438,00;-0,13
39;0;ИНГ Банк;2495;Москва и обл.;227 583 758,00;213 628 176,00;13 955 582,00;6,53
40;0;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;227 333 862,00;205 670 775,00;21 663 087,00;10,53
41;2;Почта Банк;650;Москва и обл.;218 303 972,00;201 160 053,00;17 143 919,00;8,52
42;-1;Транскапиталбанк;2210;Москва и обл.;206 054 979,00;204 009 537,00;2 045 442,00;1,00
43;-1;Нордеа Банк;3016;Москва и обл.;199 786 068,00;202 157 789,00;-2 371 721,00;-1,17
