Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2019, тыс. рублей;Октябрь, 2019, тыс. рублей;Изменение, тыс. рублей;Изменение, %
28;1;Русский Стандарт;2289;Москва и обл.;336 576 161,00;334 591 194,00;1 984 967,00;0,59
29;-1;Банк ДОМ.РФ;2312;Москва и обл.;296 403 901,00;340 141 001,00;-43 737 100,00;-12,86
30;4;Абсолют Банк;2306;Москва и обл.;284 977 856,00;271 772 611,00;13 205 245,00;4,86
31;1;Связь-Банк;1470;Москва и обл.;284 098 417,00;275 610 973,00;8 487 444,00;3,08
32;-1;Возрождение;1439;Москва и обл.;283 886 142,00;294 103 419,00;-10 217 277,00;-3,47
33;-3;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;282 991 477,00;295 440 574,00;-12 449 097,00;-4,21
34;-1;Хоум Кредит Банк;316;Москва и обл.;270 695 219,00;275 367 011,00;-4 671 792,00;-1,70
35;2;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;244 558 064,00;238 126 570,00;6 431 494,00;2,70
36;0;Банк Зенит;3255;Москва и обл.;244 395 281,00;245 720 161,00;-1 324 880,00;-0,54
37;-2;Восточный Банк;1460;Амурская обл.;244 027 090,00;255 168 399,00;-11 141 309,00;-4,37
38;1;ИНГ Банк;2495;Москва и обл.;235 520 790,00;205 316 085,00;30 204 705,00;14,71
39;-1;Национальный Расчетный Депозитарий;3294;Москва и обл.;220 272 335,00;210 526 211,00;9 746 124,00;4,63
40;0;РНКБ;1354;Симферополь;202 047 816,00;204 269 974,00;-2 222 158,00;-1,09
41;0;Инвестторгбанк;2763;Москва и обл.;198 966 409,00;199 344 203,00;-377 794,00;-0,19
42;0;МТС Банк;2268;Москва и обл.;190 338 910,00;192 120 294,00;-1 781 384,00;-0,93
43;1;Ренессанс Кредит;3354;Москва и обл.;181 885 321,00;179 273 812,00;2 611 509,00;1,46
44;-1;ОТП Банк;2766;Москва и обл.;173 441 487,00;179 920 625,00;-6 479 138,00;-3,60
45;0;Экспресс-Волга;3085;Костромская обл.;170 293 642,00;171 421 933,00;-1 128 291,00;-0,66
46;0;Транскапиталбанк;2210;Москва и обл.;165 705 798,00;159 656 762,00;6 049 036,00;3,79
47;0;Русфинанс Банк;1792;Самарская обл.;162 386 601,00;158 316 834,00;4 069 767,00;2,57
48;0;Кредит Европа Банк;3311;Москва и обл.;154 054 660,00;156 783 550,00;-2 728 890,00;-1,74
49;0;Сетелем Банк;2168;Москва и обл.;149 002 211,00;149 021 553,00;-19 342,00;-0,01
50;2;Росэксимбанк;2790;Москва и обл.;146 315 869,00;130 583 478,00;15 732 391,00;12,05
51;-1;Запсибкомбанк;918;Тюменская обл.;137 416 097,00;138 450 277,00;-1 034 180,00;-0,75
52;2;Роскосмосбанк;2989;Москва и обл.;132 136 878,00;128 130 780,00;4 006 098,00;3,13
53;0;Авангард;2879;Москва и обл.;131 756 949,00;128 336 569,00;3 420 380,00;2,67
54;-3;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;131 097 882,00;133 131 947,00;-2 034 065,00;-1,53
55;0;Центр-инвест;2225;Ростовская обл.;123 933 479,00;123 760 033,00;173 446,00;0,14
56;0;Банк Финсервис;3388;Москва и обл.;122 150 648,00;121 942 298,00;208 350,00;0,17
57;4;ЦентроКредит;121;Москва и обл.;120 806 353,00;109 217 799,00;11 588 554,00;10,61
58;7;Локо-Банк;2707;Москва и обл.;119 889 683,00;99 992 665,00;19 897 018,00;19,90
59;-1;ВУЗ-Банк;1557;Свердловская обл.;118 532 206,00;113 831 664,00;4 700 542,00;4,13
60;0;Таврический Банк;2304;Санкт-Петербург и обл.;115 225 704,00;109 459 689,00;5 766 015,00;5,27
61;3;Союз;2307;Москва и обл.;112 712 588,00;107 393 128,00;5 319 460,00;4,95
62;-3;Аверс;415;Татарстан;112 232 013,00;109 786 217,00;2 445 796,00;2,23
63;-6;МСП Банк;3340;Москва и обл.;111 885 924,00;117 821 219,00;-5 935 295,00;-5,04
64;-1;Кубань Кредит;2518;Краснодарский край;110 909 155,00;108 583 682,00;2 325 473,00;2,14
65;2;Металлинвестбанк;2440;Москва и обл.;104 132 389,00;97 198 195,00;6 934 194,00;7,13
66;-4;РН Банк;170;Москва и обл.;103 498 823,00;108 701 862,00;-5 203 039,00;-4,79
67;41;Банк Кредит Свисс;2494;Москва и обл.;97 431 661,00;41 872 774,00;55 558 887,00;132,68
68;0;СКБ-Банк;705;Свердловская обл.;93 748 794,00;95 220 500,00;-1 471 706,00;-1,55
69;0;Экспобанк;2998;Москва и обл.;93 126 751,00;85 877 682,00;7 249 069,00;8,44
70;0;Дойче Банк;3328;Москва и обл.;87 158 099,00;85 469 296,00;1 688 803,00;1,98
71;2;Тойота Банк;3470;Москва и обл.;78 956 685,00;77 398 402,00;1 558 283,00;2,01
72;2;Балтинвестбанк;3176;Санкт-Петербург и обл.;77 153 598,00;76 354 077,00;799 521,00;1,05
73;3;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;74 396 160,00;68 665 722,00;5 730 438,00;8,35
74;-3;Мидзухо Банк;3337;Москва и обл.;73 289 648,00;84 017 934,00;-10 728 286,00;-12,77
75;-9;Нордеа Банк;3016;Москва и обл.;72 632 338,00;98 605 110,00;-25 972 772,00;-26,34
76;-4;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;71 959 803,00;77 803 519,00;-5 843 716,00;-7,51
77;-2;БКС Банк;101;Москва и обл.;70 678 335,00;70 993 945,00;-315 610,00;-0,44
78;0;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;68 387 728,00;65 489 147,00;2 898 581,00;4,43
79;1;Левобережный;1343;Новосибирская обл.;67 044 837,00;64 993 933,00;2 050 904,00;3,16
80;-1;Примсоцбанк;2733;Приморский край;66 199 051,00;65 472 433,00;726 618,00;1,11
81;0;СДМ-Банк;1637;Москва и обл.;64 841 834,00;64 423 370,00;418 464,00;0,65
82;-5;Эм-Ю-Эф-Джи Банк (Евразия);3465;Москва и обл.;63 645 271,00;66 807 433,00;-3 162 162,00;-4,73
83;5;СЭБ Банк;3235;Санкт-Петербург и обл.;62 216 333,00;57 211 485,00;5 004 848,00;8,75
84;0;Банк Интеза;2216;Москва и обл.;61 881 389,00;59 442 228,00;2 439 161,00;4,10
85;7;Коммерцбанк (Евразия);3333;Москва и обл.;60 737 503,00;54 796 579,00;5 940 924,00;10,84
86;-4;Крайинвестбанк;3360;Краснодарский край;60 499 696,00;61 101 990,00;-602 294,00;-0,99
87;-2;Севергазбанк;2816;Вологодская обл.;60 054 440,00;59 343 913,00;710 527,00;1,20
88;-5;ББР Банк;2929;Москва и обл.;58 540 620,00;59 998 068,00;-1 457 448,00;-2,43
89;-2;АйСиБиСи Банк;3475;Москва и обл.;58 255 256,00;57 454 679,00;800 577,00;1,39
90;-4;РГС Банк;3073;Москва и обл.;57 553 877,00;58 243 156,00;-689 279,00;-1,18
91;-1;Челиндбанк;485;Челябинская обл.;56 800 594,00;55 793 420,00;1 007 174,00;1,81
92;-3;Энерготрансбанк;1307;Калининградская обл.;56 775 967,00;56 519 766,00;256 201,00;0,45
93;-2;Фора-Банк;1885;Москва и обл.;55 951 826,00;54 806 624,00;1 145 202,00;2,09
94;0;Челябинвестбанк;493;Челябинская обл.;54 338 070,00;54 246 480,00;91 590,00;0,17
95;-2;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;54 198 420,00;54 426 641,00;-228 221,00;-0,42
96;-1;Аресбанк;2914;Москва и обл.;53 307 895,00;52 099 055,00;1 208 840,00;2,32
97;-1;Генбанк;2490;Симферополь;51 884 671,00;52 061 123,00;-176 452,00;-0,34
98;-1;Газэнергобанк;3252;Калужская обл.;49 100 414,00;49 009 236,00;91 178,00;0,19
99;1;Киви Банк;2241;Москва и обл.;47 481 105,00;48 223 292,00;-742 187,00;-1,54
100;-1;БНП Париба Банк;3407;Москва и обл.;47 309 177,00;48 746 248,00;-1 437 071,00;-2,95
101;0;Саровбизнесбанк;2048;Нижегородская обл.;46 395 247,00;46 421 052,00;-25 805,00;-0,06
102;0;Бэнк оф Чайна;2309;Москва и обл.;44 521 756,00;44 031 288,00;490 468,00;1,11
103;1;БМВ Банк;3482;Москва и обл.;44 507 793,00;43 638 699,00;869 094,00;1,99
104;-6;Фольксваген Банк Рус;3500;Москва и обл.;44 417 928,00;48 779 362,00;-4 361 434,00;-8,94
105;1;Солидарность;554;Самарская обл.;43 833 330,00;42 724 066,00;1 109 264,00;2,60
106;1;Объединенный Капитал;2611;Санкт-Петербург и обл.;43 585 594,00;42 556 342,00;1 029 252,00;2,42
107;-4;Платежный Центр;3166;Новосибирская обл.;43 397 286,00;43 894 590,00;-497 304,00;-1,13
108;-3;Мир Бизнес Банк;3396;Москва и обл.;41 971 535,00;43 022 989,00;-1 051 454,00;-2,44
109;1;БыстроБанк;1745;Удмуртия;39 098 430,00;38 747 404,00;351 026,00;0,91
110;1;Международный Финансовый Клуб;2618;Москва и обл.;38 597 633,00;38 140 859,00;456 774,00;1,20
111;1;Кольцо Урала;65;Свердловская обл.;38 165 795,00;37 619 523,00;546 272,00;1,45
112;-3;Дальневосточный Банк;843;Приморский край;37 672 850,00;41 154 867,00;-3 482 017,00;-8,46
113;0;Дж. П. Морган Банк;2629;Москва и обл.;37 127 343,00;36 090 067,00;1 037 276,00;2,87
114;0;Интерпрогрессбанк;600;Москва и обл.;36 575 433,00;34 902 753,00;1 672 680,00;4,79
115;0;Приморье;3001;Приморский край;35 179 314,00;34 893 747,00;285 567,00;0,82
116;1;Девон-Кредит;1972;Татарстан;34 561 115,00;33 979 764,00;581 351,00;1,71
117;-1;Кредит Урал Банк;2584;Челябинская обл.;33 167 400,00;34 487 936,00;-1 320 536,00;-3,83
118;0;НС Банк;3124;Москва и обл.;31 510 548,00;32 054 599,00;-544 051,00;-1,70
119;2;Национальный Стандарт;3421;Москва и обл.;31 387 182,00;30 137 854,00;1 249 328,00;4,15
120;0;Квантмобайл Банк;1189;Москва и обл.;31 171 769,00;30 371 219,00;800 550,00;2,64
121;11;ЦМРБанк;3531;Москва и обл.;30 689 664,00;24 782 190,00;5 907 474,00;23,84
122;0;Алмазэргиэнбанк;2602;Саха (Якутия);30 370 172,00;29 932 739,00;437 433,00;1,46
123;0;МС Банк Рус;2789;Москва и обл.;29 458 502,00;28 374 876,00;1 083 626,00;3,82
124;0;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;27 363 825,00;27 749 692,00;-385 867,00;-1,39
125;35;Голдман Сакс Банк;3490;Москва и обл.;26 873 307,00;16 114 033,00;10 759 274,00;66,77
126;1;Курскпромбанк;735;Курская обл.;26 487 764,00;26 345 028,00;142 736,00;0,54
127;1;Урал ФД;249;Пермская обл.;26 142 451,00;26 029 409,00;113 042,00;0,43
128;-3;Ланта-Банк;1920;Москва и обл.;26 059 099,00;26 941 353,00;-882 254,00;-3,27
129;2;Акибанк;2587;Татарстан;25 455 032,00;24 793 485,00;661 547,00;2,67
130;-4;Интерпромбанк;3266;Москва и обл.;25 433 753,00;26 448 588,00;-1 014 835,00;-3,84
131;-1;Мерседес-Бенц Банк Рус;3473;Москва и обл.;25 386 483,00;24 970 694,00;415 789,00;1,67
132;-13;Натиксис Банк;3390;Москва и обл.;25 370 635,00;31 771 889,00;-6 401 254,00;-20,15
133;-4;Экономбанк;1319;Саратовская обл.;25 014 519,00;25 400 939,00;-386 420,00;-1,52
134;-1;Хлынов;254;Кировская обл.;24 773 979,00;24 708 402,00;65 577,00;0,27
135;-1;Энергобанк;67;Татарстан;23 821 165,00;24 268 191,00;-447 026,00;-1,84
136;-1;Держава;2738;Москва и обл.;23 566 311,00;22 940 893,00;625 418,00;2,73
137;2;Джей энд Ти Банк;3061;Москва и обл.;22 583 869,00;20 236 386,00;2 347 483,00;11,60
138;8;Кошелев-Банк;3300;Самарская обл.;22 060 211,00;18 579 651,00;3 480 560,00;18,73
139;-3;Банк Акцепт;567;Новосибирская обл.;21 646 587,00;21 408 345,00;238 242,00;1,11
140;-2;НБД-Банк;1966;Нижегородская обл.;20 860 116,00;20 733 017,00;127 099,00;0,61
141;-4;Чайна Констракшн;3515;Москва и обл.;20 354 927,00;21 097 539,00;-742 612,00;-3,52
142;0;Пойдем!;2534;Москва и обл.;19 921 280,00;19 835 140,00;86 140,00;0,43
143;-2;Москоммерцбанк;3365;Москва и обл.;19 874 834,00;19 994 460,00;-119 626,00;-0,60
144;-1;Татсоцбанк;480;Татарстан;19 871 412,00;19 355 554,00;515 858,00;2,67
145;-5;Тольяттихимбанк;2507;Самарская обл.;19 766 993,00;20 234 192,00;-467 199,00;-2,31
146;-2;Агропромкредит;2880;Москва и обл.;19 342 436,00;19 288 784,00;53 652,00;0,28
147;-2;Модульбанк;1927;Костромская обл.;19 199 513,00;18 605 315,00;594 198,00;3,19
148;2;Александровский;53;Санкт-Петербург и обл.;18 244 134,00;18 061 262,00;182 872,00;1,01
149;0;Инбанк;1829;Москва и обл.;18 061 490,00;18 147 516,00;-86 026,00;-0,47
150;7;Ишбанк;2867;Москва и обл.;17 709 278,00;16 783 205,00;926 073,00;5,52
151;7;РосДорБанк;1573;Москва и обл.;17 529 792,00;16 464 162,00;1 065 630,00;6,47
152;1;Алеф-Банк;2119;Москва и обл.;17 414 833,00;17 405 928,00;8 905,00;0,05
153;-1;Прио-Внешторгбанк;212;Рязанская обл.;17 390 159,00;17 507 762,00;-117 603,00;-0,67
154;-3;Московское Ипотечное Агентство;3344;Москва и обл.;17 383 571,00;17 722 066,00;-338 495,00;-1,91
155;-7;Ури Банк;3479;Москва и обл.;16 857 363,00;18 156 315,00;-1 298 952,00;-7,15
156;-1;Национальная Факторинговая Компания;3437;Москва и обл.;16 804 583,00;17 300 443,00;-495 860,00;-2,87
157;-3;Липецккомбанк;1242;Липецкая обл.;16 773 861,00;17 343 596,00;-569 735,00;-3,28
158;-11;Денизбанк Москва;3330;Москва и обл.;16 609 028,00;18 193 766,00;-1 584 738,00;-8,71
159;-3;Морской Банк;77;Москва и обл.;16 365 987,00;16 865 374,00;-499 387,00;-2,96
160;1;Норвик Банк;902;Кировская обл.;16 234 863,00;16 066 541,00;168 322,00;1,05
161;22;РЕСО Кредит;3450;Москва и обл.;16 156 877,00;11 851 015,00;4 305 862,00;36,33
162;63;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;16 126 827,00;6 628 361,00;9 498 466,00;143,30
163;-4;Развитие-Столица;3013;Москва и обл.;16 018 127,00;16 442 796,00;-424 669,00;-2,58
164;-2;Форштадт;2208;Оренбургская обл.;15 680 930,00;15 571 792,00;109 138,00;0,70
165;-1;Финанс Бизнес Банк;520;Москва и обл.;15 462 274,00;14 133 319,00;1 328 955,00;9,40
166;-3;НК Банк;2755;Москва и обл.;15 095 728,00;14 735 840,00;359 888,00;2,44
167;-2;Гарант-Инвест;2576;Москва и обл.;14 627 995,00;14 092 176,00;535 819,00;3,80
168;11;Чайнасельхозбанк;3529;Москва и обл.;14 378 085,00;12 018 781,00;2 359 304,00;19,63
169;-3;Банк Казани;708;Татарстан;13 864 370,00;14 089 562,00;-225 192,00;-1,60
170;1;Руснарбанк;3403;Москва и обл.;13 457 384,00;13 316 894,00;140 490,00;1,05
171;-2;Реалист Банк;1067;Москва и обл.;13 080 800,00;13 382 231,00;-301 431,00;-2,25
172;-2;Собинбанк;1317;Москва и обл.;13 062 542,00;13 349 130,00;-286 588,00;-2,15
173;3;ТЭМБР-Банк;2764;Москва и обл.;13 026 611,00;12 406 439,00;620 172,00;5,00
174;-7;Национальный Резервный Банк;2170;Москва и обл.;12 990 934,00;13 456 279,00;-465 345,00;-3,46
175;-1;КС Банк;1752;Мордовия;12 985 618,00;12 926 495,00;59 123,00;0,46
176;-4;Консервативный Коммерческий Банк;1087;Астраханская обл.;12 965 478,00;13 133 568,00;-168 090,00;-1,28
177;4;Эс-Би-Ай Банк;3185;Москва и обл.;12 892 730,00;11 985 700,00;907 030,00;7,57
178;-3;Нижневолжский Коммерческий Банк;931;Саратовская обл.;12 693 536,00;12 779 480,00;-85 944,00;-0,67
179;-6;НИКО-Банк;702;Оренбургская обл.;12 579 825,00;12 997 173,00;-417 348,00;-3,21
180;5;Промтрансбанк;2638;Башкортостан;12 511 976,00;11 829 243,00;682 733,00;5,77
181;-4;Банк Оренбург;3269;Оренбургская обл.;12 385 822,00;12 304 160,00;81 662,00;0,66
182;0;Снежинский;1376;Челябинская обл.;12 142 398,00;11 946 033,00;196 365,00;1,64
183;-3;ЮMoney;3510;Россия;12 034 973,00;11 997 388,00;37 585,00;0,31
184;0;Юг-Инвестбанк;2772;Краснодарский край;11 956 377,00;11 842 565,00;113 812,00;0,96
185;-7;Датабанк;646;Удмуртия;11 880 900,00;12 210 678,00;-329 778,00;-2,70
186;-18;Инкахран;3454;Москва и обл.;11 591 486,00;13 408 536,00;-1 817 050,00;-13,55
187;3;КЭБ ЭйчЭнБи Банк;3525;Москва и обл.;11 545 155,00;10 872 421,00;672 734,00;6,19
188;-2;Актив Банк;2529;Мордовия;11 480 835,00;11 689 394,00;-208 559,00;-1,78
189;-1;Нацинвестпромбанк;3077;Москва и обл.;11 317 005,00;11 243 438,00;73 567,00;0,65
190;-1;МБА-Москва;3395;Москва и обл.;10 707 755,00;11 020 551,00;-312 796,00;-2,84
191;0;Русьуниверсалбанк;3293;Москва и обл.;10 619 353,00;10 706 625,00;-87 272,00;-0,82
192;2;Банк Жилищного Финансирования;3138;Москва и обл.;10 489 635,00;10 261 268,00;228 367,00;2,23
193;5;Углеметбанк;2997;Челябинская обл.;10 412 937,00;8 997 240,00;1 415 697,00;15,73
194;-7;Банк БКФ;2684;Москва и обл.;10 401 550,00;11 287 140,00;-885 590,00;-7,85
195;-3;Банк Раунд;2506;Москва и обл.;10 324 608,00;10 651 754,00;-327 146,00;-3,07
196;3;Морган Стэнли Банк;3456;Москва и обл.;10 154 309,00;8 850 503,00;1 303 806,00;14,73
197;-1;Энергомашбанк;52;Санкт-Петербург и обл.;9 982 970,00;9 672 957,00;310 013,00;3,20
198;-5;Екатеринбург;3161;Свердловская обл.;9 923 180,00;10 314 679,00;-391 499,00;-3,80
199;-4;Солид Банк;1329;Приморский край;9 742 716,00;10 231 407,00;-488 691,00;-4,78
200;-3;Автоторгбанк;2776;Москва и обл.;9 354 765,00;9 262 191,00;92 574,00;1,00
201;32;Финам Банк;2799;Москва и обл.;9 160 417,00;6 205 776,00;2 954 641,00;47,61
202;-2;Томскпромстройбанк;1720;Томская обл.;8 812 166,00;8 642 668,00;169 498,00;1,96
203;-2;Хакасский Муниципальный Банк;1049;Хакасия;8 550 020,00;8 549 319,00;701,00;0,01
204;0;Кранбанк;2271;Ивановская обл.;8 396 712,00;8 277 589,00;119 123,00;1,44
205;-3;Нейва;1293;Свердловская обл.;8 379 056,00;8 438 578,00;-59 522,00;-0,71
206;-3;Вокбанк;312;Нижегородская обл.;8 307 353,00;8 330 557,00;-23 204,00;-0,28
207;12;Итуруп;2390;Сахалинская обл.;8 129 428,00;6 799 341,00;1 330 087,00;19,56
208;-3;Кузнецкбизнесбанк;1158;Кемеровская обл.;8 100 019,00;8 048 636,00;51 383,00;0,64
209;-3;Эксперт Банк;2949;Омская обл.;8 083 974,00;8 030 099,00;53 875,00;0,67
210;3;Ростфинанс;481;Ростовская обл.;7 771 427,00;7 627 077,00;144 350,00;1,89
211;-3;Белгородсоцбанк;760;Белгородская обл.;7 771 131,00;7 824 969,00;-53 838,00;-0,69
212;-2;Трансстройбанк;2807;Москва и обл.;7 672 144,00;7 753 733,00;-81 589,00;-1,05
213;-4;Северный Народный Банк;2721;Коми;7 430 660,00;7 766 042,00;-335 382,00;-4,32
214;-2;Ставропольпромстройбанк;1288;Ставропольский край;7 364 311,00;7 660 552,00;-296 241,00;-3,87
215;1;Новобанк;1352;Новгородская обл.;7 340 814,00;6 987 187,00;353 627,00;5,06
216;7;Зираат Банк;2559;Москва и обл.;7 328 750,00;6 658 856,00;669 894,00;10,06
217;-10;Сити Инвест Банк;3194;Санкт-Петербург и обл.;7 299 050,00;7 874 183,00;-575 133,00;-7,30
218;-4;Сибсоцбанк;2015;Алтайский край;7 236 755,00;7 267 341,00;-30 586,00;-0,42
219;1;Банк Оранжевый;1659;Санкт-Петербург и обл.;7 058 746,00;6 747 499,00;311 247,00;4,61
220;-5;Черноморский банк развития и реконструкции;3527;Симферополь;6 984 377,00;6 993 782,00;-9 405,00;-0,13
221;-4;Ю Би Эс Банк;3463;Москва и обл.;6 984 241,00;6 901 794,00;82 447,00;1,19
222;-4;Агророс;2860;Саратовская обл.;6 796 456,00;6 852 813,00;-56 357,00;-0,82
223;-2;Гута-Банк;256;Москва и обл.;6 778 538,00;6 700 353,00;78 185,00;1,17
224;3;Кузнецкий;609;Пензенская обл.;6 612 057,00;6 561 586,00;50 471,00;0,77
225;-1;Проминвестбанк;2433;Москва и обл.;6 545 927,00;6 655 381,00;-109 454,00;-1,64
226;-4;Нефтепромбанк;2156;Москва и обл.;6 499 664,00;6 687 700,00;-188 036,00;-2,81
227;-1;Славия;2664;Москва и обл.;6 494 057,00;6 593 077,00;-99 020,00;-1,50
228;0;ФорБанк;2063;Москва и обл.;6 488 330,00;6 510 733,00;-22 403,00;-0,34
229;3;Автоградбанк;1455;Татарстан;6 440 929,00;6 407 233,00;33 696,00;0,53
230;1;Земский Банк;2900;Самарская обл.;6 367 456,00;6 409 596,00;-42 140,00;-0,66
231;-20;Московский Нефтехимический Банк;1411;Москва и обл.;6 266 388,00;7 742 134,00;-1 475 746,00;-19,06
232;-2;Венец;524;Ульяновская обл.;6 185 648,00;6 437 618,00;-251 970,00;-3,91
233;-4;СИАБ;3245;Санкт-Петербург и обл.;6 098 546,00;6 494 350,00;-395 804,00;-6,09
234;4;Енисейский Объединенный Банк;2645;Красноярский край;5 991 106,00;5 761 803,00;229 303,00;3,98
235;-1;Индустриальный Сберегательный Банк;3175;Москва и обл.;5 829 510,00;6 161 068,00;-331 558,00;-5,38
236;1;Газтрансбанк;665;Краснодарский край;5 797 065,00;5 792 441,00;4 624,00;0,08
237;-1;Русь;704;Оренбургская обл.;5 751 392,00;5 858 895,00;-107 503,00;-1,83
238;3;Кубаньторгбанк;478;Краснодарский край;5 663 049,00;5 677 831,00;-14 782,00;-0,26
239;3;Муниципальный Камчатпрофитбанк;2103;Камчатская обл.;5 436 465,00;5 617 128,00;-180 663,00;-3,22
240;-1;Зенит Сочи;232;Краснодарский край;5 334 649,00;5 696 237,00;-361 588,00;-6,35
241;5;Москва-Сити;3247;Москва и обл.;5 168 185,00;5 007 848,00;160 337,00;3,20
242;-2;Альба Альянс;2593;Москва и обл.;5 165 158,00;5 678 456,00;-513 298,00;-9,04
243;4;Роял Кредит Банк;783;Приморский край;5 132 667,00;4 870 108,00;262 559,00;5,39
244;1;Стройлесбанк;2995;Тюменская обл.;5 007 031,00;5 046 731,00;-39 700,00;-0,79
245;-2;Азия-Инвест Банк;3303;Москва и обл.;4 950 726,00;5 517 991,00;-567 265,00;-10,28
246;2;Заубер Банк;1614;Санкт-Петербург и обл.;4 812 232,00;4 696 045,00;116 187,00;2,47
247;4;Икано Банк;3519;Москва и обл.;4 649 544,00;4 627 789,00;21 755,00;0,47
248;-4;Нэклис-Банк;1671;Москва и обл.;4 632 449,00;5 204 056,00;-571 607,00;-10,98
249;1;Севастопольский Морской Банк;3528;Севастополь;4 559 649,00;4 663 456,00;-103 807,00;-2,23
250;4;Мегаполис;3265;Чувашия;4 491 383,00;4 492 552,00;-1 169,00;-0,03
251;6;Камский Коммерческий Банк;438;Татарстан;4 463 231,00;4 348 346,00;114 885,00;2,64
252;0;Горбанк;2982;Санкт-Петербург и обл.;4 412 402,00;4 561 929,00;-149 527,00;-3,28
253;0;Чувашкредитпромбанк;1280;Чувашия;4 375 971,00;4 506 869,00;-130 898,00;-2,90
254;-5;НОКССбанк;3202;Волгоградская обл.;4 370 793,00;4 685 330,00;-314 537,00;-6,71
255;3;Крокус-Банк;2682;Москва и обл.;4 275 281,00;4 315 022,00;-39 741,00;-0,92
256;6;Братский АНКБ;1144;Иркутская обл.;4 252 100,00;4 171 729,00;80 371,00;1,93
257;2;Московский Коммерческий Банк;3172;Москва и обл.;4 161 559,00;4 288 180,00;-126 621,00;-2,95
258;7;Бланк Банк;2368;Москва и обл.;4 127 843,00;4 051 576,00;76 267,00;1,88
