Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2019, тыс. рублей;Октябрь, 2019, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;29 148 887 965,00;29 335 801 862,00;-186 913 897,00;-0,64
2;0;ВТБ;1000;Санкт-Петербург и обл.;14 547 709 036,00;14 557 742 143,00;-10 033 107,00;-0,07
3;0;Газпромбанк;354;Москва и обл.;6 385 232 472,00;6 224 964 344,00;160 268 128,00;2,57
4;0;Национальный Клиринговый Центр;3466;Москва и обл.;3 624 819 693,00;3 618 873 892,00;5 945 801,00;0,16
5;0;Альфа-Банк;1326;Москва и обл.;3 566 836 402,00;3 511 293 671,00;55 542 731,00;1,58
6;0;Россельхозбанк;3349;Москва и обл.;3 352 194 124,00;3 441 088 627,00;-88 894 503,00;-2,58
7;0;Банк Открытие;2209;Москва и обл.;2 488 164 320,00;2 504 755 865,00;-16 591 545,00;-0,66
8;0;Московский Кредитный Банк;1978;Москва и обл.;2 283 893 000,00;2 277 291 484,00;6 601 516,00;0,29
9;0;Траст;3279;Москва и обл.;1 452 618 868,00;1 464 361 637,00;-11 742 769,00;-0,80
10;0;ЮниКредит Банк;1;Москва и обл.;1 386 736 686,00;1 405 685 191,00;-18 948 505,00;-1,35
11;1;Райффайзенбанк;3292;Москва и обл.;1 226 000 596,00;1 186 015 550,00;39 985 046,00;3,37
12;-1;Росбанк;2272;Москва и обл.;1 216 797 367,00;1 210 624 112,00;6 173 255,00;0,51
13;0;Совкомбанк;963;Костромская обл.;1 146 815 471,00;1 083 329 259,00;63 486 212,00;5,86
14;0;Россия;328;Санкт-Петербург и обл.;987 285 036,00;1 011 227 865,00;-23 942 829,00;-2,37
15;1;Всероссийский Банк Развития Регионов;3287;Москва и обл.;758 738 623,00;667 598 839,00;91 139 784,00;13,65
16;-1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;695 403 953,00;686 769 588,00;8 634 365,00;1,26
17;0;Ак Барс;2590;Татарстан;611 033 205,00;576 731 031,00;34 302 174,00;5,95
18;3;Тинькофф Банк;2673;Москва и обл.;561 824 730,00;534 755 414,00;27 069 316,00;5,06
19;1;Ситибанк;2557;Москва и обл.;559 441 884,00;537 725 232,00;21 716 652,00;4,04
20;-2;Банк Уралсиб;30;Москва и обл.;555 658 908,00;567 646 256,00;-11 987 348,00;-2,11
21;-2;Московский Областной Банк;1751;Москва и обл.;538 739 746,00;563 865 658,00;-25 125 912,00;-4,46
22;1;БМ-Банк;2748;Москва и обл.;508 946 452,00;507 295 580,00;1 650 872,00;0,33
23;-1;Почта Банк;650;Москва и обл.;498 643 320,00;511 304 044,00;-12 660 724,00;-2,48
24;0;СМП Банк;3368;Москва и обл.;456 813 140,00;481 124 193,00;-24 311 053,00;-5,05
25;0;Новикомбанк;2546;Москва и обл.;456 109 757,00;468 854 270,00;-12 744 513,00;-2,72
26;0;Московский Индустриальный Банк;912;Москва и обл.;429 391 299,00;428 066 649,00;1 324 650,00;0,31
27;0;Пересвет;2110;Москва и обл.;347 959 868,00;344 254 138,00;3 705 730,00;1,08
