Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Май, 2015, тыс. рублей;Апрель, 2015, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;20 573 849 231,00;21 237 691 913,00;-663 842 682,00;-3,13
2;0;ВТБ;1000;Санкт-Петербург и обл.;7 590 041 163,00;8 156 424 414,00;-566 383 251,00;-6,94
3;0;Газпромбанк;354;Москва и обл.;4 568 031 351,00;4 677 355 894,00;-109 324 543,00;-2,34
4;0;ВТБ 24;1623;Москва и обл.;2 674 032 640,00;2 667 937 293,00;6 095 347,00;0,23
5;1;Банк Открытие;2209;Москва и обл.;2 343 371 510,00;2 225 626 579,00;117 744 931,00;5,29
6;-1;Россельхозбанк;3349;Москва и обл.;2 208 969 332,00;2 273 555 301,00;-64 585 969,00;-2,84
7;0;Альфа-Банк;1326;Москва и обл.;1 941 088 301,00;2 066 791 936,00;-125 703 635,00;-6,08
8;0;БМ-Банк;2748;Москва и обл.;1 901 156 568,00;1 986 368 301,00;-85 211 733,00;-4,29
9;0;Национальный Клиринговый Центр;3466;Москва и обл.;1 598 167 132,00;1 540 048 869,00;58 118 263,00;3,77
10;0;ЮниКредит Банк;1;Москва и обл.;1 188 652 499,00;1 321 734 936,00;-133 082 437,00;-10,07
11;0;Промсвязьбанк;3251;Москва и обл.;1 059 253 824,00;1 082 386 019,00;-23 132 195,00;-2,14
12;0;Росбанк;2272;Москва и обл.;881 581 981,00;956 301 403,00;-74 719 422,00;-7,81
13;0;Райффайзенбанк;3292;Москва и обл.;833 488 516,00;855 490 463,00;-22 001 947,00;-2,57
14;0;Ханты-Мансийский банк Открытие;1971;Москва и обл.;710 988 311,00;696 050 244,00;14 938 067,00;2,15
15;0;Московский Кредитный Банк;1978;Москва и обл.;673 968 399,00;598 973 455,00;74 994 944,00;12,52
16;1;Россия;328;Санкт-Петербург и обл.;510 275 762,00;507 202 550,00;3 073 212,00;0,61
17;-1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;509 291 703,00;544 271 009,00;-34 979 306,00;-6,43
18;0;Бинбанк;323;Москва и обл.;502 475 652,00;491 617 083,00;10 858 569,00;2,21
19;0;Ак Барс;2590;Татарстан;465 036 371,00;477 226 534,00;-12 190 163,00;-2,55
20;0;Русский Стандарт;2289;Москва и обл.;444 609 495,00;475 385 749,00;-30 776 254,00;-6,47
21;1;Ситибанк;2557;Москва и обл.;375 651 486,00;393 449 270,00;-17 797 784,00;-4,52
22;2;МДМ Банк;2562;Москва и обл.;368 511 119,00;383 997 384,00;-15 486 265,00;-4,03
23;0;Связь-Банк;1470;Москва и обл.;368 486 539,00;389 510 641,00;-21 024 102,00;-5,40
24;1;Банк Уралсиб;30;Москва и обл.;357 131 546,00;367 028 583,00;-9 897 037,00;-2,70
25;4;Московский Областной Банк;1751;Москва и обл.;340 882 976,00;313 265 670,00;27 617 306,00;8,82
26;-5;Нордеа Банк;3016;Москва и обл.;333 872 084,00;395 762 974,00;-61 890 890,00;-15,64
27;0;Траст;3279;Москва и обл.;331 671 941,00;335 843 586,00;-4 171 645,00;-1,24
28;0;Хоум Кредит Банк;316;Москва и обл.;311 731 800,00;319 810 325,00;-8 078 525,00;-2,53
29;-3;ИНГ Банк;2495;Москва и обл.;307 376 816,00;347 334 089,00;-39 957 273,00;-11,50
30;3;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;288 756 134,00;272 813 853,00;15 942 281,00;5,84
31;0;Банк Зенит;3255;Москва и обл.;282 521 260,00;286 848 151,00;-4 326 891,00;-1,51
32;-2;Глобэкс;1942;Москва и обл.;280 788 805,00;296 884 253,00;-16 095 448,00;-5,42
33;-1;СМП Банк;3368;Москва и обл.;273 477 850,00;275 465 947,00;-1 988 097,00;-0,72
34;1;Совкомбанк;963;Костромская обл.;257 943 668,00;255 392 277,00;2 551 391,00;1,00
35;3;Восточный Банк;1460;Амурская обл.;247 168 402,00;246 614 848,00;553 554,00;0,22
36;-2;Новикомбанк;2546;Москва и обл.;246 382 987,00;255 439 798,00;-9 056 811,00;-3,55
37;-1;Внешпромбанк;3261;Москва и обл.;245 728 823,00;253 071 096,00;-7 342 273,00;-2,90
38;-1;Петрокоммерц;1776;Москва и обл.;242 975 489,00;247 903 162,00;-4 927 673,00;-1,99
39;1;Югра;880;Ханты-Мансийский АО — Югра;242 194 702,00;231 119 785,00;11 074 917,00;4,79
40;1;Абсолют Банк;2306;Москва и обл.;232 317 527,00;228 197 377,00;4 120 150,00;1,81
41;-2;Возрождение;1439;Москва и обл.;228 033 872,00;231 642 023,00;-3 608 151,00;-1,56
42;7;Рост Банк;2888;Москва и обл.;219 677 413,00;160 798 274,00;58 879 139,00;36,62
43;-1;Московский Индустриальный Банк;912;Москва и обл.;215 178 645,00;215 049 155,00;129 490,00;0,06
44;-1;Банк ДОМ.РФ;2312;Москва и обл.;201 668 636,00;198 264 082,00;3 404 554,00;1,72
45;-1;МТС Банк;2268;Москва и обл.;170 957 848,00;181 821 898,00;-10 864 050,00;-5,98
46;0;Татфондбанк;3058;Татарстан;170 741 451,00;171 576 624,00;-835 173,00;-0,49
47;0;Транскапиталбанк;2210;Москва и обл.;166 649 135,00;163 896 571,00;2 752 564,00;1,68
48;0;Российский Кредит;324;Москва и обл.;164 077 811,00;161 679 417,00;2 398 394,00;1,48
49;-4;ОТП Банк;2766;Москва и обл.;159 570 880,00;174 695 912,00;-15 125 032,00;-8,66
50;0;Кредит Европа Банк;3311;Москва и обл.;156 044 954,00;155 106 064,00;938 890,00;0,61
51;2;Тинькофф Банк;2673;Москва и обл.;140 965 810,00;142 319 653,00;-1 353 843,00;-0,95
52;4;РосЕвроБанк;3137;Москва и обл.;139 656 793,00;138 331 398,00;1 325 395,00;0,96
53;-2;Национальный Расчетный Депозитарий;3294;Москва и обл.;138 683 440,00;152 586 064,00;-13 902 624,00;-9,11
54;1;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;136 331 872,00;139 931 681,00;-3 599 809,00;-2,57
55;3;МСП Банк;3340;Москва и обл.;136 260 994,00;136 029 840,00;231 154,00;0,17
56;-4;Ренессанс Кредит;3354;Москва и обл.;135 490 233,00;143 307 212,00;-7 816 979,00;-5,45
57;-3;ДельтаКредит;3338;Москва и обл.;133 929 633,00;141 835 344,00;-7 905 711,00;-5,57
58;-1;Пробизнесбанк;2412;Москва и обл.;133 297 969,00;137 929 917,00;-4 631 948,00;-3,36
59;3;Пересвет;2110;Москва и обл.;129 512 302,00;120 342 004,00;9 170 298,00;7,62
60;-1;РГС Банк;3073;Москва и обл.;128 591 209,00;131 456 951,00;-2 865 742,00;-2,18
61;-1;Инвестторгбанк;2763;Москва и обл.;123 465 229,00;126 817 000,00;-3 351 771,00;-2,64
62;-1;Авангард;2879;Москва и обл.;120 471 035,00;122 659 046,00;-2 188 011,00;-1,78
63;0;СКБ-Банк;705;Свердловская обл.;113 459 116,00;114 340 906,00;-881 790,00;-0,77
64;0;Русфинанс Банк;1792;Самарская обл.;112 059 181,00;113 790 691,00;-1 731 510,00;-1,52
65;3;Запсибкомбанк;918;Тюменская обл.;99 318 072,00;99 532 078,00;-214 006,00;-0,22
66;1;Сетелем Банк;2168;Москва и обл.;99 101 795,00;99 669 362,00;-567 567,00;-0,57
67;-1;Балтийский Банк;128;Санкт-Петербург и обл.;98 846 661,00;100 246 061,00;-1 399 400,00;-1,40
68;-3;Международный Финансовый Клуб;2618;Москва и обл.;98 629 171,00;105 499 470,00;-6 870 299,00;-6,51
69;0;БНП Париба Банк;3407;Москва и обл.;95 206 413,00;99 189 884,00;-3 983 471,00;-4,02
70;7;Дойче Банк;3328;Москва и обл.;94 213 275,00;87 722 728,00;6 490 547,00;7,40
71;0;Всероссийский Банк Развития Регионов;3287;Москва и обл.;93 788 775,00;95 686 638,00;-1 897 863,00;-1,98
