Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Май, 2015, тыс. рублей;Апрель, 2015, тыс. рублей;Изменение, тыс. рублей;Изменение, %
72;1;Центр-инвест;2225;Ростовская обл.;93 167 623,00;92 797 068,00;370 555,00;0,40
73;1;Банк БФА;3038;Санкт-Петербург и обл.;90 722 272,00;90 811 155,00;-88 883,00;-0,10
74;8;Локо-Банк;2707;Москва и обл.;88 900 963,00;82 304 369,00;6 596 594,00;8,01
75;-3;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;86 077 325,00;93 242 179,00;-7 164 854,00;-7,68
76;-6;ЦентроКредит;121;Москва и обл.;84 471 022,00;99 187 342,00;-14 716 320,00;-14,84
77;-1;Металлинвестбанк;2440;Москва и обл.;83 766 675,00;87 912 235,00;-4 145 560,00;-4,72
78;3;Интеркоммерц Банк;1657;Москва и обл.;82 771 912,00;82 372 137,00;399 775,00;0,49
79;4;Союз;2307;Москва и обл.;81 359 951,00;82 144 134,00;-784 183,00;-0,95
80;-2;Нота-Банк;2913;Москва и обл.;81 159 053,00;83 968 756,00;-2 809 703,00;-3,35
81;4;Балтинвестбанк;3176;Санкт-Петербург и обл.;79 826 319,00;79 891 197,00;-64 878,00;-0,08
82;-7;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;77 485 397,00;88 463 000,00;-10 977 603,00;-12,41
83;-4;Банк Интеза;2216;Москва и обл.;73 852 402,00;83 406 144,00;-9 553 742,00;-11,45
84;0;Роскосмосбанк;2989;Москва и обл.;73 801 960,00;80 616 996,00;-6 815 036,00;-8,45
85;1;РосинтерБанк;226;Москва и обл.;71 714 262,00;72 629 132,00;-914 870,00;-1,26
86;1;Бинбанк Диджитал;2827;Москва и обл.;68 637 718,00;70 281 394,00;-1 643 676,00;-2,34
87;22;Таврический Банк;2304;Санкт-Петербург и обл.;66 059 454,00;47 936 678,00;18 122 776,00;37,81
88;5;Военно-Промышленный Банк;3065;Москва и обл.;64 522 954,00;58 109 328,00;6 413 626,00;11,04
89;10;Экспобанк;2998;Москва и обл.;60 841 369,00;55 106 379,00;5 734 990,00;10,41
90;7;Почта Банк;650;Москва и обл.;58 813 735,00;57 242 397,00;1 571 338,00;2,75
91;4;Юниаструм Банк;2771;Москва и обл.;58 479 412,00;57 759 804,00;719 608,00;1,25
92;0;Банк Финсервис;3388;Москва и обл.;57 818 169,00;59 058 753,00;-1 240 584,00;-2,10
93;5;Первобанк;3461;Самарская обл.;57 614 993,00;56 703 419,00;911 574,00;1,61
94;8;Росэнергобанк;2211;Москва и обл.;57 214 113,00;53 859 138,00;3 354 975,00;6,23
95;-7;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;57 170 565,00;65 109 409,00;-7 938 844,00;-12,19
96;-2;Тойота Банк;3470;Москва и обл.;56 542 975,00;57 797 693,00;-1 254 718,00;-2,17
97;-1;БФГ-Кредит;3068;Москва и обл.;56 361 422,00;57 730 580,00;-1 369 158,00;-2,37
98;3;Кубань Кредит;2518;Краснодарский край;54 881 460,00;54 572 552,00;308 908,00;0,57
99;-8;Транспортный;3174;Москва и обл.;52 360 963,00;59 874 057,00;-7 513 094,00;-12,55
100;-11;Национальный Стандарт;3421;Москва и обл.;52 044 698,00;64 152 935,00;-12 108 237,00;-18,87
101;3;Экспресс-Волга;3085;Саратовская обл.;51 524 372,00;52 637 643,00;-1 113 271,00;-2,11
102;4;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;50 976 808,00;50 728 056,00;248 752,00;0,49
103;5;Образование;1521;Москва и обл.;50 471 303,00;48 332 568,00;2 138 735,00;4,43
104;-14;Финпромбанк (ФПБ Банк);2157;Москва и обл.;49 368 248,00;64 044 669,00;-14 676 421,00;-22,92
105;-2;АйСиБиСи Банк;3475;Москва и обл.;47 500 120,00;52 790 911,00;-5 290 791,00;-10,02
106;9;Мосстройэкономбанк (М Банк);948;Москва и обл.;45 816 859,00;42 387 170,00;3 429 689,00;8,09
107;6;Межтопэнергобанк;2956;Москва и обл.;44 578 128,00;44 238 615,00;339 513,00;0,77
108;-1;Коммерцбанк (Евразия);3333;Москва и обл.;43 554 599,00;49 151 030,00;-5 596 431,00;-11,39
109;-4;Еврофинанс Моснарбанк;2402;Москва и обл.;43 460 168,00;51 668 542,00;-8 208 374,00;-15,89
110;0;МБА-Москва;3395;Москва и обл.;42 727 307,00;47 225 699,00;-4 498 392,00;-9,53
111;0;Фора-Банк;1885;Москва и обл.;42 526 597,00;46 168 503,00;-3 641 906,00;-7,89
112;0;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;42 288 059,00;45 797 860,00;-3 509 801,00;-7,66
113;3;Крайинвестбанк;3360;Краснодарский край;41 114 547,00;41 827 435,00;-712 888,00;-1,70
114;-34;Экспо Финанс;2594;Москва и обл.;40 910 849,00;82 539 334,00;-41 628 485,00;-50,43
115;19;БКС Банк;101;Новосибирская обл.;40 255 869,00;35 298 602,00;4 957 267,00;14,04
116;7;Аверс;415;Татарстан;39 869 446,00;39 296 098,00;573 348,00;1,46
117;5;Челиндбанк;485;Челябинская обл.;39 430 774,00;39 322 572,00;108 202,00;0,28
118;-1;СДМ-Банк;1637;Москва и обл.;39 035 926,00;41 556 194,00;-2 520 268,00;-6,06
119;2;Челябинвестбанк;493;Челябинская обл.;38 929 815,00;39 759 801,00;-829 986,00;-2,09
120;6;Фольксваген Банк Рус;3500;Москва и обл.;38 917 979,00;38 079 301,00;838 678,00;2,20
121;-3;Интерпромбанк;3266;Москва и обл.;38 729 694,00;41 425 746,00;-2 696 052,00;-6,51
122;2;Кольцо Урала;65;Свердловская обл.;38 360 917,00;39 091 692,00;-730 775,00;-1,87
123;5;Примсоцбанк;2733;Приморский край;37 634 492,00;37 787 187,00;-152 695,00;-0,40
124;-10;Собинбанк;1317;Москва и обл.;37 622 699,00;44 034 582,00;-6 411 883,00;-14,56
125;4;Интерпрогрессбанк;600;Москва и обл.;37 030 934,00;36 601 981,00;428 953,00;1,17
126;-26;Связной Банк;1961;Москва и обл.;36 903 343,00;54 846 986,00;-17 943 643,00;-32,72
127;0;Меткомбанк (Череповец);901;Вологодская обл.;36 383 299,00;37 969 638,00;-1 586 339,00;-4,18
128;4;ПЧРБ Банк;3291;Москва и обл.;36 322 089,00;35 747 513,00;574 576,00;1,61
129;1;Русстройбанк;3205;Москва и обл.;36 134 827,00;35 982 601,00;152 226,00;0,42
130;-5;Русский Международный Банк;3123;Москва и обл.;36 108 643,00;39 074 537,00;-2 965 894,00;-7,59
131;-11;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;35 856 377,00;40 291 723,00;-4 435 346,00;-11,01
132;-13;Банк РСБ 24 (Русславбанк);1073;Москва и обл.;35 766 593,00;40 445 385,00;-4 678 792,00;-11,57
133;0;Саровбизнесбанк;2048;Нижегородская обл.;35 653 321,00;35 407 022,00;246 299,00;0,70
134;1;НС Банк;3124;Москва и обл.;35 284 201,00;34 922 199,00;362 002,00;1,04
135;1;Левобережный;1343;Новосибирская обл.;34 744 105,00;34 380 949,00;363 156,00;1,06
136;1;Банк «Советский»;558;Санкт-Петербург и обл.;34 665 935,00;33 970 345,00;695 590,00;2,05
137;-6;ББР Банк;2929;Москва и обл.;34 353 409,00;35 886 716,00;-1 533 307,00;-4,27
138;10;РН Банк;170;Москва и обл.;34 155 324,00;28 161 575,00;5 993 749,00;21,28
139;-1;Севергазбанк;2816;Вологодская обл.;33 434 752,00;33 505 099,00;-70 347,00;-0,21
140;-1;Натиксис Банк;3390;Москва и обл.;32 288 774,00;33 093 020,00;-804 246,00;-2,43
141;-1;Газбанк;2316;Самарская обл.;31 499 523,00;32 328 618,00;-829 095,00;-2,56
142;3;РНКБ;1354;Симферополь;31 033 751,00;29 607 875,00;1 425 876,00;4,82
143;-1;БыстроБанк;1745;Удмуртия;30 826 740,00;31 781 579,00;-954 839,00;-3,00
144;0;Банк АВБ;23;Самарская обл.;30 458 182,00;30 263 701,00;194 481,00;0,64
145;-4;Держава;2738;Москва и обл.;29 406 768,00;32 009 595,00;-2 602 827,00;-8,13
146;0;Кедр;1574;Красноярский край;29 375 211,00;29 554 292,00;-179 081,00;-0,61
147;0;Дальневосточный Банк;843;Приморский край;29 252 055,00;29 120 116,00;131 939,00;0,45
148;3;Балтика;967;Москва и обл.;28 527 632,00;27 079 195,00;1 448 437,00;5,35
149;-6;М2М Прайвет Банк;1414;Москва и обл.;28 124 984,00;30 747 148,00;-2 622 164,00;-8,53
150;2;Интехбанк;2705;Татарстан;27 921 053,00;26 941 391,00;979 662,00;3,64
151;-2;Приморье;3001;Приморский край;27 381 899,00;27 898 414,00;-516 515,00;-1,85
152;-2;Кредит Урал Банк;2584;Челябинская обл.;27 258 593,00;27 546 021,00;-287 428,00;-1,04
153;0;Акибанк;2587;Татарстан;25 792 733,00;26 181 003,00;-388 270,00;-1,48
154;4;АктивКапитал Банк;3006;Самарская обл.;25 316 501,00;24 221 494,00;1 095 007,00;4,52
155;2;Липецккомбанк;1242;Липецкая обл.;25 201 914,00;25 109 407,00;92 507,00;0,37
156;-2;Тольяттихимбанк;2507;Самарская обл.;24 610 224,00;26 030 327,00;-1 420 103,00;-5,46
157;-1;Модульбанк;1927;Костромская обл.;24 561 554,00;25 544 388,00;-982 834,00;-3,85
158;14;Анталбанк;3115;Москва и обл.;24 494 835,00;22 598 461,00;1 896 374,00;8,39
159;11;Мерседес-Бенц Банк Рус;3473;Москва и обл.;24 177 905,00;22 983 153,00;1 194 752,00;5,20
160;0;Девон-Кредит;1972;Татарстан;24 036 729,00;24 136 107,00;-99 378,00;-0,41
161;-6;Москоммерцбанк;3365;Москва и обл.;24 027 385,00;25 715 954,00;-1 688 569,00;-6,57
162;6;Тимер Банк;1581;Татарстан;24 006 503,00;23 255 242,00;751 261,00;3,23
163;4;Морской Банк;77;Москва и обл.;23 434 436,00;23 396 201,00;38 235,00;0,16
164;10;Банк Кредит Свисс;2494;Москва и обл.;23 380 204,00;22 121 324,00;1 258 880,00;5,69
165;-4;Агропромкредит;2880;Москва и обл.;23 139 523,00;23 983 942,00;-844 419,00;-3,52
166;3;Газэнергобанк;3252;Калужская обл.;22 896 373,00;23 138 875,00;-242 502,00;-1,05
167;-5;Урал ФД;249;Пермская обл.;22 810 908,00;23 963 014,00;-1 152 106,00;-4,81
168;5;АйМаниБанк;1975;Москва и обл.;22 631 814,00;22 402 939,00;228 875,00;1,02
169;20;Платежный Центр;3166;Новосибирская обл.;22 611 057,00;18 491 116,00;4 119 941,00;22,28
170;-6;Бэнк оф Чайна;2309;Москва и обл.;22 594 972,00;23 793 950,00;-1 198 978,00;-5,04
171;-8;ОФК Банк;2270;Москва и обл.;21 749 230,00;23 915 439,00;-2 166 209,00;-9,06
172;3;ФИА-Банк;2542;Самарская обл.;21 600 943,00;21 915 950,00;-315 007,00;-1,44
173;15;Русьуниверсалбанк;3293;Москва и обл.;21 412 351,00;18 836 900,00;2 575 451,00;13,67
174;-8;Альта-Банк;2269;Москва и обл.;21 369 480,00;23 519 603,00;-2 150 123,00;-9,14
175;-4;Спурт Банк;2207;Татарстан;21 148 095,00;22 875 221,00;-1 727 126,00;-7,55
176;0;Легион;3117;Москва и обл.;21 011 902,00;21 677 406,00;-665 504,00;-3,07
177;1;Солидарность;554;Самарская обл.;20 972 998,00;21 541 539,00;-568 541,00;-2,64
178;-13;Московское Ипотечное Агентство;3344;Москва и обл.;20 674 378,00;23 707 048,00;-3 032 670,00;-12,79
179;4;Алмазэргиэнбанк;2602;Саха (Якутия);20 448 506,00;20 236 885,00;211 621,00;1,05
180;-1;Ланта-Банк;1920;Москва и обл.;20 080 960,00;21 523 203,00;-1 442 243,00;-6,70
181;-1;Морган Стэнли Банк;3456;Москва и обл.;19 630 148,00;21 170 632,00;-1 540 484,00;-7,28
182;4;Генбанк;2490;Москва и обл.;19 440 662,00;19 335 833,00;104 829,00;0,54
183;-1;Энергобанк;67;Татарстан;19 420 554,00;20 268 654,00;-848 100,00;-4,18
184;-25;МАСТ-Банк;3267;Москва и обл.;19 376 671,00;24 167 374,00;-4 790 703,00;-19,82
185;0;БМВ Банк;3482;Москва и обл.;19 152 443,00;19 736 119,00;-583 676,00;-2,96
186;1;НБД-Банк;1966;Нижегородская обл.;19 036 537,00;18 950 459,00;86 078,00;0,45
187;8;Чайна Констракшн;3515;Москва и обл.;19 021 069,00;17 827 617,00;1 193 452,00;6,69
188;-4;Нацинвестпромбанк;3077;Москва и обл.;18 461 949,00;19 972 212,00;-1 510 263,00;-7,56
189;4;Денизбанк Москва;3330;Москва и обл.;18 182 970,00;18 026 394,00;156 576,00;0,87
190;0;АМБ Банк;3036;Москва и обл.;18 075 576,00;18 234 340,00;-158 764,00;-0,87
191;1;Тусар;2712;Москва и обл.;18 029 594,00;18 097 773,00;-68 179,00;-0,38
192;9;Банк Город;2644;Москва и обл.;17 953 938,00;16 664 497,00;1 289 441,00;7,74
193;4;Курскпромбанк;735;Курская обл.;17 567 547,00;17 730 044,00;-162 497,00;-0,92
194;2;Рублев;3098;Москва и обл.;17 324 625,00;17 826 123,00;-501 498,00;-2,81
195;-14;Аресбанк;2914;Москва и обл.;17 196 897,00;20 646 688,00;-3 449 791,00;-16,71
196;-2;Алеф-Банк;2119;Москва и обл.;17 076 036,00;17 879 838,00;-803 802,00;-4,50
197;2;СтарБанк;548;Москва и обл.;16 902 883,00;16 894 836,00;8 047,00;0,05
198;2;Клиентский;2324;Москва и обл.;16 608 719,00;16 736 138,00;-127 419,00;-0,76
199;-8;Росэксимбанк;2790;Москва и обл.;16 322 007,00;18 143 055,00;-1 821 048,00;-10,04
200;8;Энерготрансбанк;1307;Калининградская обл.;16 262 343,00;15 654 876,00;607 467,00;3,88
201;-3;Расчетно-Кредитный Банк;103;Москва и обл.;15 905 922,00;17 552 292,00;-1 646 370,00;-9,38
202;0;Норвик Банк;902;Кировская обл.;15 709 725,00;16 348 797,00;-639 072,00;-3,91
203;9;Хлынов;254;Кировская обл.;15 635 868,00;15 404 264,00;231 604,00;1,50
204;1;Уралтрансбанк;812;Свердловская обл.;15 615 905,00;15 888 495,00;-272 590,00;-1,72
205;12;Дил-Банк;3384;Москва и обл.;15 542 658,00;14 856 409,00;686 249,00;4,62
206;-2;Квантмобайл Банк;1189;Москва и обл.;15 478 738,00;16 203 153,00;-724 415,00;-4,47
207;-4;Форштадт;2208;Оренбургская обл.;15 472 548,00;16 328 129,00;-855 581,00;-5,24
208;2;ГПБ-Ипотека;2403;Москва и обл.;15 308 110,00;15 535 599,00;-227 489,00;-1,46
209;-2;Национальный Резервный Банк;2170;Москва и обл.;15 290 140,00;15 753 882,00;-463 742,00;-2,94
210;-4;Инвесткапиталбанк;2377;Башкортостан;15 235 201,00;15 774 852,00;-539 651,00;-3,42
211;-2;Развитие-Столица;3013;Москва и обл.;15 054 101,00;15 622 387,00;-568 286,00;-3,64
212;4;Объединенный Капитал;2611;Санкт-Петербург и обл.;14 872 786,00;14 955 121,00;-82 335,00;-0,55
213;6;Роскомснаббанк (бывш. Башкомснаббанк);1398;Башкортостан;14 861 506,00;14 521 793,00;339 713,00;2,34
214;17;Социнвестбанк;1132;Башкортостан;14 732 271,00;13 608 042,00;1 124 229,00;8,26
215;12;Русский Ипотечный Банк;1968;Москва и обл.;14 678 943,00;13 779 630,00;899 313,00;6,53
216;12;РосДорБанк;1573;Москва и обл.;14 616 848,00;13 762 705,00;854 143,00;6,21
217;-3;Гранд Инвест Банк;3053;Москва и обл.;14 428 229,00;15 057 841,00;-629 612,00;-4,18
218;18;Ури Банк;3479;Москва и обл.;14 413 760,00;13 036 272,00;1 377 488,00;10,57
219;-1;СЭБ Банк;3235;Санкт-Петербург и обл.;14 309 105,00;14 525 908,00;-216 803,00;-1,49
220;1;Росавтобанк;2767;Москва и обл.;14 233 295,00;14 300 613,00;-67 318,00;-0,47
221;78;Джей энд Ти Банк;3061;Москва и обл.;14 211 917,00;8 017 807,00;6 194 110,00;77,25
222;-2;Гарант-Инвест;2576;Москва и обл.;13 807 773,00;14 433 633,00;-625 860,00;-4,34
223;3;Банк Акцепт;567;Новосибирская обл.;13 795 111,00;13 781 362,00;13 749,00;0,10
224;-2;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;13 766 063,00;14 124 749,00;-358 686,00;-2,54
225;8;Экономбанк;1319;Саратовская обл.;13 738 317,00;13 527 693,00;210 624,00;1,56
226;9;Стратегия;2801;Москва и обл.;13 498 186,00;13 231 979,00;266 207,00;2,01
227;-3;Бенифит-Банк;3229;Москва и обл.;13 431 199,00;13 996 101,00;-564 902,00;-4,04
228;4;Центркомбанк;2983;Москва и обл.;13 405 224,00;13 597 892,00;-192 668,00;-1,42
229;-18;НК Банк;2755;Москва и обл.;13 217 289,00;15 525 385,00;-2 308 096,00;-14,87
230;8;Темпбанк;55;Москва и обл.;13 171 240,00;12 857 454,00;313 786,00;2,44
231;3;Тройка-Д Банк;3431;Москва и обл.;13 150 656,00;13 279 516,00;-128 860,00;-0,97
232;-7;ВУЗ-Банк;1557;Свердловская обл.;12 999 709,00;13 809 722,00;-810 013,00;-5,87
233;-4;ТЭМБР-Банк;2764;Москва и обл.;12 875 361,00;13 707 202,00;-831 841,00;-6,07
234;-19;Ишбанк;2867;Москва и обл.;12 802 842,00;15 030 083,00;-2 227 241,00;-14,82
235;-5;Гаранти Банк — Москва;3275;Москва и обл.;12 582 754,00;13 640 913,00;-1 058 159,00;-7,76
236;1;БайкалБанк;2632;Бурятия;12 489 330,00;12 866 068,00;-376 738,00;-2,93
237;4;Национальная Факторинговая Компания;3437;Москва и обл.;12 386 166,00;12 730 795,00;-344 629,00;-2,71
238;4;ЕвроситиБанк;1869;Москва и обл.;12 319 773,00;12 727 533,00;-407 760,00;-3,20
239;-16;Автоторгбанк;2776;Москва и обл.;12 280 628,00;14 005 374,00;-1 724 746,00;-12,31
240;5;Пойдем!;2534;Москва и обл.;12 128 346,00;11 963 852,00;164 494,00;1,37
241;10;Кубаньторгбанк;478;Краснодарский край;12 025 094,00;11 559 017,00;466 077,00;4,03
242;-29;Данске Банк;3307;Санкт-Петербург и обл.;11 938 443,00;15 267 138,00;-3 328 695,00;-21,80
243;-4;Нефтяной Альянс;2859;Москва и обл.;11 812 488,00;12 751 509,00;-939 021,00;-7,36
244;3;Финансовый Стандарт;1053;Москва и обл.;11 791 551,00;11 675 736,00;115 815,00;0,99
245;26;Киви Банк;2241;Москва и обл.;11 790 508,00;9 697 271,00;2 093 237,00;21,59
246;9;Татсоцбанк;480;Татарстан;11 705 057,00;11 397 179,00;307 878,00;2,70
247;-7;Международный Акционерный Банк;1987;Москва и обл.;11 699 417,00;12 747 987,00;-1 048 570,00;-8,23
248;5;Еврокоммерц;1777;Москва и обл.;11 566 622,00;11 520 222,00;46 400,00;0,40
249;-6;Унифин;2654;Москва и обл.;11 487 265,00;12 714 748,00;-1 227 483,00;-9,65
250;6;Прио-Внешторгбанк;212;Рязанская обл.;11 437 066,00;11 296 526,00;140 540,00;1,24
251;-3;ОПМ-Банк;2734;Москва и обл.;11 354 780,00;11 670 461,00;-315 681,00;-2,70
252;-2;Солидарность (Москва);1555;Москва и обл.;11 198 308,00;11 624 417,00;-426 109,00;-3,67
253;5;Инбанк;1829;Москва и обл.;11 135 000,00;11 097 592,00;37 408,00;0,34
254;-8;Александровский;53;Санкт-Петербург и обл.;11 099 590,00;11 878 010,00;-778 420,00;-6,55
255;2;Солид Банк;1329;Камчатская обл.;10 752 532,00;11 109 031,00;-356 499,00;-3,21
256;4;Кредит-Москва;5;Москва и обл.;10 732 491,00;10 464 690,00;267 801,00;2,56
