Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Декабрь, 2015, тыс. рублей;Ноябрь, 2015, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;22 433 146 804,00;22 189 600 795,00;243 546 009,00;1,10
2;0;ВТБ;1000;Санкт-Петербург и обл.;8 742 464 567,00;8 572 733 683,00;169 730 884,00;1,98
3;0;Газпромбанк;354;Москва и обл.;4 984 239 100,00;4 860 970 498,00;123 268 602,00;2,54
4;0;ВТБ 24;1623;Москва и обл.;2 873 642 255,00;2 834 974 534,00;38 667 721,00;1,36
5;0;Банк Открытие;2209;Москва и обл.;2 813 360 795,00;2 801 532 806,00;11 827 989,00;0,42
6;0;Россельхозбанк;3349;Москва и обл.;2 551 779 006,00;2 490 424 470,00;61 354 536,00;2,46
7;0;Альфа-Банк;1326;Москва и обл.;2 166 341 765,00;2 151 792 462,00;14 549 303,00;0,68
8;0;БМ-Банк;2748;Москва и обл.;1 753 618 069,00;1 813 968 348,00;-60 350 279,00;-3,33
9;0;Национальный Клиринговый Центр;3466;Москва и обл.;1 397 028 289,00;1 332 390 848,00;64 637 441,00;4,85
10;0;ЮниКредит Банк;1;Москва и обл.;1 320 713 756,00;1 295 703 826,00;25 009 930,00;1,93
11;0;Промсвязьбанк;3251;Москва и обл.;1 221 401 758,00;1 269 314 451,00;-47 912 693,00;-3,77
12;0;Московский Кредитный Банк;1978;Москва и обл.;1 113 736 506,00;1 156 093 977,00;-42 357 471,00;-3,66
13;1;Росбанк;2272;Москва и обл.;885 949 682,00;874 932 269,00;11 017 413,00;1,26
14;-1;Райффайзенбанк;3292;Москва и обл.;874 085 221,00;883 096 631,00;-9 011 410,00;-1,02
15;0;Бинбанк;323;Москва и обл.;756 341 388,00;729 086 158,00;27 255 230,00;3,74
16;2;Россия;328;Санкт-Петербург и обл.;558 480 227,00;541 553 435,00;16 926 792,00;3,13
17;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;549 187 807,00;548 218 801,00;969 006,00;0,18
18;-2;Ханты-Мансийский банк Открытие;1971;Москва и обл.;511 498 142,00;553 627 055,00;-42 128 913,00;-7,61
19;1;Совкомбанк;963;Костромская обл.;491 838 800,00;497 610 457,00;-5 771 657,00;-1,16
20;-1;Ак Барс;2590;Татарстан;488 877 251,00;518 845 814,00;-29 968 563,00;-5,78
21;1;Московский Областной Банк;1751;Москва и обл.;464 808 093,00;448 273 620,00;16 534 473,00;3,69
22;-1;Русский Стандарт;2289;Москва и обл.;460 563 326,00;469 638 618,00;-9 075 292,00;-1,93
23;1;Ситибанк;2557;Москва и обл.;419 809 025,00;396 369 886,00;23 439 139,00;5,91
24;-1;ИНГ Банк;2495;Москва и обл.;402 937 298,00;410 282 854,00;-7 345 556,00;-1,79
25;0;Рост Банк;2888;Москва и обл.;383 248 497,00;365 876 098,00;17 372 399,00;4,75
26;0;Связь-Банк;1470;Москва и обл.;369 750 955,00;362 608 900,00;7 142 055,00;1,97
27;0;Нордеа Банк;3016;Москва и обл.;369 124 223,00;359 712 036,00;9 412 187,00;2,62
28;2;Траст;3279;Москва и обл.;347 406 759,00;344 945 480,00;2 461 279,00;0,71
29;0;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;346 364 159,00;347 293 689,00;-929 530,00;-0,27
30;1;МДМ Банк;2562;Москва и обл.;341 635 505,00;340 662 169,00;973 336,00;0,29
31;2;СМП Банк;3368;Москва и обл.;339 534 034,00;325 119 047,00;14 414 987,00;4,43
32;0;Югра;880;Ханты-Мансийский АО — Югра;327 614 178,00;326 189 742,00;1 424 436,00;0,44
33;2;Глобэкс;1942;Москва и обл.;284 040 902,00;291 083 783,00;-7 042 881,00;-2,42
34;0;Банк Зенит;3255;Москва и обл.;276 777 867,00;298 778 147,00;-22 000 280,00;-7,36
35;42;Всероссийский Банк Развития Регионов;3287;Москва и обл.;276 530 892,00;82 682 742,00;193 848 150,00;234,45
36;0;Новикомбанк;2546;Москва и обл.;275 293 911,00;278 008 383,00;-2 714 472,00;-0,98
37;1;Внешпромбанк;3261;Москва и обл.;274 902 436,00;267 786 859,00;7 115 577,00;2,66
38;-1;Хоум Кредит Банк;316;Москва и обл.;266 352 218,00;268 960 106,00;-2 607 888,00;-0,97
39;0;Абсолют Банк;2306;Москва и обл.;263 012 461,00;260 339 919,00;2 672 542,00;1,03
40;1;Восточный Банк;1460;Амурская обл.;226 081 496,00;222 474 019,00;3 607 477,00;1,62
41;1;Транскапиталбанк;2210;Москва и обл.;223 926 661,00;219 191 130,00;4 735 531,00;2,16
42;1;Московский Индустриальный Банк;912;Москва и обл.;219 298 948,00;217 611 831,00;1 687 117,00;0,78
43;1;Возрождение;1439;Москва и обл.;217 271 750,00;216 864 085,00;407 665,00;0,19
44;-4;Банк ДОМ.РФ;2312;Москва и обл.;216 520 126,00;229 566 907,00;-13 046 781,00;-5,68
45;0;Татфондбанк;3058;Татарстан;201 896 350,00;199 265 512,00;2 630 838,00;1,32
46;1;Пересвет;2110;Москва и обл.;173 689 535,00;170 117 185,00;3 572 350,00;2,10
47;1;ОТП Банк;2766;Москва и обл.;170 545 308,00;168 333 602,00;2 211 706,00;1,31
48;-2;МТС Банк;2268;Москва и обл.;165 189 870,00;171 600 807,00;-6 410 937,00;-3,74
49;2;Кредит Европа Банк;3311;Москва и обл.;160 362 358,00;151 448 658,00;8 913 700,00;5,89
50;-1;РосЕвроБанк;3137;Москва и обл.;157 642 303,00;155 629 455,00;2 012 848,00;1,29
51;-1;ДельтаКредит;3338;Москва и обл.;154 603 293,00;153 243 671,00;1 359 622,00;0,89
52;6;Национальный Расчетный Депозитарий;3294;Москва и обл.;152 226 739,00;132 887 294,00;19 339 445,00;14,55
53;0;МСП Банк;3340;Москва и обл.;151 174 289,00;143 475 054,00;7 699 235,00;5,37
54;-2;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;149 712 338,00;150 064 089,00;-351 751,00;-0,23
55;0;Тинькофф Банк;2673;Москва и обл.;147 558 418,00;142 355 306,00;5 203 112,00;3,66
56;-2;Ренессанс Кредит;3354;Москва и обл.;146 452 707,00;142 763 290,00;3 689 417,00;2,58
57;-1;РГС Банк;3073;Москва и обл.;139 433 405,00;138 603 781,00;829 624,00;0,60
58;-1;Авангард;2879;Москва и обл.;138 309 498,00;136 486 539,00;1 822 959,00;1,34
59;2;Экспресс-Волга;3085;Саратовская обл.;127 934 576,00;123 270 497,00;4 664 079,00;3,78
