Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Февраль, 2016, тыс. рублей;Январь, 2016, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;23 777 337 001,00;23 545 948 386,00;231 388 615,00;0,98
2;0;ВТБ;1000;Санкт-Петербург и обл.;9 326 171 696,00;9 413 986 984,00;-87 815 288,00;-0,93
3;0;Газпромбанк;354;Москва и обл.;5 374 368 833,00;5 177 748 445,00;196 620 388,00;3,80
4;1;ВТБ 24;1623;Москва и обл.;3 094 732 569,00;3 001 041 980,00;93 690 589,00;3,12
5;-1;Банк Открытие;2209;Москва и обл.;3 086 456 052,00;3 029 095 676,00;57 360 376,00;1,89
6;0;Россельхозбанк;3349;Москва и обл.;2 781 002 869,00;2 651 979 821,00;129 023 048,00;4,87
7;0;Альфа-Банк;1326;Москва и обл.;2 384 577 561,00;2 286 251 661,00;98 325 900,00;4,30
8;1;Национальный Клиринговый Центр;3466;Москва и обл.;1 874 045 044,00;1 609 277 487,00;264 767 557,00;16,45
9;-1;БМ-Банк;2748;Москва и обл.;1 775 486 820,00;1 841 558 089,00;-66 071 269,00;-3,59
10;0;ЮниКредит Банк;1;Москва и обл.;1 483 740 522,00;1 428 427 839,00;55 312 683,00;3,87
11;1;Московский Кредитный Банк;1978;Москва и обл.;1 319 232 944,00;1 230 765 108,00;88 467 836,00;7,19
12;-1;Промсвязьбанк;3251;Москва и обл.;1 264 700 404,00;1 280 255 258,00;-15 554 854,00;-1,21
13;0;Росбанк;2272;Москва и обл.;906 572 233,00;900 525 694,00;6 046 539,00;0,67
14;0;Райффайзенбанк;3292;Москва и обл.;881 686 335,00;887 088 090,00;-5 401 755,00;-0,61
15;0;Бинбанк;323;Москва и обл.;788 493 899,00;798 758 586,00;-10 264 687,00;-1,29
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;578 064 498,00;591 169 068,00;-13 104 570,00;-2,22
17;0;Россия;328;Санкт-Петербург и обл.;577 733 138,00;583 481 699,00;-5 748 561,00;-0,99
18;0;Ханты-Мансийский банк Открытие;1971;Москва и обл.;546 307 619,00;564 385 149,00;-18 077 530,00;-3,20
19;0;Русский Стандарт;2289;Москва и обл.;529 415 300,00;527 764 822,00;1 650 478,00;0,31
20;3;Ситибанк;2557;Москва и обл.;516 506 704,00;443 588 380,00;72 918 324,00;16,44
21;-1;Совкомбанк;963;Костромская обл.;504 834 908,00;523 562 668,00;-18 727 760,00;-3,58
22;0;Московский Областной Банк;1751;Москва и обл.;488 808 095,00;475 587 745,00;13 220 350,00;2,78
23;-2;Ак Барс;2590;Татарстан;470 696 482,00;486 721 309,00;-16 024 827,00;-3,29
24;0;Рост Банк;2888;Москва и обл.;449 419 440,00;435 773 144,00;13 646 296,00;3,13
25;;Банк Уралсиб;30;Москва и обл.;445 771 433,00;-;-;
26;-1;СМП Банк;3368;Москва и обл.;415 995 302,00;418 894 336,00;-2 899 034,00;-0,69
27;-1;Нордеа Банк;3016;Москва и обл.;395 349 922,00;411 282 104,00;-15 932 182,00;-3,87
28;2;Траст;3279;Москва и обл.;384 925 655,00;344 930 126,00;39 995 529,00;11,60
29;-2;Связь-Банк;1470;Москва и обл.;380 850 410,00;377 298 014,00;3 552 396,00;0,94
30;-2;Югра;880;Москва и обл.;372 572 397,00;368 621 419,00;3 950 978,00;1,07
31;-2;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;345 571 201,00;355 565 145,00;-9 993 944,00;-2,81
32;0;МДМ Банк;2562;Москва и обл.;338 288 133,00;341 710 481,00;-3 422 348,00;-1,00
33;-2;ИНГ Банк;2495;Москва и обл.;328 372 889,00;344 428 224,00;-16 055 335,00;-4,66
34;1;Банк ДОМ.РФ;2312;Москва и обл.;296 115 167,00;288 790 195,00;7 324 972,00;2,54
35;1;Новикомбанк;2546;Москва и обл.;279 442 465,00;287 853 186,00;-8 410 721,00;-2,92
36;-2;Глобэкс;1942;Москва и обл.;277 018 567,00;292 465 129,00;-15 446 562,00;-5,28
37;-4;Абсолют Банк;2306;Москва и обл.;274 976 142,00;299 027 117,00;-24 050 975,00;-8,04
38;-1;Банк Зенит;3255;Москва и обл.;271 472 827,00;282 156 197,00;-10 683 370,00;-3,79
39;0;Восточный Банк;1460;Амурская обл.;248 694 246,00;246 983 710,00;1 710 536,00;0,69
40;-2;Хоум Кредит Банк;316;Москва и обл.;245 172 289,00;260 142 794,00;-14 970 505,00;-5,75
41;0;Московский Индустриальный Банк;912;Москва и обл.;230 348 009,00;233 918 680,00;-3 570 671,00;-1,53
42;-2;Возрождение;1439;Москва и обл.;225 683 791,00;238 067 397,00;-12 383 606,00;-5,20
43;-1;Транскапиталбанк;2210;Москва и обл.;225 091 948,00;221 475 526,00;3 616 422,00;1,63
44;-1;Татфондбанк;3058;Татарстан;193 933 923,00;197 516 222,00;-3 582 299,00;-1,81
45;0;Пересвет;2110;Москва и обл.;183 177 806,00;186 040 573,00;-2 862 767,00;-1,54
46;3;Всероссийский Банк Развития Регионов;3287;Москва и обл.;174 434 726,00;159 140 576,00;15 294 150,00;9,61
