Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Февраль, 2016, тыс. рублей;Январь, 2016, тыс. рублей;Изменение, тыс. рублей;Изменение, %
47;1;Экспресс-Волга;3085;Костромская обл.;168 528 651,00;166 408 703,00;2 119 948,00;1,27
48;-2;МТС Банк;2268;Москва и обл.;168 413 279,00;175 815 285,00;-7 402 006,00;-4,21
49;-2;РосЕвроБанк;3137;Москва и обл.;167 572 070,00;171 922 927,00;-4 350 857,00;-2,53
50;0;Тинькофф Банк;2673;Москва и обл.;158 921 590,00;157 861 498,00;1 060 092,00;0,67
51;0;ДельтаКредит;3338;Москва и обл.;158 310 568,00;157 859 006,00;451 562,00;0,29
52;1;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;154 845 014,00;156 649 846,00;-1 804 832,00;-1,15
53;-1;Кредит Европа Банк;3311;Москва и обл.;154 792 355,00;157 812 265,00;-3 019 910,00;-1,91
54;6;Национальный Расчетный Депозитарий;3294;Москва и обл.;153 518 485,00;131 687 814,00;21 830 671,00;16,58
55;-1;ОТП Банк;2766;Москва и обл.;153 207 398,00;154 781 484,00;-1 574 086,00;-1,02
56;-1;МСП Банк;3340;Москва и обл.;151 108 760,00;151 164 609,00;-55 849,00;-0,04
57;-1;РГС Банк;3073;Москва и обл.;139 334 246,00;145 610 131,00;-6 275 885,00;-4,31
58;-1;Авангард;2879;Москва и обл.;135 522 400,00;144 807 442,00;-9 285 042,00;-6,41
59;0;Ренессанс Кредит;3354;Москва и обл.;129 788 976,00;133 430 817,00;-3 641 841,00;-2,73
60;-2;СКБ-Банк;705;Свердловская обл.;129 168 372,00;138 177 548,00;-9 009 176,00;-6,52
61;0;Инвестторгбанк;2763;Москва и обл.;125 794 143,00;123 690 074,00;2 104 069,00;1,70
62;0;ЦентроКредит;121;Москва и обл.;122 281 172,00;116 244 770,00;6 036 402,00;5,19
63;3;Международный Финансовый Клуб;2618;Москва и обл.;111 380 236,00;105 820 405,00;5 559 831,00;5,25
64;7;БНП Париба Банк;3407;Москва и обл.;110 206 761,00;101 051 054,00;9 155 707,00;9,06
65;0;Запсибкомбанк;918;Тюменская обл.;106 745 145,00;107 308 241,00;-563 096,00;-0,52
66;-2;Интеркоммерц Банк;1657;Москва и обл.;105 685 132,00;109 177 887,00;-3 492 755,00;-3,20
67;1;Локо-Банк;2707;Москва и обл.;102 477 202,00;103 271 875,00;-794 673,00;-0,77
68;-1;Сетелем Банк;2168;Москва и обл.;102 378 547,00;103 515 117,00;-1 136 570,00;-1,10
69;1;Русфинанс Банк;1792;Самарская обл.;102 323 614,00;101 262 270,00;1 061 344,00;1,05
70;3;Банк БФА;3038;Санкт-Петербург и обл.;99 156 940,00;96 319 424,00;2 837 516,00;2,95
71;-2;Дойче Банк;3328;Москва и обл.;97 861 636,00;102 724 079,00;-4 862 443,00;-4,73
72;9;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;97 693 229,00;81 454 084,00;16 239 145,00;19,94
73;-10;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;96 318 637,00;110 147 090,00;-13 828 453,00;-12,55
74;-2;Балтийский Банк;128;Санкт-Петербург и обл.;95 207 286,00;98 347 985,00;-3 140 699,00;-3,19
75;0;Бинбанк Диджитал;2827;Москва и обл.;93 770 923,00;91 349 649,00;2 421 274,00;2,65
76;-2;Центр-инвест;2225;Ростовская обл.;92 908 747,00;92 455 415,00;453 332,00;0,49
77;-1;РосинтерБанк;226;Москва и обл.;91 741 832,00;90 372 666,00;1 369 166,00;1,52
78;0;Таврический Банк;2304;Санкт-Петербург и обл.;90 132 616,00;87 980 769,00;2 151 847,00;2,45
79;-2;Союз;2307;Москва и обл.;90 117 490,00;88 066 795,00;2 050 695,00;2,33
80;-1;Юниаструм Банк;2771;Москва и обл.;83 866 271,00;84 608 499,00;-742 228,00;-0,88
81;1;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;81 524 142,00;80 014 573,00;1 509 569,00;1,89
82;4;Банк Интеза;2216;Москва и обл.;77 636 222,00;75 558 172,00;2 078 050,00;2,75
83;12;Аверс;415;Татарстан;77 187 421,00;61 552 285,00;15 635 136,00;25,40
84;0;Военно-Промышленный Банк;3065;Москва и обл.;77 038 086,00;78 031 245,00;-993 159,00;-1,27
85;-5;Балтинвестбанк;3176;Санкт-Петербург и обл.;77 026 139,00;83 254 809,00;-6 228 670,00;-7,48
86;-1;Почта Банк;650;Москва и обл.;76 385 357,00;76 099 077,00;286 280,00;0,38
87;0;Банк Финсервис;3388;Москва и обл.;75 453 167,00;72 702 410,00;2 750 757,00;3,78
88;2;АйСиБиСи Банк;3475;Москва и обл.;74 030 108,00;69 771 782,00;4 258 326,00;6,10
89;-1;Экспобанк;2998;Москва и обл.;73 157 800,00;72 118 637,00;1 039 163,00;1,44
90;-7;Металлинвестбанк;2440;Москва и обл.;65 522 445,00;78 317 550,00;-12 795 105,00;-16,34
91;1;Кубань Кредит;2518;Краснодарский край;64 797 355,00;67 260 188,00;-2 462 833,00;-3,66
92;-1;БФГ-Кредит;3068;Москва и обл.;64 778 422,00;67 581 614,00;-2 803 192,00;-4,15
93;-4;РНКБ;1354;Симферополь;64 408 511,00;71 278 588,00;-6 870 077,00;-9,64
94;-1;Образование;1521;Москва и обл.;62 370 353,00;63 070 165,00;-699 812,00;-1,11
95;3;Финпромбанк (ФПБ Банк);2157;Москва и обл.;58 449 727,00;56 506 669,00;1 943 058,00;3,44
96;1;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;58 449 337,00;58 578 026,00;-128 689,00;-0,22
97;-3;Росэнергобанк;2211;Москва и обл.;57 139 823,00;62 048 142,00;-4 908 319,00;-7,91
98;1;РН Банк;170;Москва и обл.;56 735 560,00;53 323 510,00;3 412 050,00;6,40
99;6;Росэксимбанк;2790;Москва и обл.;55 204 413,00;50 753 413,00;4 451 000,00;8,77
100;4;БКС Банк;101;Новосибирская обл.;53 365 121,00;50 858 237,00;2 506 884,00;4,93
101;-1;Крайинвестбанк;3360;Краснодарский край;50 960 016,00;53 253 634,00;-2 293 618,00;-4,31
102;4;СДМ-Банк;1637;Москва и обл.;50 860 814,00;50 398 407,00;462 407,00;0,92
103;5;Межтопэнергобанк;2956;Москва и обл.;50 192 466,00;49 676 993,00;515 473,00;1,04
104;-1;Коммерцбанк (Евразия);3333;Москва и обл.;50 034 228,00;51 085 859,00;-1 051 631,00;-2,06
105;4;ББР Банк;2929;Москва и обл.;49 072 687,00;49 579 614,00;-506 927,00;-1,02
106;1;Тойота Банк;3470;Москва и обл.;48 686 074,00;49 925 448,00;-1 239 374,00;-2,48
107;5;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;48 260 852,00;46 122 286,00;2 138 566,00;4,64
108;-12;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;47 618 049,00;60 156 026,00;-12 537 977,00;-20,84
109;2;Первобанк;3461;Самарская обл.;47 055 269,00;47 695 952,00;-640 683,00;-1,34
110;0;Фора-Банк;1885;Москва и обл.;46 839 251,00;47 813 202,00;-973 951,00;-2,04
111;2;Газэнергобанк;3252;Калужская обл.;45 693 291,00;45 444 918,00;248 373,00;0,55
112;3;МБА-Москва;3395;Москва и обл.;45 497 990,00;44 500 720,00;997 270,00;2,24
113;1;Интерпрогрессбанк;600;Москва и обл.;45 033 734,00;44 919 238,00;114 496,00;0,25
114;10;Бэнк оф Чайна;2309;Москва и обл.;44 989 557,00;38 130 576,00;6 858 981,00;17,99
115;-13;Национальный Стандарт;3421;Москва и обл.;44 952 929,00;51 717 848,00;-6 764 919,00;-13,08
116;0;Социнвестбанк;1132;Башкортостан;43 697 696,00;43 550 501,00;147 195,00;0,34
117;2;Примсоцбанк;2733;Приморский край;43 659 212,00;43 243 508,00;415 704,00;0,96
118;-1;Челябинвестбанк;493;Челябинская обл.;43 427 442,00;43 399 612,00;27 830,00;0,06
119;1;Левобережный;1343;Новосибирская обл.;43 240 797,00;42 203 486,00;1 037 311,00;2,46
120;-2;Челиндбанк;485;Челябинская обл.;42 895 471,00;43 251 304,00;-355 833,00;-0,82
121;0;ПЧРБ Банк;3291;Москва и обл.;42 834 579,00;41 755 127,00;1 079 452,00;2,59
122;0;Интерпромбанк;3266;Москва и обл.;39 090 528,00;40 742 844,00;-1 652 316,00;-4,06
123;3;Еврофинанс Моснарбанк;2402;Москва и обл.;38 942 571,00;36 997 750,00;1 944 821,00;5,26
124;4;Банк «Советский»;558;Санкт-Петербург и обл.;37 513 205,00;36 660 027,00;853 178,00;2,33
125;6;Саровбизнесбанк;2048;Нижегородская обл.;37 328 225,00;36 350 529,00;977 696,00;2,69
126;4;Инвестиционный Республиканский Банк;2571;Москва и обл.;37 107 799,00;36 543 939,00;563 860,00;1,54
127;5;Кольцо Урала;65;Свердловская обл.;35 797 137,00;35 689 251,00;107 886,00;0,30
128;12;ВУЗ-Банк;1557;Свердловская обл.;35 322 606,00;32 675 743,00;2 646 863,00;8,10
129;12;Меткомбанк (Череповец);901;Вологодская обл.;35 232 649,00;32 618 140,00;2 614 509,00;8,02
130;-5;НС Банк;3124;Москва и обл.;35 142 723,00;37 274 113,00;-2 131 390,00;-5,72
131;-8;Фольксваген Банк Рус;3500;Москва и обл.;34 994 086,00;38 503 604,00;-3 509 518,00;-9,11
132;6;ОФК Банк;2270;Москва и обл.;34 743 869,00;33 214 635,00;1 529 234,00;4,60
133;3;Держава;2738;Москва и обл.;34 461 855,00;33 515 779,00;946 076,00;2,82
134;-5;Русский Международный Банк;3123;Москва и обл.;34 344 472,00;36 601 241,00;-2 256 769,00;-6,17
135;-1;Тольяттихимбанк;2507;Самарская обл.;33 696 437,00;35 141 231,00;-1 444 794,00;-4,11
136;-3;Московское Ипотечное Агентство;3344;Москва и обл.;33 582 943,00;35 672 317,00;-2 089 374,00;-5,86
137;11;Дальневосточный Банк;843;Приморский край;32 971 539,00;30 533 800,00;2 437 739,00;7,98
138;-1;Кедр;1574;Красноярский край;32 963 594,00;33 245 398,00;-281 804,00;-0,85
139;-4;М2М Прайвет Банк;1414;Москва и обл.;31 961 071,00;33 863 400,00;-1 902 329,00;-5,62
140;5;Собинбанк;1317;Москва и обл.;30 729 508,00;31 527 183,00;-797 675,00;-2,53
141;5;Интехбанк;2705;Татарстан;30 238 226,00;31 227 700,00;-989 474,00;-3,17
142;1;БыстроБанк;1745;Удмуртия;30 201 297,00;31 635 456,00;-1 434 159,00;-4,53
143;10;Объединенный Капитал;2611;Санкт-Петербург и обл.;30 146 849,00;28 768 126,00;1 378 723,00;4,79
144;5;Кредит Урал Банк;2584;Челябинская обл.;29 595 907,00;30 030 258,00;-434 351,00;-1,45
145;-6;Приморье;3001;Приморский край;29 588 546,00;32 803 889,00;-3 215 343,00;-9,80
146;1;Севергазбанк;2816;Вологодская обл.;29 583 356,00;30 794 340,00;-1 210 984,00;-3,93
147;5;Солидарность;554;Самарская обл.;29 086 296,00;28 875 838,00;210 458,00;0,73
148;6;Москоммерцбанк;3365;Москва и обл.;28 980 713,00;27 728 129,00;1 252 584,00;4,52
149;-48;Банк Кредит Свисс;2494;Москва и обл.;28 966 601,00;52 835 597,00;-23 868 996,00;-45,18
150;1;АйМаниБанк;1975;Москва и обл.;28 860 958,00;28 941 311,00;-80 353,00;-0,28
151;-1;Газбанк;2316;Самарская обл.;28 197 223,00;29 268 044,00;-1 070 821,00;-3,66
152;-10;Мерседес-Бенц Банк Рус;3473;Москва и обл.;27 506 089,00;32 042 482,00;-4 536 393,00;-14,16
153;3;Агропромкредит;2880;Москва и обл.;26 639 622,00;26 795 768,00;-156 146,00;-0,58
154;6;Акибанк;2587;Татарстан;26 234 387,00;25 924 420,00;309 967,00;1,20
155;-28;Натиксис Банк;3390;Москва и обл.;26 007 012,00;36 922 402,00;-10 915 390,00;-29,56
156;-1;АктивКапитал Банк;3006;Самарская обл.;25 983 276,00;27 540 644,00;-1 557 368,00;-5,65
157;1;Квантмобайл Банк;1189;Москва и обл.;25 641 907,00;26 238 365,00;-596 458,00;-2,27
158;5;Генбанк;2490;Симферополь;25 200 143,00;25 133 879,00;66 264,00;0,26
159;6;Девон-Кредит;1972;Татарстан;25 192 703,00;24 897 998,00;294 705,00;1,18
160;6;Урал ФД;249;Пермская обл.;25 153 201,00;24 485 311,00;667 890,00;2,73
161;-2;Легион;3117;Москва и обл.;25 082 696,00;26 087 077,00;-1 004 381,00;-3,85
162;-5;Липецккомбанк;1242;Липецкая обл.;24 814 748,00;26 444 457,00;-1 629 709,00;-6,16
163;47;Морган Стэнли Банк;3456;Москва и обл.;24 665 828,00;14 730 210,00;9 935 618,00;67,45
164;-2;Алмазэргиэнбанк;2602;Саха (Якутия);24 514 118,00;25 783 627,00;-1 269 509,00;-4,92
165;2;СтарБанк;548;Москва и обл.;23 858 988,00;23 971 392,00;-112 404,00;-0,47
166;-22;Платежный Центр;3166;Новосибирская обл.;23 518 143,00;31 569 006,00;-8 050 863,00;-25,50
167;5;Ланта-Банк;1920;Москва и обл.;23 098 663,00;22 581 771,00;516 892,00;2,29
168;-4;Морской Банк;77;Москва и обл.;23 080 023,00;25 128 300,00;-2 048 277,00;-8,15
169;0;Аресбанк;2914;Москва и обл.;23 069 812,00;23 339 329,00;-269 517,00;-1,15
170;0;Спурт Банк;2207;Татарстан;22 237 086,00;22 796 277,00;-559 191,00;-2,45
171;0;Экспо Финанс;2594;Москва и обл.;21 732 104,00;22 761 807,00;-1 029 703,00;-4,52
172;2;Энергобанк;67;Татарстан;21 607 747,00;21 329 257,00;278 490,00;1,31
173;0;Роскомснаббанк (бывш. Башкомснаббанк);1398;Башкортостан;21 415 427,00;21 562 481,00;-147 054,00;-0,68
174;-6;СЭБ Банк;3235;Санкт-Петербург и обл.;20 415 951,00;23 553 395,00;-3 137 444,00;-13,32
175;3;Чайна Констракшн;3515;Москва и обл.;20 353 202,00;20 108 992,00;244 210,00;1,21
176;-1;ФИА-Банк;2542;Самарская обл.;20 298 976,00;20 992 214,00;-693 238,00;-3,30
177;2;Денизбанк Москва;3330;Москва и обл.;20 289 743,00;19 798 656,00;491 087,00;2,48
178;-2;НБД-Банк;1966;Нижегородская обл.;20 121 657,00;20 873 835,00;-752 178,00;-3,60
179;3;Рублев;3098;Москва и обл.;20 081 792,00;19 254 524,00;827 268,00;4,30
180;0;Курскпромбанк;735;Курская обл.;19 537 086,00;19 398 298,00;138 788,00;0,72
181;17;Ури Банк;3479;Москва и обл.;19 391 869,00;16 286 241,00;3 105 628,00;19,07
182;-5;БМВ Банк;3482;Москва и обл.;19 375 752,00;20 200 932,00;-825 180,00;-4,08
183;2;Нацинвестпромбанк;3077;Москва и обл.;18 981 516,00;18 803 326,00;178 190,00;0,95
184;2;Энерготрансбанк;1307;Калининградская обл.;18 734 074,00;18 145 096,00;588 978,00;3,25
185;9;Данске Банк;3307;Санкт-Петербург и обл.;18 617 307,00;16 689 075,00;1 928 232,00;11,55
186;-3;Алеф-Банк;2119;Москва и обл.;18 454 576,00;19 229 552,00;-774 976,00;-4,03
187;-3;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;17 702 067,00;19 117 871,00;-1 415 804,00;-7,41
188;0;Хлынов;254;Кировская обл.;17 450 138,00;17 771 318,00;-321 180,00;-1,81
189;2;Развитие-Столица;3013;Москва и обл.;17 373 874,00;17 115 530,00;258 344,00;1,51
190;-3;Расчетно-Кредитный Банк;103;Москва и обл.;17 360 872,00;18 025 333,00;-664 461,00;-3,69
191;1;Джей энд Ти Банк;3061;Москва и обл.;17 144 973,00;16 864 461,00;280 512,00;1,66
192;1;Уралтрансбанк;812;Свердловская обл.;16 842 304,00;16 750 099,00;92 205,00;0,55
193;3;Гарант-Инвест;2576;Москва и обл.;16 620 341,00;16 503 828,00;116 513,00;0,71
194;3;Тройка-Д Банк;3431;Москва и обл.;16 487 539,00;16 409 725,00;77 814,00;0,47
195;4;Русский Ипотечный Банк;1968;Москва и обл.;16 239 246,00;16 155 880,00;83 366,00;0,52
196;-7;НК Банк;2755;Москва и обл.;16 145 964,00;17 515 455,00;-1 369 491,00;-7,82
197;-2;Гранд Инвест Банк;3053;Москва и обл.;16 057 496,00;16 549 902,00;-492 406,00;-2,98
198;4;Темпбанк;55;Москва и обл.;15 579 658,00;15 588 417,00;-8 759,00;-0,06
199;2;Татсоцбанк;480;Татарстан;15 485 149,00;15 638 339,00;-153 190,00;-0,98
200;7;Национальный Резервный Банк;2170;Москва и обл.;15 305 375,00;15 071 021,00;234 354,00;1,55
201;2;Форштадт;2208;Оренбургская обл.;15 268 564,00;15 527 687,00;-259 123,00;-1,67
202;4;ТЭМБР-Банк;2764;Москва и обл.;15 246 017,00;15 089 679,00;156 338,00;1,04
203;14;Инбанк;1829;Москва и обл.;15 170 710,00;13 743 143,00;1 427 567,00;10,39
204;1;Банк Акцепт;567;Новосибирская обл.;15 080 722,00;15 168 858,00;-88 136,00;-0,58
205;-1;Норвик Банк;902;Кировская обл.;14 868 707,00;15 501 927,00;-633 220,00;-4,08
206;29;Автоторгбанк;2776;Москва и обл.;14 791 272,00;11 406 013,00;3 385 259,00;29,68
207;7;Пойдем!;2534;Москва и обл.;14 173 322,00;14 013 065,00;160 257,00;1,14
208;3;РосДорБанк;1573;Москва и обл.;14 145 425,00;14 485 023,00;-339 598,00;-2,34
209;4;Нефтяной Альянс;2859;Москва и обл.;14 138 376,00;14 064 018,00;74 358,00;0,53
210;12;Международный Акционерный Банк;1987;Москва и обл.;14 072 392,00;12 967 253,00;1 105 139,00;8,52
211;7;Солидарность (Москва);1555;Москва и обл.;14 038 607,00;13 648 869,00;389 738,00;2,86
212;3;Финансовый Стандарт;1053;Москва и обл.;13 882 036,00;13 892 123,00;-10 087,00;-0,07
213;-4;Ишбанк;2867;Москва и обл.;13 705 913,00;14 751 237,00;-1 045 324,00;-7,09
214;-6;ГПБ-Ипотека;2403;Москва и обл.;13 658 975,00;14 789 866,00;-1 130 891,00;-7,65
215;-3;БайкалБанк;2632;Бурятия;13 489 159,00;14 459 993,00;-970 834,00;-6,71
216;4;Прио-Внешторгбанк;212;Рязанская обл.;13 295 784,00;13 224 553,00;71 231,00;0,54
217;4;Кошелев-Банк;3300;Самарская обл.;13 256 516,00;13 134 310,00;122 206,00;0,93
218;-28;Модульбанк;1927;Костромская обл.;13 252 864,00;17 469 217,00;-4 216 353,00;-24,14
219;-19;Центркомбанк;2983;Москва и обл.;13 081 863,00;16 033 474,00;-2 951 611,00;-18,41
220;4;Агросоюз;1459;Москва и обл.;12 983 633,00;12 644 636,00;338 997,00;2,68
221;4;Российская Финансовая Корпорация;3099;Москва и обл.;12 869 909,00;12 571 499,00;298 410,00;2,37
222;1;Объединенный Кредитный Банк;1118;Ярославская обл.;12 404 129,00;12 780 895,00;-376 766,00;-2,95
223;8;Русский Торговый Банк;2842;Москва и обл.;12 233 366,00;11 815 938,00;417 428,00;3,53
224;2;Стратегия;2801;Москва и обл.;12 176 766,00;12 353 724,00;-176 958,00;-1,43
225;2;Развитие;2729;Карачаево-Черкесия;12 113 192,00;12 050 786,00;62 406,00;0,52
226;8;Промтрансбанк;2638;Башкортостан;11 986 758,00;11 517 938,00;468 820,00;4,07
227;-8;Киви Банк;2241;Москва и обл.;11 785 092,00;13 451 976,00;-1 666 884,00;-12,39
228;2;Русьуниверсалбанк;3293;Москва и обл.;11 683 022,00;11 994 052,00;-311 030,00;-2,59
229;0;Солид Банк;1329;Камчатская обл.;11 632 610,00;11 996 224,00;-363 614,00;-3,03
230;2;КС Банк;1752;Мордовия;11 558 835,00;11 705 868,00;-147 033,00;-1,26
231;5;Первомайский;518;Краснодарский край;11 281 830,00;11 332 215,00;-50 385,00;-0,44
232;8;Банк Жилищного Финансирования;3138;Москва и обл.;11 122 644,00;11 025 064,00;97 580,00;0,89
233;-5;ЕвроситиБанк;1869;Москва и обл.;11 053 024,00;11 999 198,00;-946 174,00;-7,89
234;18;Енисей;474;Красноярский край;10 941 937,00;9 967 704,00;974 233,00;9,77
235;3;Арксбанк;1868;Москва и обл.;10 794 542,00;11 212 566,00;-418 024,00;-3,73
236;6;Унифин;2654;Москва и обл.;10 791 526,00;10 840 132,00;-48 606,00;-0,45
237;4;Гута-Банк;256;Москва и обл.;10 693 348,00;10 846 311,00;-152 963,00;-1,41
238;1;НИКО-Банк;702;Оренбургская обл.;10 679 837,00;11 114 411,00;-434 574,00;-3,91
239;4;Нижневолжский Коммерческий Банк;931;Саратовская обл.;10 635 380,00;10 834 763,00;-199 383,00;-1,84
240;-59;Альта-Банк;2269;Москва и обл.;10 585 994,00;19 279 989,00;-8 693 995,00;-45,09
241;7;Банк Оренбург;3269;Оренбургская обл.;10 267 373,00;10 257 573,00;9 800,00;0,10
242;11;Энергомашбанк;52;Санкт-Петербург и обл.;10 186 841,00;9 948 862,00;237 979,00;2,39
243;15;Новопокровский;467;Краснодарский край;10 121 436,00;9 634 875,00;486 561,00;5,05
244;-28;Росавтобанк;2767;Москва и обл.;10 055 483,00;13 790 156,00;-3 734 673,00;-27,08
245;0;СИАБ;3245;Санкт-Петербург и обл.;10 046 764,00;10 622 772,00;-576 008,00;-5,42
246;-2;Александровский;53;Санкт-Петербург и обл.;10 026 736,00;10 697 483,00;-670 747,00;-6,27
247;2;Таатта;1249;Саха (Якутия);9 910 923,00;10 222 255,00;-311 332,00;-3,05
248;7;Банк Казани;708;Татарстан;9 836 152,00;9 861 683,00;-25 531,00;-0,26
249;8;Датабанк;646;Удмуртия;9 790 580,00;9 655 447,00;135 133,00;1,40
250;1;Банк на Гончарной (бывш. Япы Креди Банк Москва);2555;Москва и обл.;9 770 781,00;10 026 167,00;-255 386,00;-2,55
251;13;Банк БКФ;2684;Москва и обл.;9 656 068,00;9 278 513,00;377 555,00;4,07
252;4;Хованский;2145;Москва и обл.;9 646 426,00;9 729 700,00;-83 274,00;-0,86
253;13;Финанс Бизнес Банк;520;Москва и обл.;9 549 734,00;9 205 833,00;343 901,00;3,74
254;-7;Ассоциация;732;Нижегородская обл.;9 521 787,00;10 354 967,00;-833 180,00;-8,05
255;-18;Славия;2664;Москва и обл.;9 496 278,00;11 229 480,00;-1 733 202,00;-15,43
256;-10;Национальная Факторинговая Компания;3437;Москва и обл.;9 418 514,00;10 478 237,00;-1 059 723,00;-10,11
257;3;Снежинский;1376;Челябинская обл.;9 310 940,00;9 459 922,00;-148 982,00;-1,57
