Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Май, 2018, тыс. рублей;Апрель, 2018, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;25 006 454 545,00;24 309 508 214,00;696 946 331,00;2,87
2;0;ВТБ;1000;Санкт-Петербург и обл.;12 468 025 960,00;12 057 804 566,00;410 221 394,00;3,40
3;0;Газпромбанк;354;Москва и обл.;5 946 724 041,00;6 274 175 393,00;-327 451 352,00;-5,22
4;1;Национальный Клиринговый Центр;3466;Москва и обл.;3 465 767 112,00;3 023 446 399,00;442 320 713,00;14,63
5;-1;Россельхозбанк;3349;Москва и обл.;3 327 043 880,00;3 232 762 631,00;94 281 249,00;2,92
6;0;Альфа-Банк;1326;Москва и обл.;2 892 049 560,00;2 658 692 571,00;233 356 989,00;8,78
7;0;Московский Кредитный Банк;1978;Москва и обл.;1 933 530 001,00;1 899 654 856,00;33 875 145,00;1,78
8;0;Банк Открытие;2209;Москва и обл.;1 828 084 178,00;1 834 305 366,00;-6 221 188,00;-0,34
9;1;Промсвязьбанк;3251;Москва и обл.;1 421 467 237,00;1 184 159 455,00;237 307 782,00;20,04
10;-1;ЮниКредит Банк;1;Москва и обл.;1 366 781 113,00;1 237 179 214,00;129 601 899,00;10,48
11;0;Россия;328;Санкт-Петербург и обл.;993 769 885,00;975 354 093,00;18 415 792,00;1,89
12;1;Райффайзенбанк;3292;Москва и обл.;953 459 730,00;920 730 683,00;32 729 047,00;3,55
13;-1;Бинбанк;323;Москва и обл.;947 087 285,00;960 828 916,00;-13 741 631,00;-1,43
14;0;Росбанк;2272;Москва и обл.;922 320 516,00;914 799 128,00;7 521 388,00;0,82
15;0;Рост Банк;2888;Москва и обл.;792 955 672,00;768 838 797,00;24 116 875,00;3,14
16;0;Совкомбанк;963;Костромская обл.;749 422 378,00;690 725 196,00;58 697 182,00;8,50
17;1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;651 242 823,00;642 314 228,00;8 928 595,00;1,39
18;-1;БМ-Банк;2748;Москва и обл.;645 825 388,00;642 470 422,00;3 354 966,00;0,52
19;0;Траст;3279;Москва и обл.;580 352 414,00;566 564 342,00;13 788 072,00;2,43
20;2;Всероссийский Банк Развития Регионов;3287;Москва и обл.;575 501 659,00;522 905 706,00;52 595 953,00;10,06
21;0;Московский Областной Банк;1751;Москва и обл.;574 713 002,00;541 002 779,00;33 710 223,00;6,23
22;1;Банк Уралсиб;30;Москва и обл.;526 021 205,00;507 680 310,00;18 340 895,00;3,61
23;1;Ак Барс;2590;Татарстан;494 757 913,00;483 903 284,00;10 854 629,00;2,24
24;-4;Ситибанк;2557;Москва и обл.;487 600 138,00;554 316 394,00;-66 716 256,00;-12,04
25;1;СМП Банк;3368;Москва и обл.;402 587 126,00;354 181 741,00;48 405 385,00;13,67
26;16;ИНГ Банк;2495;Москва и обл.;386 922 970,00;187 361 619,00;199 561 351,00;106,51
