Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2014, тыс. рублей;Октябрь, 2014, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;19 285 063 731,00;18 697 497 222,00;587 566 509,00;3,14
2;0;ВТБ;1000;Санкт-Петербург и обл.;6 966 844 969,00;6 543 380 359,00;423 464 610,00;6,47
3;0;Газпромбанк;354;Москва и обл.;4 217 244 613,00;4 008 233 303,00;209 011 310,00;5,21
4;0;ВТБ 24;1623;Москва и обл.;2 572 458 296,00;2 426 465 146,00;145 993 150,00;6,02
5;0;БМ-Банк;2748;Москва и обл.;2 142 605 685,00;2 053 894 665,00;88 711 020,00;4,32
6;0;Россельхозбанк;3349;Москва и обл.;2 051 923 053,00;2 021 157 647,00;30 765 406,00;1,52
7;0;Альфа-Банк;1326;Москва и обл.;1 962 205 694,00;1 852 170 032,00;110 035 662,00;5,94
8;0;Банк Открытие;2209;Москва и обл.;1 341 595 630,00;1 131 773 362,00;209 822 268,00;18,54
9;0;ЮниКредит Банк;1;Москва и обл.;1 127 257 386,00;1 032 899 178,00;94 358 208,00;9,14
10;0;Национальный Клиринговый Центр;3466;Москва и обл.;1 101 313 762,00;967 915 116,00;133 398 646,00;13,78
11;0;Промсвязьбанк;3251;Москва и обл.;974 770 002,00;923 003 151,00;51 766 851,00;5,61
12;0;Росбанк;2272;Москва и обл.;860 988 151,00;795 938 311,00;65 049 840,00;8,17
13;0;Райффайзенбанк;3292;Москва и обл.;816 826 100,00;728 063 912,00;88 762 188,00;12,19
14;0;Московский Кредитный Банк;1978;Москва и обл.;529 766 401,00;504 236 496,00;25 529 905,00;5,06
15;0;Россия;328;Санкт-Петербург и обл.;501 820 161,00;476 914 672,00;24 905 489,00;5,22
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;485 994 592,00;476 125 743,00;9 868 849,00;2,07
17;0;Русский Стандарт;2289;Москва и обл.;458 883 101,00;448 843 303,00;10 039 798,00;2,24
18;0;Ак Барс;2590;Татарстан;416 036 436,00;406 844 915,00;9 191 521,00;2,26
19;0;Банк Уралсиб;30;Москва и обл.;386 597 920,00;381 024 462,00;5 573 458,00;1,46
20;0;МДМ Банк;2562;Новосибирская обл.;377 812 871,00;353 862 842,00;23 950 029,00;6,77
21;3;Ситибанк;2557;Москва и обл.;372 272 508,00;339 773 959,00;32 498 549,00;9,56
22;0;Связь-Банк;1470;Москва и обл.;354 961 655,00;352 985 693,00;1 975 962,00;0,56
23;-2;Ханты-Мансийский банк Открытие;1971;Москва и обл.;351 478 044,00;353 190 675,00;-1 712 631,00;-0,48
24;-1;Хоум Кредит Банк;316;Москва и обл.;344 460 653,00;349 984 910,00;-5 524 257,00;-1,58
25;0;Нордеа Банк;3016;Москва и обл.;341 126 841,00;332 013 654,00;9 113 187,00;2,74
26;0;СМП Банк;3368;Москва и обл.;311 320 366,00;278 730 891,00;32 589 475,00;11,69
27;1;Бинбанк;323;Москва и обл.;283 462 369,00;271 341 978,00;12 120 391,00;4,47
28;-1;Банк Зенит;3255;Москва и обл.;280 269 027,00;274 591 366,00;5 677 661,00;2,07
29;0;Траст;3279;Москва и обл.;273 226 513,00;266 893 464,00;6 333 049,00;2,37
30;4;Московский Областной Банк;1751;Москва и обл.;265 433 083,00;243 400 867,00;22 032 216,00;9,05
31;-1;Глобэкс;1942;Москва и обл.;263 595 866,00;260 466 007,00;3 129 859,00;1,20
32;-1;Петрокоммерц;1776;Москва и обл.;256 446 471,00;255 132 364,00;1 314 107,00;0,52
33;0;Восточный Банк;1460;Амурская обл.;251 683 911,00;246 620 842,00;5 063 069,00;2,05
34;-2;Банк «Открытие»;2179;Москва и обл.;243 237 618,00;254 316 755,00;-11 079 137,00;-4,36
35;0;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;233 951 997,00;238 405 836,00;-4 453 839,00;-1,87
36;0;Возрождение;1439;Москва и обл.;233 044 790,00;229 454 822,00;3 589 968,00;1,56
37;7;ИНГ Банк;2495;Москва и обл.;230 094 279,00;169 419 774,00;60 674 505,00;35,81
38;3;Абсолют Банк;2306;Москва и обл.;214 556 546,00;195 856 445,00;18 700 101,00;9,55
39;-2;Новикомбанк;2546;Москва и обл.;211 742 044,00;209 822 447,00;1 919 597,00;0,91
40;-2;МТС Банк;2268;Москва и обл.;207 833 426,00;205 094 885,00;2 738 541,00;1,34
41;-1;Внешпромбанк;3261;Москва и обл.;205 233 672,00;200 249 421,00;4 984 251,00;2,49
42;-3;Московский Индустриальный Банк;912;Москва и обл.;204 823 017,00;201 619 185,00;3 203 832,00;1,59
