Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Ноябрь, 2014, тыс. рублей;Октябрь, 2014, тыс. рублей;Изменение, тыс. рублей;Изменение, %
43;-1;Совкомбанк;963;Костромская обл.;182 481 955,00;179 889 749,00;2 592 206,00;1,44
44;-1;ОТП Банк;2766;Москва и обл.;171 473 157,00;177 892 906,00;-6 419 749,00;-3,61
45;0;Транскапиталбанк;2210;Москва и обл.;158 725 327,00;155 517 741,00;3 207 586,00;2,06
46;0;Кредит Европа Банк;3311;Москва и обл.;155 376 153,00;152 115 933,00;3 260 220,00;2,14
47;0;Татфондбанк;3058;Татарстан;155 203 715,00;150 400 123,00;4 803 592,00;3,19
48;1;Российский Кредит;324;Москва и обл.;154 445 426,00;140 593 796,00;13 851 630,00;9,85
49;1;Банк ДОМ.РФ;2312;Москва и обл.;146 070 359,00;136 071 429,00;9 998 930,00;7,35
50;2;РосЕвроБанк;3137;Москва и обл.;140 090 555,00;127 877 810,00;12 212 745,00;9,55
51;4;ДельтаКредит;3338;Москва и обл.;134 334 203,00;122 761 306,00;11 572 897,00;9,43
52;1;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;131 657 248,00;127 658 472,00;3 998 776,00;3,13
53;1;Ренессанс Кредит;3354;Москва и обл.;131 266 563,00;124 322 844,00;6 943 719,00;5,59
54;3;Тинькофф Банк;2673;Москва и обл.;127 894 984,00;121 272 030,00;6 622 954,00;5,46
55;-4;МСП Банк;3340;Москва и обл.;126 740 492,00;129 781 171,00;-3 040 679,00;-2,34
56;4;Русфинанс Банк;1792;Самарская обл.;123 747 847,00;115 763 990,00;7 983 857,00;6,90
57;-1;СКБ-Банк;705;Свердловская обл.;120 174 805,00;122 166 311,00;-1 991 506,00;-1,63
58;0;Инвестторгбанк;2763;Москва и обл.;118 719 949,00;119 767 369,00;-1 047 420,00;-0,87
59;0;РГС Банк;3073;Москва и обл.;118 310 672,00;117 358 731,00;951 941,00;0,81
60;2;Пересвет;2110;Москва и обл.;113 873 327,00;110 469 032,00;3 404 295,00;3,08
61;0;Авангард;2879;Москва и обл.;113 252 295,00;113 548 768,00;-296 473,00;-0,26
62;1;Пробизнесбанк;2412;Москва и обл.;112 853 129,00;109 869 511,00;2 983 618,00;2,72
63;15;Национальный Расчетный Депозитарий;3294;Москва и обл.;112 513 680,00;75 800 169,00;36 713 511,00;48,43
64;0;Балтийский Банк;128;Москва и обл.;107 175 335,00;106 468 802,00;706 533,00;0,66
65;1;Запсибкомбанк;918;Тюменская обл.;104 298 506,00;98 826 749,00;5 471 757,00;5,54
66;-1;Сетелем Банк;2168;Москва и обл.;100 988 496,00;99 236 362,00;1 752 134,00;1,77
67;5;Дойче Банк;3328;Москва и обл.;97 192 634,00;84 203 146,00;12 989 488,00;15,43
68;5;Югра;880;Ханты-Мансийский АО — Югра;96 582 823,00;84 071 114,00;12 511 709,00;14,88
69;-1;ЦентроКредит;121;Москва и обл.;96 489 303,00;93 374 954,00;3 114 349,00;3,34
70;-1;Локо-Банк;2707;Москва и обл.;93 354 383,00;91 314 649,00;2 039 734,00;2,23
71;-1;Банк БФА;3038;Санкт-Петербург и обл.;90 753 805,00;90 564 888,00;188 917,00;0,21
72;-24;Всероссийский Банк Развития Регионов;3287;Москва и обл.;90 152 800,00;144 133 823,00;-53 981 023,00;-37,45
73;-2;Центр-инвест;2225;Ростовская обл.;86 309 335,00;84 831 149,00;1 478 186,00;1,74
74;0;Нота-Банк;2913;Москва и обл.;84 919 270,00;82 836 126,00;2 083 144,00;2,51
75;-8;Рост Банк;2888;Москва и обл.;84 700 622,00;95 062 498,00;-10 361 876,00;-10,90
76;8;Металлинвестбанк;2440;Москва и обл.;83 926 135,00;71 448 822,00;12 477 313,00;17,46
77;-2;Союз;2307;Москва и обл.;83 166 057,00;82 465 432,00;700 625,00;0,85
78;-2;БНП Париба Банк;3407;Москва и обл.;83 037 110,00;82 161 423,00;875 687,00;1,07
79;7;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;81 917 783,00;68 553 309,00;13 364 474,00;19,50
80;-3;Сургутнефтегазбанк;588;Ханты-Мансийский АО — Югра;80 807 707,00;77 126 776,00;3 680 931,00;4,77
81;2;Банк Интеза;2216;Москва и обл.;78 479 555,00;73 198 246,00;5 281 309,00;7,22
82;-2;СБ Банк (Судостроительный банк);2999;Москва и обл.;76 513 141,00;74 839 709,00;1 673 432,00;2,24
83;-4;Роскосмосбанк;2989;Москва и обл.;75 676 701,00;75 759 913,00;-83 212,00;-0,11
84;-2;Балтинвестбанк;3176;Санкт-Петербург и обл.;74 825 055,00;73 951 056,00;873 999,00;1,18
85;0;Международный Финансовый Клуб;2618;Москва и обл.;74 026 503,00;70 431 449,00;3 595 054,00;5,10
86;-5;Связной Банк;1961;Москва и обл.;72 803 070,00;74 367 375,00;-1 564 305,00;-2,10
87;1;Интеркоммерц Банк;1657;Москва и обл.;69 821 262,00;65 394 351,00;4 426 911,00;6,77
88;1;Первобанк;3461;Самарская обл.;67 223 866,00;64 196 193,00;3 027 673,00;4,72
89;-2;Юниаструм Банк;2771;Москва и обл.;64 595 216,00;68 473 998,00;-3 878 782,00;-5,66
90;1;Тойота Банк;3470;Москва и обл.;58 042 926,00;57 412 969,00;629 957,00;1,10
91;10;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;57 741 067,00;49 094 760,00;8 646 307,00;17,61
92;-2;РосинтерБанк;226;Москва и обл.;57 161 434,00;58 606 524,00;-1 445 090,00;-2,47
93;0;Экспобанк;2998;Москва и обл.;54 880 740,00;53 592 465,00;1 288 275,00;2,40
94;0;Бинбанк Диджитал;2827;Москва и обл.;54 711 029,00;52 168 623,00;2 542 406,00;4,87
95;19;Экспо Финанс;2594;Москва и обл.;53 783 736,00;39 087 542,00;14 696 194,00;37,60
96;-4;Национальный Стандарт;3421;Москва и обл.;53 341 325,00;53 745 485,00;-404 160,00;-0,75
97;5;Банк Финсервис;3388;Москва и обл.;52 407 121,00;48 673 090,00;3 734 031,00;7,67
98;-1;Почта Банк;650;Москва и обл.;52 238 054,00;50 237 759,00;2 000 295,00;3,98
99;5;Финпромбанк (ФПБ Банк);2157;Москва и обл.;52 235 105,00;45 254 841,00;6 980 264,00;15,42
100;-5;Кубань Кредит;2518;Краснодарский край;51 253 404,00;51 662 625,00;-409 221,00;-0,79
101;-1;АйСиБиСи Банк;3475;Москва и обл.;50 906 637,00;49 432 414,00;1 474 223,00;2,98
102;-4;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;50 766 090,00;50 010 183,00;755 907,00;1,51
103;-7;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;50 573 965,00;50 624 478,00;-50 513,00;-0,10
104;-5;Таврический Банк;2304;Санкт-Петербург и обл.;49 531 180,00;49 826 034,00;-294 854,00;-0,59
105;6;Мосстройэкономбанк (М Банк);948;Москва и обл.;48 323 778,00;40 883 020,00;7 440 758,00;18,20
106;-3;Собинбанк;1317;Москва и обл.;48 125 158,00;48 584 737,00;-459 579,00;-0,95
107;12;МБА-Москва;3395;Москва и обл.;47 417 789,00;37 985 025,00;9 432 764,00;24,83
108;-1;БФГ-Кредит;3068;Москва и обл.;47 366 293,00;43 775 500,00;3 590 793,00;8,20
109;-3;Фора-Банк;1885;Москва и обл.;47 364 698,00;43 851 538,00;3 513 160,00;8,01
110;12;Фольксваген Банк Рус;3500;Москва и обл.;46 324 490,00;37 415 835,00;8 908 655,00;23,81
111;-1;Военно-Промышленный Банк;3065;Москва и обл.;44 800 619,00;42 393 188,00;2 407 431,00;5,68
112;-3;Экспресс-Волга;3085;Саратовская обл.;44 525 159,00;43 343 097,00;1 182 062,00;2,73
113;8;Аверс;415;Татарстан;44 007 647,00;37 842 223,00;6 165 424,00;16,29
114;-6;Межтопэнергобанк;2956;Москва и обл.;43 527 663,00;43 612 211,00;-84 548,00;-0,19
115;1;Еврофинанс Моснарбанк;2402;Москва и обл.;43 158 717,00;38 890 953,00;4 267 764,00;10,97
116;1;Коммерцбанк (Евразия);3333;Москва и обл.;42 959 895,00;38 192 732,00;4 767 163,00;12,48
117;-5;Крайинвестбанк;3360;Краснодарский край;41 199 551,00;40 678 160,00;521 391,00;1,28
118;0;СДМ-Банк;1637;Москва и обл.;40 525 258,00;38 041 841,00;2 483 417,00;6,53
119;-14;Меткомбанк (Череповец);901;Вологодская обл.;40 134 880,00;45 191 677,00;-5 056 797,00;-11,19
120;-7;Интерпромбанк;3266;Москва и обл.;38 902 800,00;39 738 744,00;-835 944,00;-2,10
121;-6;Примсоцбанк;2733;Приморский край;38 690 709,00;38 936 472,00;-245 763,00;-0,63
122;2;Саровбизнесбанк;2048;Нижегородская обл.;38 058 776,00;37 319 642,00;739 134,00;1,98
123;-3;Челиндбанк;485;Челябинская обл.;37 933 960,00;37 882 084,00;51 876,00;0,14
124;3;Кольцо Урала;65;Свердловская обл.;37 845 493,00;36 004 953,00;1 840 540,00;5,11
125;3;Росэнергобанк;2211;Москва и обл.;37 708 391,00;35 958 376,00;1 750 015,00;4,87
126;8;Банк РСБ 24 (Русславбанк);1073;Москва и обл.;37 486 661,00;34 050 642,00;3 436 019,00;10,09
127;-2;Челябинвестбанк;493;Челябинская обл.;37 195 649,00;36 119 744,00;1 075 905,00;2,98
128;-5;Русский Международный Банк;3123;Москва и обл.;36 813 517,00;37 368 511,00;-554 994,00;-1,49
129;-3;Банк «Советский»;558;Санкт-Петербург и обл.;36 747 166,00;36 116 709,00;630 457,00;1,75
130;6;Интерпрогрессбанк;600;Москва и обл.;36 661 339,00;32 801 383,00;3 859 956,00;11,77
131;-2;Образование;1521;Москва и обл.;36 249 584,00;35 125 414,00;1 124 170,00;3,20
132;-2;НС Банк;3124;Москва и обл.;35 817 692,00;34 899 910,00;917 782,00;2,63
133;2;ББР Банк;2929;Москва и обл.;34 587 478,00;33 187 711,00;1 399 767,00;4,22
134;-2;Левобережный;1343;Новосибирская обл.;34 460 083,00;34 387 452,00;72 631,00;0,21
135;-4;Севергазбанк;2816;Вологодская обл.;34 262 754,00;34 480 126,00;-217 372,00;-0,63
136;3;БыстроБанк;1745;Удмуртия;33 917 595,00;32 019 950,00;1 897 645,00;5,93
137;0;М2М Прайвет Банк;1414;Москва и обл.;33 553 436,00;32 311 234,00;1 242 202,00;3,84
138;0;АМБ Банк;3036;Москва и обл.;33 552 659,00;32 028 985,00;1 523 674,00;4,76
139;5;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;33 170 058,00;29 380 617,00;3 789 441,00;12,90
140;0;Газбанк;2316;Самарская обл.;32 572 002,00;32 010 085,00;561 917,00;1,76
141;0;Русстройбанк;3205;Москва и обл.;32 196 918,00;31 351 907,00;845 011,00;2,70
142;1;Транспортный;3174;Москва и обл.;31 272 000,00;30 009 607,00;1 262 393,00;4,21
143;18;Морган Стэнли Банк;3456;Москва и обл.;30 770 324,00;24 248 286,00;6 522 038,00;26,90
144;-2;Банк АВБ;23;Самарская обл.;30 588 361,00;30 419 748,00;168 613,00;0,55
145;1;Натиксис Банк;3390;Москва и обл.;29 291 139,00;28 518 813,00;772 326,00;2,71
146;20;РН Банк;170;Москва и обл.;28 946 356,00;22 984 394,00;5 961 962,00;25,94
147;4;ПЧРБ Банк;3291;Москва и обл.;28 799 723,00;27 404 851,00;1 394 872,00;5,09
148;9;Бэнк оф Чайна;2309;Москва и обл.;28 552 226,00;25 261 860,00;3 290 366,00;13,03
149;45;Банк Кредит Свисс;2494;Москва и обл.;28 425 955,00;17 166 983,00;11 258 972,00;65,59
150;-5;Агропромкредит;2880;Москва и обл.;27 991 128,00;28 764 511,00;-773 383,00;-2,69
151;-4;Кедр;1574;Красноярский край;27 865 521,00;28 300 488,00;-434 967,00;-1,54
152;-4;Дальневосточный Банк;843;Приморский край;27 853 329,00;27 828 671,00;24 658,00;0,09
153;1;Модульбанк;1927;Костромская обл.;26 732 821,00;26 382 339,00;350 482,00;1,33
154;1;Мерседес-Бенц Банк Рус;3473;Москва и обл.;26 730 854,00;26 261 801,00;469 053,00;1,79
155;-2;Приморье;3001;Приморский край;26 322 983,00;26 763 896,00;-440 913,00;-1,65
156;-7;Девон-Кредит;1972;Татарстан;26 183 201,00;27 494 615,00;-1 311 414,00;-4,77
157;-5;Кредит Урал Банк;2584;Челябинская обл.;25 654 363,00;27 115 864,00;-1 461 501,00;-5,39
158;1;Интехбанк;2705;Татарстан;25 519 722,00;24 818 720,00;701 002,00;2,82
159;4;РНКБ;1354;Москва и обл.;25 385 577,00;23 922 315,00;1 463 262,00;6,12
160;-4;Эллипс Банк;1950;Нижегородская обл.;25 284 206,00;25 389 952,00;-105 746,00;-0,42
161;-11;Липецккомбанк;1242;Липецкая обл.;25 277 353,00;27 454 236,00;-2 176 883,00;-7,93
162;-2;Акибанк;2587;Татарстан;25 093 458,00;24 642 041,00;451 417,00;1,83
163;-1;Балтика;967;Москва и обл.;24 161 106,00;23 991 695,00;169 411,00;0,71
164;0;Урал ФД;249;Пермская обл.;24 118 651,00;23 625 590,00;493 061,00;2,09
165;16;Платежный Центр;3166;Новосибирская обл.;23 973 935,00;19 143 565,00;4 830 370,00;25,23
166;1;Альта-Банк;2269;Москва и обл.;23 968 340,00;22 902 292,00;1 066 048,00;4,65
167;-2;АктивКапитал Банк;3006;Самарская обл.;23 888 710,00;23 572 574,00;316 136,00;1,34
168;-10;БКС Банк;101;Новосибирская обл.;23 171 769,00;24 973 622,00;-1 801 853,00;-7,22
169;0;Тимер Банк;1581;Татарстан;23 026 126,00;22 662 534,00;363 592,00;1,60
170;-2;Легион;3117;Москва и обл.;22 835 475,00;22 851 693,00;-16 218,00;-0,07
171;-1;Спурт Банк;2207;Татарстан;22 375 735,00;21 410 947,00;964 788,00;4,51
172;-1;Москоммерцбанк;3365;Москва и обл.;21 642 483,00;21 359 201,00;283 282,00;1,33
173;4;Морской Банк;77;Москва и обл.;20 905 878,00;20 057 610,00;848 268,00;4,23
174;-1;Солидарность;554;Самарская обл.;20 640 754,00;20 694 749,00;-53 995,00;-0,26
175;-1;АйМаниБанк;1975;Москва и обл.;20 633 255,00;20 679 982,00;-46 727,00;-0,23
176;2;ФИА-Банк;2542;Самарская обл.;20 560 393,00;20 029 406,00;530 987,00;2,65
177;-5;БМВ Банк;3482;Москва и обл.;20 174 878,00;20 718 496,00;-543 618,00;-2,62
178;-2;Тольяттихимбанк;2507;Самарская обл.;19 990 591,00;20 310 642,00;-320 051,00;-1,58
179;0;Алмазэргиэнбанк;2602;Саха (Якутия);19 721 993,00;19 673 481,00;48 512,00;0,25
180;-5;Энергобанк;67;Татарстан;19 658 763,00;20 596 449,00;-937 686,00;-4,55
181;5;Ланта-Банк;1920;Москва и обл.;19 439 991,00;18 359 010,00;1 080 981,00;5,89
182;1;ОФК Банк;2270;Москва и обл.;19 261 544,00;18 807 279,00;454 265,00;2,42
183;2;Газэнергобанк;3252;Калужская обл.;19 215 487,00;18 506 644,00;708 843,00;3,83
184;6;Алеф-Банк;2119;Москва и обл.;19 152 721,00;17 578 533,00;1 574 188,00;8,96
185;-1;Транснациональный Банк;2108;Москва и обл.;19 126 310,00;18 599 812,00;526 498,00;2,83
186;-4;МАСТ-Банк;3267;Москва и обл.;19 017 693,00;19 000 030,00;17 663,00;0,09
187;-7;Московское Ипотечное Агентство;3344;Москва и обл.;18 772 702,00;19 625 880,00;-853 178,00;-4,35
188;1;НБД-Банк;1966;Нижегородская обл.;18 215 938,00;17 841 828,00;374 110,00;2,10
189;-2;Курскпромбанк;735;Курская обл.;18 171 029,00;18 024 001,00;147 028,00;0,82
190;12;Держава;2738;Москва и обл.;18 022 590,00;16 090 115,00;1 932 475,00;12,01
191;-3;Объединенный Капитал;2611;Санкт-Петербург и обл.;17 949 759,00;17 960 505,00;-10 746,00;-0,06
192;19;Денизбанк Москва;3330;Москва и обл.;17 762 007,00;15 084 713,00;2 677 294,00;17,75
193;6;Нацинвестпромбанк;3077;Москва и обл.;17 700 525,00;16 380 134,00;1 320 391,00;8,06
194;2;Данске Банк;3307;Санкт-Петербург и обл.;17 641 471,00;16 645 873,00;995 598,00;5,98
195;-4;Уралтрансбанк;812;Свердловская обл.;17 280 196,00;17 468 377,00;-188 181,00;-1,08
196;-4;Инвесткапиталбанк;2377;Башкортостан;17 104 747,00;17 271 305,00;-166 558,00;-0,96
197;-2;Форштадт;2208;Оренбургская обл.;16 892 531,00;16 871 959,00;20 572,00;0,12
198;5;Анталбанк;3115;Москва и обл.;16 716 283,00;15 989 430,00;726 853,00;4,55
199;-6;Норвик Банк;902;Кировская обл.;16 716 131,00;17 258 445,00;-542 314,00;-3,14
200;-3;Национальный Резервный Банк;2170;Москва и обл.;16 610 993,00;16 546 526,00;64 467,00;0,39
201;-3;ГПБ-Ипотека;2403;Москва и обл.;16 499 377,00;16 524 628,00;-25 251,00;-0,15
202;-1;Квантмобайл Банк;1189;Москва и обл.;16 364 215,00;16 213 691,00;150 524,00;0,93
203;4;Гранд Инвест Банк;3053;Москва и обл.;16 338 527,00;15 582 423,00;756 104,00;4,85
204;0;Банк Город;2644;Москва и обл.;15 978 122,00;15 801 049,00;177 073,00;1,12
205;-5;Расчетно-Кредитный Банк;103;Москва и обл.;15 968 000,00;16 324 812,00;-356 812,00;-2,19
206;4;Рублев;3098;Москва и обл.;15 896 714,00;15 272 745,00;623 969,00;4,09
207;-1;Хлынов;254;Кировская обл.;15 716 400,00;15 625 750,00;90 650,00;0,58
208;13;РосДорБанк;1573;Москва и обл.;15 465 708,00;13 969 210,00;1 496 498,00;10,71
209;14;СЭБ Банк;3235;Санкт-Петербург и обл.;15 413 030,00;13 681 508,00;1 731 522,00;12,66
210;4;Тусар;2712;Москва и обл.;15 128 698,00;14 777 205,00;351 493,00;2,38
211;1;СтарБанк;548;Москва и обл.;15 115 205,00;14 978 653,00;136 552,00;0,91
212;-3;Гаранти Банк — Москва;3275;Москва и обл.;15 077 204,00;15 274 606,00;-197 402,00;-1,29
213;-5;Современный Коммерческий Банк (бывш. ДжиИ Мани Банк);3316;Костромская обл.;15 040 398,00;15 498 790,00;-458 392,00;-2,96
214;1;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;14 899 808,00;14 615 595,00;284 213,00;1,94
215;5;Клиентский;2324;Москва и обл.;14 777 053,00;14 144 543,00;632 510,00;4,47
216;1;Пойдем!;2534;Москва и обл.;14 659 086,00;14 532 046,00;127 040,00;0,87
217;-1;Энерготрансбанк;1307;Калининградская обл.;14 557 288,00;14 542 541,00;14 747,00;0,10
218;-13;Развитие-Столица;3013;Москва и обл.;14 276 052,00;15 728 547,00;-1 452 495,00;-9,23
219;-6;Национальная Факторинговая Компания;3437;Москва и обл.;14 171 492,00;14 854 254,00;-682 762,00;-4,60
220;5;Росэксимбанк;2790;Москва и обл.;13 869 017,00;13 274 403,00;594 614,00;4,48
221;42;Киви Банк;2241;Москва и обл.;13 825 336,00;10 181 285,00;3 644 051,00;35,79
222;-3;БайкалБанк;2632;Бурятия;13 821 024,00;14 329 840,00;-508 816,00;-3,55
223;-1;Автоторгбанк;2776;Москва и обл.;13 813 720,00;13 827 645,00;-13 925,00;-0,10
224;2;Росавтобанк;2767;Москва и обл.;13 766 952,00;13 184 767,00;582 185,00;4,42
225;7;Генбанк;2490;Москва и обл.;13 751 834,00;12 872 942,00;878 892,00;6,83
226;4;Банк Акцепт;567;Новосибирская обл.;13 604 843,00;12 974 621,00;630 222,00;4,86
227;-9;Чайна Констракшн;3515;Москва и обл.;13 580 976,00;14 402 042,00;-821 066,00;-5,70
228;-4;НК Банк;2755;Москва и обл.;13 414 344,00;13 316 351,00;97 993,00;0,74
229;2;ТЭМБР-Банк;2764;Москва и обл.;13 146 814,00;12 920 171,00;226 643,00;1,75
230;-2;Первомайский;518;Краснодарский край;12 928 827,00;13 050 636,00;-121 809,00;-0,93
231;3;Метробанк;2548;Москва и обл.;12 853 707,00;12 706 633,00;147 074,00;1,16
232;5;Центркомбанк;2983;Москва и обл.;12 569 589,00;12 523 797,00;45 792,00;0,37
233;-6;Стратегия;2801;Москва и обл.;12 523 187,00;13 051 163,00;-527 976,00;-4,05
234;-1;Экономбанк;1319;Саратовская обл.;12 504 316,00;12 816 879,00;-312 563,00;-2,44
235;0;Социнвестбанк;1132;Башкортостан;12 497 320,00;12 626 020,00;-128 700,00;-1,02
236;3;Роскомснаббанк (бывш. Башкомснаббанк);1398;Башкортостан;12 484 612,00;12 245 072,00;239 540,00;1,96
237;5;Гарант-Инвест;2576;Москва и обл.;12 472 252,00;12 183 044,00;289 208,00;2,37
238;17;Ишбанк;2867;Москва и обл.;12 435 302,00;10 961 225,00;1 474 077,00;13,45
239;2;Тройка-Д Банк;3431;Москва и обл.;12 386 747,00;12 199 796,00;186 951,00;1,53
240;-2;Гута-Банк;256;Москва и обл.;12 299 124,00;12 422 526,00;-123 402,00;-0,99
241;-5;Русский Ипотечный Банк;1968;Москва и обл.;12 198 685,00;12 567 636,00;-368 951,00;-2,94
242;2;Дил-Банк;3384;Москва и обл.;12 114 079,00;11 776 221,00;337 858,00;2,87
243;-3;Солидарность (Москва);1555;Москва и обл.;12 095 399,00;12 213 620,00;-118 221,00;-0,97
244;2;ВУЗ-Банк;1557;Свердловская обл.;11 996 900,00;11 599 591,00;397 309,00;3,43
245;-16;Аресбанк;2914;Москва и обл.;11 916 837,00;12 977 753,00;-1 060 916,00;-8,17
246;6;Международный Акционерный Банк;1987;Москва и обл.;11 797 071,00;11 187 007,00;610 064,00;5,45
247;6;Унифин;2654;Москва и обл.;11 420 595,00;11 152 294,00;268 301,00;2,41
248;2;ОПМ-Банк;2734;Москва и обл.;11 405 076,00;11 250 161,00;154 915,00;1,38
249;-4;Александровский;53;Санкт-Петербург и обл.;11 398 515,00;11 768 206,00;-369 691,00;-3,14
250;1;Кредит-Москва;5;Москва и обл.;11 195 677,00;11 222 754,00;-27 077,00;-0,24
251;-8;Российская Финансовая Корпорация;3099;Москва и обл.;11 177 090,00;12 036 012,00;-858 922,00;-7,14
252;2;Прио-Внешторгбанк;212;Рязанская обл.;11 153 543,00;10 969 011,00;184 532,00;1,68
253;4;Мир Бизнес Банк;3396;Москва и обл.;11 138 369,00;10 925 144,00;213 225,00;1,95
254;5;Нефтяной Альянс;2859;Москва и обл.;11 010 243,00;10 743 912,00;266 331,00;2,48
255;7;Хованский;2145;Москва и обл.;10 958 703,00;10 576 591,00;382 112,00;3,61
256;-8;Русьуниверсалбанк;3293;Москва и обл.;10 877 100,00;11 373 881,00;-496 781,00;-4,37
257;-1;Солид Банк;1329;Камчатская обл.;10 845 530,00;10 959 777,00;-114 247,00;-1,04
258;0;ЕвроситиБанк;1869;Москва и обл.;10 776 737,00;10 897 205,00;-120 468,00;-1,11
259;2;Банк Оренбург;3269;Оренбургская обл.;10 682 229,00;10 591 397,00;90 832,00;0,86
