Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Январь, 2011, тыс. рублей;Декабрь, 2010, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;9 145 192 910,00;8 817 865 665,00;327 327 245,00;3,71
2;0;ВТБ;1000;Санкт-Петербург и обл.;2 822 169 844,00;2 781 919 369,00;40 250 475,00;1,45
3;0;Газпромбанк;354;Москва и обл.;1 874 115 343,00;1 850 670 517,00;23 444 826,00;1,27
4;0;Россельхозбанк;3349;Москва и обл.;1 080 160 552,00;1 041 259 773,00;38 900 779,00;3,74
5;0;БМ-Банк;2748;Москва и обл.;954 232 472,00;954 226 404,00;6 068,00;0,00
6;0;ВТБ 24;1623;Москва и обл.;937 768 778,00;882 471 244,00;55 297 534,00;6,27
7;0;Альфа-Банк;1326;Москва и обл.;880 202 924,00;822 352 453,00;57 850 471,00;7,03
8;0;ЮниКредит Банк;1;Москва и обл.;684 030 299,00;617 424 887,00;66 605 412,00;10,79
9;1;Райффайзенбанк;3292;Москва и обл.;509 652 091,00;498 305 356,00;11 346 735,00;2,28
10;-1;Промсвязьбанк;3251;Москва и обл.;504 501 914,00;503 535 115,00;966 799,00;0,19
11;0;Росбанк;2272;Москва и обл.;472 042 022,00;428 421 424,00;43 620 598,00;10,18
12;1;Банк Уралсиб;30;Москва и обл.;434 868 594,00;412 322 199,00;22 546 395,00;5,47
13;-1;МДМ Банк;2562;Новосибирская обл.;413 077 739,00;419 472 103,00;-6 394 364,00;-1,52
14;0;Транскредитбанк;2142;Москва и обл.;389 314 178,00;360 766 875,00;28 547 303,00;7,91
15;0;Банк Открытие;2209;Москва и обл.;382 433 139,00;336 755 592,00;45 677 547,00;13,56
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;284 066 227,00;283 464 978,00;601 249,00;0,21
17;3;ВТБ Северо-Запад;439;Санкт-Петербург и обл.;262 931 870,00;235 233 881,00;27 697 989,00;11,77
18;-1;Россия;328;Санкт-Петербург и обл.;261 075 088,00;270 921 747,00;-9 846 659,00;-3,63
19;-1;Ситибанк;2557;Москва и обл.;253 826 123,00;247 853 904,00;5 972 219,00;2,41
20;-1;Ак Барс;2590;Татарстан;247 173 561,00;246 046 485,00;1 127 076,00;0,46
21;1;Нордеа Банк;3016;Москва и обл.;193 454 562,00;195 178 217,00;-1 723 655,00;-0,88
22;-1;Связь-Банк;1470;Москва и обл.;184 396 769,00;219 685 786,00;-35 289 017,00;-16,06
23;0;Петрокоммерц;1776;Москва и обл.;183 950 520,00;188 425 307,00;-4 474 787,00;-2,37
24;2;Возрождение;1439;Москва и обл.;175 459 419,00;163 604 256,00;11 855 163,00;7,25
25;-1;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;170 270 566,00;176 690 544,00;-6 419 978,00;-3,63
26;2;Московский Кредитный Банк;1978;Москва и обл.;168 402 759,00;145 056 586,00;23 346 173,00;16,09
27;-2;Банк Зенит;3255;Москва и обл.;165 994 490,00;171 580 208,00;-5 585 718,00;-3,26
28;-1;Траст;3279;Москва и обл.;163 242 584,00;155 563 944,00;7 678 640,00;4,94
29;1;МТС Банк;2268;Москва и обл.;162 350 505,00;142 912 693,00;19 437 812,00;13,60
30;-1;Русский Стандарт;2289;Москва и обл.;146 956 376,00;142 958 598,00;3 997 778,00;2,80
31;1;Банк Сосьете Женераль Восток;2295;Москва и обл.;144 872 563,00;129 418 714,00;15 453 849,00;11,94
32;2;Банк «Открытие»;2179;Москва и обл.;137 479 910,00;123 214 487,00;14 265 423,00;11,58
33;2;Национальный Клиринговый Центр;3466;Москва и обл.;124 948 174,00;119 033 894,00;5 914 280,00;4,97
34;-3;ИНГ Банк;2495;Москва и обл.;122 812 094,00;130 377 884,00;-7 565 790,00;-5,80
35;1;Абсолют Банк;2306;Москва и обл.;120 917 242,00;117 707 335,00;3 209 907,00;2,73
36;-3;КИТ Финанс Инвестиционный Банк;1911;Санкт-Петербург и обл.;120 190 459,00;125 520 828,00;-5 330 369,00;-4,25
37;0;Хоум Кредит Банк;316;Москва и обл.;119 704 304,00;116 153 611,00;3 550 693,00;3,06
38;1;Глобэкс;1942;Москва и обл.;112 012 705,00;106 665 955,00;5 346 750,00;5,01
39;1;Московский Индустриальный Банк;912;Москва и обл.;108 812 344,00;104 182 352,00;4 629 992,00;4,44
40;-2;ОТП Банк;2766;Москва и обл.;106 094 519,00;107 291 871,00;-1 197 352,00;-1,12
41;1;Восточный Банк;1460;Амурская обл.;99 900 786,00;97 245 420,00;2 655 366,00;2,73
42;-1;РГС Банк;3073;Москва и обл.;98 649 321,00;99 567 597,00;-918 276,00;-0,92
43;1;Бинбанк;323;Москва и обл.;98 185 640,00;93 442 621,00;4 743 019,00;5,08
44;-1;Русфинанс Банк;1792;Самарская обл.;93 919 356,00;94 109 663,00;-190 307,00;-0,20
45;11;МСП Банк;3340;Москва и обл.;90 501 334,00;68 924 952,00;21 576 382,00;31,30
46;4;Кредит Европа Банк;3311;Москва и обл.;89 337 320,00;74 285 585,00;15 051 735,00;20,26
47;7;СКБ-Банк;705;Свердловская обл.;87 676 982,00;72 423 497,00;15 253 485,00;21,06
48;1;Банк Интеза;2216;Москва и обл.;86 681 068,00;79 992 227,00;6 688 841,00;8,36
49;-2;Юниаструм Банк;2771;Москва и обл.;84 919 775,00;82 149 842,00;2 769 933,00;3,37
50;-4;ЦентроКредит;121;Москва и обл.;82 662 448,00;84 010 533,00;-1 348 085,00;-1,60
51;-3;Пробизнесбанк;2412;Москва и обл.;81 735 214,00;80 404 290,00;1 330 924,00;1,66
52;1;Транскапиталбанк;2210;Москва и обл.;78 928 045,00;73 128 910,00;5 799 135,00;7,93
53;4;Союз;2307;Москва и обл.;75 981 011,00;68 717 769,00;7 263 242,00;10,57
54;4;РосЕвроБанк;3137;Москва и обл.;75 522 018,00;67 769 808,00;7 752 210,00;11,44
55;;Национальный Расчетный Депозитарий;3294;Москва и обл.;75 494 059,00;-;-;
56;-1;Балтийский Банк;128;Москва и обл.;74 223 760,00;68 992 653,00;5 231 107,00;7,58
57;-5;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;72 963 477,00;73 160 732,00;-197 255,00;-0,27
58;-7;Мастер-Банк;2176;Москва и обл.;72 291 248,00;73 314 759,00;-1 023 511,00;-1,40
59;6;СМП Банк;3368;Москва и обл.;71 555 041,00;56 954 837,00;14 600 204,00;25,63
60;-1;Собинбанк;1317;Москва и обл.;69 721 374,00;67 591 248,00;2 130 126,00;3,15
61;-16;Дойче Банк;3328;Москва и обл.;69 629 157,00;85 200 247,00;-15 571 090,00;-18,28
62;-1;Внешпромбанк;3261;Москва и обл.;69 080 449,00;62 714 235,00;6 366 214,00;10,15
63;-3;Инвестторгбанк;2763;Москва и обл.;65 734 309,00;62 965 298,00;2 769 011,00;4,40
64;-2;Запсибкомбанк;918;Тюменская обл.;65 347 358,00;60 340 803,00;5 006 555,00;8,30
65;-1;Новикомбанк;2546;Москва и обл.;65 275 597,00;58 879 821,00;6 395 776,00;10,86
66;-3;Татфондбанк;3058;Татарстан;64 280 168,00;59 373 603,00;4 906 565,00;8,26
67;6;БНП Париба Банк;3407;Москва и обл.;62 008 853,00;49 188 653,00;12 820 200,00;26,06
68;-2;Национальный Резервный Банк;2170;Москва и обл.;61 987 684,00;55 810 781,00;6 176 903,00;11,07
69;0;Всероссийский Банк Развития Регионов;3287;Москва и обл.;60 928 895,00;52 249 913,00;8 678 982,00;16,61
70;-3;Авангард;2879;Москва и обл.;60 283 261,00;55 250 717,00;5 032 544,00;9,11
71;-3;Экспо Финанс;2594;Москва и обл.;53 399 149,00;54 938 462,00;-1 539 313,00;-2,80
72;4;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;52 805 630,00;47 696 768,00;5 108 862,00;10,71
73;9;Металлинвестбанк;2440;Москва и обл.;52 570 785,00;45 439 436,00;7 131 349,00;15,69
74;3;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;51 367 609,00;47 648 623,00;3 718 986,00;7,81
75;4;Локо-Банк;2707;Москва и обл.;51 306 437,00;47 246 556,00;4 059 881,00;8,59
76;-4;Роскосмосбанк;2989;Москва и обл.;50 694 888,00;49 270 751,00;1 424 137,00;2,89
77;-3;Центр-инвест;2225;Ростовская обл.;50 680 942,00;48 438 720,00;2 242 222,00;4,63
78;-8;Балтинвестбанк;3176;Санкт-Петербург и обл.;50 442 205,00;51 279 756,00;-837 551,00;-1,63
79;-4;Ренессанс Кредит;3354;Москва и обл.;47 814 743,00;47 847 242,00;-32 499,00;-0,07
80;3;Совкомбанк;963;Костромская обл.;47 286 358,00;44 106 212,00;3 180 146,00;7,21
81;4;Пересвет;2110;Москва и обл.;46 845 437,00;42 398 770,00;4 446 667,00;10,49
82;-1;АМТ Банк;2820;Москва и обл.;46 545 336,00;45 725 745,00;819 591,00;1,79
83;3;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;43 856 432,00;39 341 816,00;4 514 616,00;11,48
84;-6;Сургутнефтегазбанк;588;Тюменская обл.;42 727 933,00;47 430 789,00;-4 702 856,00;-9,92
85;2;СБ Банк (Судостроительный банк);2999;Москва и обл.;41 028 660,00;38 899 618,00;2 129 042,00;5,47
86;-15;Коммерцбанк (Евразия);3333;Москва и обл.;40 706 309,00;50 168 999,00;-9 462 690,00;-18,86
87;5;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;40 415 249,00;34 797 416,00;5 617 833,00;16,14
88;-4;Инвестбанк;107;Калининградская обл.;40 095 628,00;42 779 037,00;-2 683 409,00;-6,27
89;-9;Сведбанк;3064;Москва и обл.;39 397 158,00;46 239 341,00;-6 842 183,00;-14,80
90;-1;Банк ДОМ.РФ;2312;Москва и обл.;37 877 083,00;36 519 021,00;1 358 062,00;3,72
91;2;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;37 023 451,00;34 303 310,00;2 720 141,00;7,93
92;-4;Национальный Стандарт;3421;Москва и обл.;36 860 804,00;36 848 456,00;12 348,00;0,03
93;-2;Еврофинанс Моснарбанк;2402;Москва и обл.;36 560 721,00;35 545 078,00;1 015 643,00;2,86
94;-4;Первобанк;3461;Самарская обл.;34 178 629,00;35 928 225,00;-1 749 596,00;-4,87
95;0;Национальный Торговый Банк;3087;Самарская обл.;32 810 446,00;31 400 774,00;1 409 672,00;4,49
96;4;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;32 778 474,00;28 007 502,00;4 770 972,00;17,03
97;11;Международный Финансовый Клуб;2618;Москва и обл.;32 349 045,00;25 336 738,00;7 012 307,00;27,68
98;-2;Бинбанк Диджитал;2827;Москва и обл.;31 954 003,00;30 758 478,00;1 195 525,00;3,89
99;19;Нота-Банк;2913;Москва и обл.;31 866 656,00;22 620 939,00;9 245 717,00;40,87
100;3;Таврический Банк;2304;Санкт-Петербург и обл.;30 434 874,00;26 757 728,00;3 677 146,00;13,74
101;0;Челиндбанк;485;Челябинская обл.;29 712 566,00;27 926 439,00;1 786 127,00;6,40
102;-8;Расчетная Палата РТС;3335;Москва и обл.;29 067 133,00;31 653 331,00;-2 586 198,00;-8,17
103;-4;Дальневосточный Банк;843;Приморский край;28 421 150,00;28 147 881,00;273 269,00;0,97
104;-6;Экспобанк;2998;Москва и обл.;28 362 230,00;28 471 976,00;-109 746,00;-0,39
105;0;Кубань Кредит;2518;Краснодарский край;28 252 870,00;25 842 688,00;2 410 182,00;9,33
106;-9;Москоммерцбанк;3365;Москва и обл.;27 754 341,00;28 509 446,00;-755 105,00;-2,65
107;9;НС Банк;3124;Москва и обл.;27 724 156,00;22 761 294,00;4 962 862,00;21,80
108;-6;Современный Коммерческий Банк (бывш. ДжиИ Мани Банк);3316;Москва и обл.;27 672 430,00;27 311 564,00;360 866,00;1,32
109;-3;Челябинвестбанк;493;Челябинская обл.;27 407 673,00;25 737 175,00;1 670 498,00;6,49
110;-6;Кедр;1574;Москва и обл.;26 134 110,00;26 003 458,00;130 652,00;0,50
