Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Июль, 2013, тыс. рублей;Июнь, 2013, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;14 783 796 412,00;14 610 447 162,00;173 349 250,00;1,19
2;0;ВТБ;1000;Санкт-Петербург и обл.;5 046 055 494,00;4 795 499 256,00;250 556 238,00;5,22
3;0;Газпромбанк;354;Москва и обл.;3 219 875 456,00;3 187 566 403,00;32 309 053,00;1,01
4;1;Россельхозбанк;3349;Москва и обл.;1 787 006 277,00;1 689 380 568,00;97 625 709,00;5,78
5;-1;ВТБ 24;1623;Москва и обл.;1 746 577 663,00;1 690 789 318,00;55 788 345,00;3,30
6;0;БМ-Банк;2748;Москва и обл.;1 615 071 361,00;1 590 347 060,00;24 724 301,00;1,55
7;0;Альфа-Банк;1326;Москва и обл.;1 417 896 979,00;1 324 025 889,00;93 871 090,00;7,09
8;0;ЮниКредит Банк;1;Москва и обл.;796 821 583,00;812 419 179,00;-15 597 596,00;-1,92
9;3;Промсвязьбанк;3251;Москва и обл.;745 357 643,00;676 932 931,00;68 424 712,00;10,11
10;0;Росбанк;2272;Москва и обл.;732 658 124,00;695 265 860,00;37 392 264,00;5,38
11;-2;Райффайзенбанк;3292;Москва и обл.;700 280 089,00;712 484 288,00;-12 204 199,00;-1,71
12;-1;Банк Открытие;2209;Москва и обл.;696 360 062,00;687 676 957,00;8 683 105,00;1,26
13;0;Банк Уралсиб;30;Москва и обл.;433 386 997,00;440 299 195,00;-6 912 198,00;-1,57
14;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;402 738 755,00;394 715 032,00;8 023 723,00;2,03
15;0;Хоум Кредит Банк;316;Москва и обл.;399 072 318,00;379 035 705,00;20 036 613,00;5,29
16;2;Московский Кредитный Банк;1978;Москва и обл.;374 970 904,00;362 088 157,00;12 882 747,00;3,56
17;-1;Русский Стандарт;2289;Москва и обл.;374 903 288,00;366 191 454,00;8 711 834,00;2,38
18;1;Россия;328;Санкт-Петербург и обл.;367 973 105,00;356 267 534,00;11 705 571,00;3,29
19;2;МДМ Банк;2562;Новосибирская обл.;360 118 520,00;349 447 340,00;10 671 180,00;3,05
20;-3;Ак Барс;2590;Татарстан;351 661 443,00;362 723 987,00;-11 062 544,00;-3,05
21;-1;Ситибанк;2557;Москва и обл.;346 693 178,00;351 588 938,00;-4 895 760,00;-1,39
22;1;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;318 836 432,00;303 443 353,00;15 393 079,00;5,07
23;-1;Транскредитбанк;2142;Москва и обл.;298 315 267,00;323 404 096,00;-25 088 829,00;-7,76
24;0;Связь-Банк;1470;Москва и обл.;285 271 232,00;269 633 594,00;15 637 638,00;5,80
25;2;Нордеа Банк;3016;Москва и обл.;270 084 764,00;247 251 718,00;22 833 046,00;9,23
26;0;Восточный Банк;1460;Амурская обл.;250 736 016,00;249 216 203,00;1 519 813,00;0,61
27;-2;Петрокоммерц;1776;Москва и обл.;247 562 488,00;251 610 301,00;-4 047 813,00;-1,61
28;5;Национальный Клиринговый Центр;3466;Москва и обл.;241 374 689,00;206 342 954,00;35 031 735,00;16,98
29;-1;Банк Зенит;3255;Москва и обл.;238 819 722,00;233 980 062,00;4 839 660,00;2,07
30;0;Глобэкс;1942;Москва и обл.;237 368 416,00;232 809 119,00;4 559 297,00;1,96
31;0;Возрождение;1439;Москва и обл.;230 565 146,00;227 019 616,00;3 545 530,00;1,56
32;2;Траст;3279;Москва и обл.;229 595 807,00;198 061 663,00;31 534 144,00;15,92
33;-4;ИНГ Банк;2495;Москва и обл.;223 134 095,00;233 436 994,00;-10 302 899,00;-4,41
34;-2;Банк «Открытие»;2179;Москва и обл.;199 572 000,00;209 743 988,00;-10 171 988,00;-4,85
35;4;Бинбанк;323;Москва и обл.;197 244 086,00;171 957 364,00;25 286 722,00;14,71
36;-1;МТС Банк;2268;Москва и обл.;193 835 725,00;196 707 464,00;-2 871 739,00;-1,46
37;-1;Московский Индустриальный Банк;912;Москва и обл.;183 241 662,00;177 566 109,00;5 675 553,00;3,20
38;0;ОТП Банк;2766;Москва и обл.;179 120 402,00;172 951 018,00;6 169 384,00;3,57
39;1;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;170 309 321,00;167 523 123,00;2 786 198,00;1,66
40;-3;Дойче Банк;3328;Москва и обл.;157 183 303,00;176 091 373,00;-18 908 070,00;-10,74
41;7;Новикомбанк;2546;Москва и обл.;145 425 419,00;123 624 606,00;21 800 813,00;17,63
42;-1;Кредит Европа Банк;3311;Москва и обл.;145 125 375,00;148 290 009,00;-3 164 634,00;-2,13
43;0;СМП Банк;3368;Москва и обл.;140 763 384,00;137 180 110,00;3 583 274,00;2,61
44;2;Внешпромбанк;3261;Москва и обл.;140 242 451,00;131 845 085,00;8 397 366,00;6,37
45;0;Транскапиталбанк;2210;Москва и обл.;137 715 191,00;132 730 696,00;4 984 495,00;3,76
46;-2;СКБ-Банк;705;Свердловская обл.;135 082 195,00;136 265 562,00;-1 183 367,00;-0,87
47;0;МСП Банк;3340;Москва и обл.;129 414 847,00;131 091 767,00;-1 676 920,00;-1,28
48;3;Авангард;2879;Москва и обл.;122 308 993,00;114 229 567,00;8 079 426,00;7,07
49;4;РГС Банк;3073;Москва и обл.;120 605 102,00;113 146 047,00;7 459 055,00;6,59
50;4;Татфондбанк;3058;Татарстан;116 055 541,00;112 876 742,00;3 178 799,00;2,82
51;5;РосЕвроБанк;3137;Москва и обл.;115 637 900,00;111 868 685,00;3 769 215,00;3,37
52;-2;Инвестторгбанк;2763;Москва и обл.;115 200 886,00;114 869 658,00;331 228,00;0,29
53;-4;Пробизнесбанк;2412;Москва и обл.;115 182 909,00;116 005 299,00;-822 390,00;-0,71
54;1;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;113 956 212,00;112 421 053,00;1 535 159,00;1,37
55;2;Совкомбанк;963;Костромская обл.;112 198 933,00;108 814 200,00;3 384 733,00;3,11
56;3;Ренессанс Кредит;3354;Москва и обл.;109 024 600,00;106 731 996,00;2 292 604,00;2,15
57;-5;Абсолют Банк;2306;Москва и обл.;108 402 817,00;113 630 434,00;-5 227 617,00;-4,60
58;0;Русфинанс Банк;1792;Самарская обл.;108 032 714,00;107 402 855,00;629 859,00;0,59
59;1;Банк ДОМ.РФ;2312;Москва и обл.;105 289 043,00;98 657 367,00;6 631 676,00;6,72
60;-18;Национальный Расчетный Депозитарий;3294;Москва и обл.;103 079 783,00;147 809 186,00;-44 729 403,00;-30,26
61;5;БНП Париба Банк;3407;Москва и обл.;98 718 942,00;89 027 656,00;9 691 286,00;10,89
62;1;КИТ Финанс Инвестиционный Банк;1911;Санкт-Петербург и обл.;92 744 682,00;93 951 492,00;-1 206 810,00;-1,28
63;2;Пересвет;2110;Москва и обл.;92 718 142,00;89 849 628,00;2 868 514,00;3,19
64;-2;Тинькофф Банк;2673;Москва и обл.;91 740 214,00;94 273 883,00;-2 533 669,00;-2,69
65;2;Запсибкомбанк;918;Тюменская обл.;88 346 314,00;88 726 050,00;-379 736,00;-0,43
66;2;ДельтаКредит;3338;Москва и обл.;87 127 765,00;86 109 709,00;1 018 056,00;1,18
67;-6;Союз;2307;Москва и обл.;86 716 786,00;94 866 309,00;-8 149 523,00;-8,59
68;2;Балтийский Банк;128;Москва и обл.;85 273 700,00;82 822 637,00;2 451 063,00;2,96
69;0;ЦентроКредит;121;Москва и обл.;83 906 638,00;84 382 005,00;-475 367,00;-0,56
70;2;Мастер-Банк;2176;Москва и обл.;83 763 974,00;80 821 998,00;2 941 976,00;3,64
71;5;Связной Банк;1961;Москва и обл.;82 139 549,00;76 753 817,00;5 385 732,00;7,02
72;2;Банк Интеза;2216;Москва и обл.;81 150 375,00;79 915 552,00;1 234 823,00;1,55
73;0;Юниаструм Банк;2771;Москва и обл.;80 882 902,00;80 768 073,00;114 829,00;0,14
74;1;Нота-Банк;2913;Москва и обл.;80 663 652,00;77 809 123,00;2 854 529,00;3,67
