Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Июль, 2012, тыс. рублей;Июнь, 2012, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;12 336 754 673,00;12 019 625 947,00;317 128 726,00;2,64
2;0;ВТБ;1000;Санкт-Петербург и обл.;4 027 309 402,00;3 953 330 036,00;73 979 366,00;1,87
3;0;Газпромбанк;354;Москва и обл.;2 613 739 316,00;2 511 938 314,00;101 801 002,00;4,05
4;0;Россельхозбанк;3349;Москва и обл.;1 546 462 578,00;1 486 352 723,00;60 109 855,00;4,04
5;1;БМ-Банк;2748;Москва и обл.;1 358 240 247,00;1 227 738 298,00;130 501 949,00;10,63
6;-1;ВТБ 24;1623;Москва и обл.;1 291 193 317,00;1 284 138 088,00;7 055 229,00;0,55
7;0;Альфа-Банк;1326;Москва и обл.;1 068 479 618,00;1 057 249 625,00;11 229 993,00;1,06
8;0;ЮниКредит Банк;1;Москва и обл.;856 769 057,00;872 368 646,00;-15 599 589,00;-1,79
9;1;Райффайзенбанк;3292;Москва и обл.;714 542 829,00;668 628 026,00;45 914 803,00;6,87
10;-1;Росбанк;2272;Москва и обл.;682 668 043,00;673 833 620,00;8 834 423,00;1,31
11;0;Промсвязьбанк;3251;Москва и обл.;632 897 765,00;602 730 572,00;30 167 193,00;5,01
12;1;Транскредитбанк;2142;Москва и обл.;500 964 181,00;488 845 467,00;12 118 714,00;2,48
13;-1;Банк Открытие;2209;Москва и обл.;493 061 449,00;491 955 576,00;1 105 873,00;0,22
14;0;Банк Уралсиб;30;Москва и обл.;432 569 458,00;431 869 842,00;699 616,00;0,16
15;0;МДМ Банк;2562;Новосибирская обл.;363 605 231,00;367 839 701,00;-4 234 470,00;-1,15
16;1;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;359 582 253,00;340 025 680,00;19 556 573,00;5,75
17;-1;Ситибанк;2557;Москва и обл.;333 098 758,00;341 539 294,00;-8 440 536,00;-2,47
18;0;Ак Барс;2590;Татарстан;320 502 064,00;316 517 745,00;3 984 319,00;1,26
19;0;Россия;328;Санкт-Петербург и обл.;310 723 340,00;307 357 017,00;3 366 323,00;1,10
20;0;Нордеа Банк;3016;Москва и обл.;271 371 473,00;281 790 690,00;-10 419 217,00;-3,70
21;1;Московский Кредитный Банк;1978;Москва и обл.;267 632 058,00;254 011 761,00;13 620 297,00;5,36
