Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Июль, 2012, тыс. рублей;Июнь, 2012, тыс. рублей;Изменение, тыс. рублей;Изменение, %
22;-1;ИНГ Банк;2495;Москва и обл.;251 069 981,00;262 761 825,00;-11 691 844,00;-4,45
23;0;Связь-Банк;1470;Москва и обл.;250 352 484,00;252 262 884,00;-1 910 400,00;-0,76
24;0;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;249 182 525,00;246 448 406,00;2 734 119,00;1,11
25;0;Петрокоммерц;1776;Москва и обл.;247 746 992,00;243 495 862,00;4 251 130,00;1,75
26;0;Русский Стандарт;2289;Москва и обл.;228 301 040,00;223 612 271,00;4 688 769,00;2,10
27;0;Банк Зенит;3255;Москва и обл.;221 631 207,00;216 878 779,00;4 752 428,00;2,19
28;0;Глобэкс;1942;Москва и обл.;206 401 938,00;204 151 219,00;2 250 719,00;1,10
29;1;Возрождение;1439;Москва и обл.;204 860 158,00;200 854 552,00;4 005 606,00;1,99
30;-1;Хоум Кредит Банк;316;Москва и обл.;201 135 553,00;202 970 756,00;-1 835 203,00;-0,90
31;0;Траст;3279;Москва и обл.;200 105 710,00;195 939 808,00;4 165 902,00;2,13
32;0;Восточный Банк;1460;Амурская обл.;177 532 966,00;167 915 704,00;9 617 262,00;5,73
33;0;Банк «Открытие»;2179;Москва и обл.;159 874 009,00;164 009 051,00;-4 135 042,00;-2,52
34;0;Московский Индустриальный Банк;912;Москва и обл.;154 142 426,00;151 638 012,00;2 504 414,00;1,65
35;1;Бинбанк;323;Москва и обл.;144 413 532,00;144 930 722,00;-517 190,00;-0,36
36;-1;МТС Банк;2268;Москва и обл.;143 622 934,00;147 007 033,00;-3 384 099,00;-2,30
37;0;ОТП Банк;2766;Москва и обл.;142 061 353,00;139 632 043,00;2 429 310,00;1,74
38;5;Транскапиталбанк;2210;Москва и обл.;132 572 082,00;114 676 489,00;17 895 593,00;15,61
39;1;Национальный Клиринговый Центр;3466;Москва и обл.;124 462 080,00;119 744 853,00;4 717 227,00;3,94
40;1;СКБ-Банк;705;Свердловская обл.;123 475 525,00;119 268 820,00;4 206 705,00;3,53
41;-3;Дойче Банк;3328;Москва и обл.;121 894 160,00;132 324 152,00;-10 429 992,00;-7,88
42;-3;СМП Банк;3368;Москва и обл.;115 234 933,00;120 687 003,00;-5 452 070,00;-4,52
43;-1;Абсолют Банк;2306;Москва и обл.;112 811 573,00;116 086 472,00;-3 274 899,00;-2,82
44;0;Уральский Банк Реконструкции и Развития;429;Свердловская обл.;110 168 442,00;113 073 131,00;-2 904 689,00;-2,57
45;2;БНП Париба Банк;3407;Москва и обл.;108 726 789,00;104 470 002,00;4 256 787,00;4,07
46;0;Кредит Европа Банк;3311;Москва и обл.;106 923 429,00;105 958 850,00;964 579,00;0,91
47;-2;Русфинанс Банк;1792;Самарская обл.;105 519 960,00;106 131 235,00;-611 275,00;-0,58
48;0;Новикомбанк;2546;Москва и обл.;103 885 155,00;101 736 995,00;2 148 160,00;2,11
49;2;Инвестторгбанк;2763;Москва и обл.;102 839 816,00;97 713 198,00;5 126 618,00;5,25
50;-1;РГС Банк;3073;Москва и обл.;102 537 531,00;99 939 005,00;2 598 526,00;2,60
51;1;РосЕвроБанк;3137;Москва и обл.;100 479 131,00;97 174 377,00;3 304 754,00;3,40
52;2;Внешпромбанк;3261;Москва и обл.;98 386 337,00;94 376 477,00;4 009 860,00;4,25
53;-3;Пробизнесбанк;2412;Москва и обл.;95 434 541,00;99 328 745,00;-3 894 204,00;-3,92
54;-1;МСП Банк;3340;Москва и обл.;95 416 948,00;94 431 783,00;985 165,00;1,04
55;2;Национальный Расчетный Депозитарий;3294;Москва и обл.;93 894 196,00;86 062 320,00;7 831 876,00;9,10
56;-1;Авангард;2879;Москва и обл.;92 838 559,00;88 289 979,00;4 548 580,00;5,15
57;-1;Татфондбанк;3058;Татарстан;91 992 487,00;88 085 849,00;3 906 638,00;4,44
58;0;Банк Интеза;2216;Москва и обл.;89 289 525,00;85 431 897,00;3 857 628,00;4,52
59;0;Юниаструм Банк;2771;Москва и обл.;85 930 082,00;84 039 430,00;1 890 652,00;2,25
60;1;Балтийский Банк;128;Москва и обл.;84 615 283,00;81 989 350,00;2 625 933,00;3,20
61;1;Банк ДОМ.РФ;2312;Москва и обл.;83 676 339,00;80 057 595,00;3 618 744,00;4,52
62;-2;Союз;2307;Москва и обл.;83 013 352,00;82 028 522,00;984 830,00;1,20
63;0;КИТ Финанс Инвестиционный Банк;1911;Санкт-Петербург и обл.;79 789 836,00;78 610 032,00;1 179 804,00;1,50
64;4;Всероссийский Банк Развития Регионов;3287;Москва и обл.;76 988 063,00;73 193 550,00;3 794 513,00;5,18
65;1;Мастер-Банк;2176;Москва и обл.;75 395 454,00;73 629 388,00;1 766 066,00;2,40
66;-2;ЦентроКредит;121;Москва и обл.;74 864 034,00;77 318 050,00;-2 454 016,00;-3,17
67;4;Пересвет;2110;Москва и обл.;74 251 973,00;69 505 881,00;4 746 092,00;6,83
68;-1;Запсибкомбанк;918;Тюменская обл.;74 113 146,00;73 591 805,00;521 341,00;0,71
69;0;Азиатско-Тихоокеанский Банк;1810;Амурская обл.;73 602 050,00;73 013 827,00;588 223,00;0,81
70;-5;Ренессанс Кредит;3354;Москва и обл.;73 258 237,00;75 367 094,00;-2 108 857,00;-2,80
71;3;Совкомбанк;963;Костромская обл.;71 201 917,00;67 329 707,00;3 872 210,00;5,75
72;0;ДельтаКредит;3338;Москва и обл.;68 970 984,00;68 723 292,00;247 692,00;0,36
73;0;Собинбанк;1317;Москва и обл.;65 273 736,00;68 297 216,00;-3 023 480,00;-4,43
74;-4;Эйч-Эс-Би-Си Банк (HSBC);3290;Москва и обл.;64 922 598,00;70 699 547,00;-5 776 949,00;-8,17
75;1;Роскосмосбанк;2989;Москва и обл.;63 529 168,00;61 224 008,00;2 305 160,00;3,77
76;-1;Центр-инвест;2225;Ростовская обл.;62 207 731,00;61 755 436,00;452 295,00;0,73
77;0;Балтинвестбанк;3176;Санкт-Петербург и обл.;60 824 032,00;58 677 045,00;2 146 987,00;3,66
78;0;Локо-Банк;2707;Москва и обл.;59 603 978,00;58 111 141,00;1 492 837,00;2,57
79;1;Связной Банк;1961;Москва и обл.;57 327 749,00;55 046 247,00;2 281 502,00;4,14
80;1;Нота-Банк;2913;Москва и обл.;55 832 650,00;55 003 176,00;829 474,00;1,51
81;11;Еврофинанс Моснарбанк;2402;Москва и обл.;53 761 053,00;43 030 137,00;10 730 916,00;24,94
82;0;Металлинвестбанк;2440;Москва и обл.;52 555 600,00;54 950 445,00;-2 394 845,00;-4,36
83;7;Первобанк;3461;Самарская обл.;52 425 412,00;44 490 499,00;7 934 913,00;17,84
84;7;Сургутнефтегазбанк;588;Тюменская обл.;51 258 180,00;44 390 587,00;6 867 593,00;15,47
85;-1;Международный Банк Санкт-Петербурга (МБСП);197;Санкт-Петербург и обл.;50 217 522,00;49 415 554,00;801 968,00;1,62
86;3;СБ Банк (Судостроительный банк);2999;Москва и обл.;49 460 846,00;45 067 636,00;4 393 210,00;9,75
87;-1;Банк Сберегательно-Кредитного Сервиса;3224;Москва и обл.;49 046 327,00;48 044 244,00;1 002 083,00;2,09
88;-3;Банк Кредит Свисс;2494;Москва и обл.;48 913 955,00;49 345 847,00;-431 892,00;-0,88
89;-1;Меткомбанк (Каменск-Уральский);2443;Свердловская обл.;48 887 095,00;46 871 656,00;2 015 439,00;4,30
90;-11;Экспо Финанс;2594;Москва и обл.;48 625 062,00;58 061 994,00;-9 436 932,00;-16,25
91;-8;Креди Агриколь КИБ;1680;Санкт-Петербург и обл.;47 986 744,00;52 016 375,00;-4 029 631,00;-7,75
92;-5;Инвестбанк;107;Москва и обл.;46 900 692,00;46 938 841,00;-38 149,00;-0,08
93;2;Тинькофф Банк;2673;Москва и обл.;46 257 151,00;42 469 208,00;3 787 943,00;8,92
94;2;Национальный Стандарт;3421;Москва и обл.;45 424 360,00;42 148 752,00;3 275 608,00;7,77
95;2;Международный Финансовый Клуб;2618;Москва и обл.;44 458 973,00;41 603 483,00;2 855 490,00;6,86
96;-2;Бинбанк Диджитал;2827;Москва и обл.;42 589 742,00;42 683 397,00;-93 655,00;-0,22
97;-4;Национальный Резервный Банк;2170;Москва и обл.;41 566 271,00;42 706 682,00;-1 140 411,00;-2,67
98;16;Коммерцбанк (Евразия);3333;Москва и обл.;41 276 506,00;30 673 736,00;10 602 770,00;34,57
99;-1;Банк БФА;3038;Санкт-Петербург и обл.;40 149 380,00;38 372 563,00;1 776 817,00;4,63
100;0;Таврический Банк;2304;Санкт-Петербург и обл.;40 022 798,00;37 413 706,00;2 609 092,00;6,97
101;-2;Интеркоммерц Банк;1657;Москва и обл.;39 292 417,00;38 217 656,00;1 074 761,00;2,81
102;0;Экспресс-Волга;3085;Саратовская обл.;36 660 080,00;35 437 950,00;1 222 130,00;3,45
103;0;Дальневосточный Банк;843;Приморский край;34 951 269,00;34 231 187,00;720 082,00;2,10
104;4;Кубань Кредит;2518;Краснодарский край;34 469 924,00;32 336 653,00;2 133 271,00;6,60
105;0;Тойота Банк;3470;Москва и обл.;33 896 176,00;33 022 407,00;873 769,00;2,65
106;1;Челябинвестбанк;493;Челябинская обл.;32 920 364,00;32 554 445,00;365 919,00;1,12
107;-6;Меткомбанк (Череповец);901;Вологодская обл.;32 861 433,00;35 547 304,00;-2 685 871,00;-7,56
108;1;Народный Кредит;2401;Москва и обл.;32 717 736,00;32 259 433,00;458 303,00;1,42
109;2;Межтопэнергобанк;2956;Москва и обл.;32 346 703,00;31 746 299,00;600 404,00;1,89
110;2;Саровбизнесбанк;2048;Нижегородская обл.;32 168 918,00;31 729 347,00;439 571,00;1,39
111;-1;Челиндбанк;485;Челябинская обл.;32 140 255,00;31 973 699,00;166 556,00;0,52
112;-8;НС Банк;3124;Москва и обл.;31 437 665,00;33 075 210,00;-1 637 545,00;-4,95
113;0;Московский Областной Банк;1751;Москва и обл.;31 174 168,00;30 916 536,00;257 632,00;0,83
114;1;Современный Коммерческий Банк (бывш. ДжиИ Мани Банк);3316;Москва и обл.;30 490 002,00;30 418 867,00;71 135,00;0,23
115;1;Русский Международный Банк;3123;Москва и обл.;30 432 390,00;29 972 567,00;459 823,00;1,53
116;2;Интерпромбанк;3266;Москва и обл.;30 153 181,00;29 600 702,00;552 479,00;1,87
117;3;СДМ-Банк;1637;Москва и обл.;30 013 658,00;29 152 597,00;861 061,00;2,95
118;-1;Кедр;1574;Москва и обл.;29 968 433,00;29 955 950,00;12 483,00;0,04
119;-13;Стройкредит;18;Москва и обл.;29 823 464,00;32 933 543,00;-3 110 079,00;-9,44
120;5;Кольцо Урала;65;Свердловская обл.;29 442 513,00;28 100 429,00;1 342 084,00;4,78
121;0;Первый Республиканский Банк;1730;Москва и обл.;28 700 581,00;28 504 497,00;196 084,00;0,69
122;1;Газбанк;2316;Самарская обл.;28 632 623,00;28 265 277,00;367 346,00;1,30
123;-4;Крайинвестбанк;3360;Краснодарский край;28 604 692,00;29 466 415,00;-861 723,00;-2,92
124;0;Примсоцбанк;2733;Приморский край;28 573 371,00;28 153 134,00;420 237,00;1,49
125;5;Пушкино;391;Москва и обл.;28 008 084,00;26 162 362,00;1 845 722,00;7,05
126;-4;Севергазбанк;2816;Вологодская обл.;27 999 609,00;28 486 474,00;-486 865,00;-1,71
127;4;Смоленский Банк;2029;Смоленская обл.;27 973 530,00;26 093 559,00;1 879 971,00;7,20
128;-2;Далькомбанк;84;Хабаровский край;27 826 003,00;27 291 184,00;534 819,00;1,96
129;3;Мой Банк;2939;Москва и обл.;27 633 935,00;26 065 151,00;1 568 784,00;6,02
130;26;Мир Бизнес Банк;3396;Москва и обл.;27 358 569,00;20 112 288,00;7 246 281,00;36,03
131;6;Липецккомбанк;1242;Липецкая обл.;27 186 834,00;24 983 586,00;2 203 248,00;8,82
132;-5;Фора-Банк;1885;Москва и обл.;26 960 761,00;27 247 295,00;-286 534,00;-1,05
133;-4;Приморье;3001;Приморский край;26 829 027,00;26 849 914,00;-20 887,00;-0,08
134;-1;Банк АВБ;23;Самарская обл.;26 114 825,00;26 013 760,00;101 065,00;0,39
135;-7;Сведбанк;3064;Москва и обл.;25 935 727,00;27 017 288,00;-1 081 561,00;-4,00
136;-2;Москоммерцбанк;3365;Москва и обл.;25 592 602,00;25 490 090,00;102 512,00;0,40
137;2;Левобережный;1343;Новосибирская обл.;25 480 642,00;24 193 337,00;1 287 305,00;5,32
138;-3;АМБ Банк;3036;Москва и обл.;24 925 824,00;25 488 747,00;-562 923,00;-2,21
139;-3;М2М Прайвет Банк;1414;Москва и обл.;24 528 562,00;25 305 494,00;-776 932,00;-3,07
140;2;МБА-Москва;3395;Москва и обл.;24 276 964,00;23 177 575,00;1 099 389,00;4,74
141;-1;Акибанк;2587;Татарстан;23 774 628,00;24 124 111,00;-349 483,00;-1,45
142;4;Росэнергобанк;2211;Москва и обл.;23 546 726,00;21 119 296,00;2 427 430,00;11,49
143;-5;БФГ-Кредит;3068;Москва и обл.;22 980 015,00;24 352 891,00;-1 372 876,00;-5,64
144;0;Агропромкредит;2880;Москва и обл.;22 883 034,00;21 935 868,00;947 166,00;4,32
145;-4;Кредит Урал Банк;2584;Челябинская обл.;22 129 026,00;23 676 188,00;-1 547 162,00;-6,53
146;-3;Расчетная Палата РТС;3335;Москва и обл.;21 411 028,00;22 060 653,00;-649 625,00;-2,94
147;0;Солидарность;554;Самарская обл.;21 354 965,00;20 878 312,00;476 653,00;2,28
148;14;Натиксис Банк;3390;Москва и обл.;21 283 870,00;18 583 218,00;2 700 652,00;14,53
149;-1;ГПБ-Ипотека;2403;Москва и обл.;21 011 048,00;20 757 318,00;253 730,00;1,22
150;-5;Девон-Кредит;1972;Татарстан;21 000 603,00;21 584 089,00;-583 486,00;-2,70
151;6;Интерпрогрессбанк;600;Москва и обл.;20 952 715,00;20 080 871,00;871 844,00;4,34
152;0;Альта-Банк;2269;Москва и обл.;20 664 398,00;20 434 532,00;229 866,00;1,12
153;6;Образование;1521;Москва и обл.;20 571 487,00;19 068 287,00;1 503 200,00;7,88
154;-4;ФИА-Банк;2542;Самарская обл.;20 436 387,00;20 566 252,00;-129 865,00;-0,63
155;-4;БМВ Банк;3482;Москва и обл.;20 379 262,00;20 532 796,00;-153 534,00;-0,75
156;5;С банк;2581;Москва и обл.;20 199 597,00;18 736 499,00;1 463 098,00;7,81
157;-4;Урал ФД;249;Пермская обл.;19 899 011,00;20 168 876,00;-269 865,00;-1,34
158;0;Сумитомо Мицуи Рус Банк;3494;Москва и обл.;19 846 928,00;19 186 361,00;660 567,00;3,44
159;-10;Банк Проектного Финансирования;1677;Москва и обл.;19 571 155,00;20 589 390,00;-1 018 235,00;-4,95
160;-5;Экспобанк;2998;Москва и обл.;19 409 932,00;20 146 849,00;-736 917,00;-3,66
161;-1;Рост;2589;Москва и обл.;19 403 651,00;18 767 341,00;636 310,00;3,39
162;-8;ПЧРБ Банк;3291;Москва и обл.;19 211 988,00;20 163 275,00;-951 287,00;-4,72
163;0;Спурт Банк;2207;Татарстан;18 968 789,00;18 478 890,00;489 899,00;2,65
164;2;Русстройбанк;3205;Москва и обл.;18 622 082,00;17 881 497,00;740 585,00;4,14
165;0;Тимер Банк;1581;Татарстан;18 412 440,00;18 338 230,00;74 210,00;0,40
166;5;НОМОС-Региобанк;539;Хабаровский край;17 781 185,00;16 976 985,00;804 200,00;4,74
167;-3;БыстроБанк;1745;Удмуртия;17 472 205,00;18 417 019,00;-944 814,00;-5,13
168;1;Уралтрансбанк;812;Свердловская обл.;17 448 424,00;17 422 999,00;25 425,00;0,15
169;11;Европейский Трастовый Банк;2968;Москва и обл.;17 320 670,00;15 268 500,00;2 052 170,00;13,44
170;2;Энергобанк;67;Татарстан;17 293 771,00;16 628 784,00;664 987,00;4,00
171;2;Банк «Советский»;558;Санкт-Петербург и обл.;17 114 193,00;16 104 067,00;1 010 126,00;6,27
172;-5;Мосстройэкономбанк (М Банк);948;Москва и обл.;17 062 385,00;17 826 696,00;-764 311,00;-4,29
173;14;Огни Москвы;2328;Москва и обл.;16 850 758,00;14 523 858,00;2 326 900,00;16,02
174;3;ББР Банк;2929;Москва и обл.;16 746 963,00;15 555 086,00;1 191 877,00;7,66
175;-7;Морской Банк;77;Москва и обл.;16 338 114,00;17 563 160,00;-1 225 046,00;-6,98
176;-6;Модульбанк;1927;Костромская обл.;16 075 195,00;17 369 198,00;-1 294 003,00;-7,45
177;-3;Инвесткапиталбанк;2377;Башкортостан;16 013 838,00;15 785 845,00;227 993,00;1,44
178;-3;Норвик Банк;902;Кировская обл.;15 951 589,00;15 709 201,00;242 388,00;1,54
179;3;Мерседес-Бенц Банк Рус;3473;Москва и обл.;15 919 869,00;15 161 668,00;758 201,00;5,00
180;-1;Развитие-Столица;3013;Москва и обл.;15 829 739,00;15 366 070,00;463 669,00;3,02
181;19;Сетелем Банк;2168;Москва и обл.;15 640 193,00;13 642 680,00;1 997 513,00;14,64
182;4;Пойдем!;2534;Москва и обл.;15 500 980,00;14 526 426,00;974 554,00;6,71
183;24;Российский Кредит;324;Москва и обл.;15 434 234,00;13 166 016,00;2 268 218,00;17,23
184;-6;НБД-Банк;1966;Нижегородская обл.;15 400 591,00;15 389 763,00;10 828,00;0,07
185;4;Интехбанк;2705;Татарстан;15 392 912,00;14 376 010,00;1 016 902,00;7,07
186;5;Петербургский Социальный Коммерческий Банк;2551;Санкт-Петербург и обл.;15 380 445,00;14 318 567,00;1 061 878,00;7,42
187;5;Центркомбанк;2983;Москва и обл.;15 368 391,00;14 302 861,00;1 065 530,00;7,45
188;-4;Легион;3117;Москва и обл.;15 320 421,00;15 075 325,00;245 096,00;1,63
189;-1;Аверс;415;Татарстан;15 240 377,00;14 438 455,00;801 922,00;5,55
190;-9;Курскпромбанк;735;Курская обл.;15 230 668,00;15 210 029,00;20 639,00;0,14
191;2;Фининвест;671;Москва и обл.;15 151 802,00;14 281 674,00;870 128,00;6,09
192;-9;Алмазэргиэнбанк;2602;Саха (Якутия);15 137 992,00;15 158 443,00;-20 451,00;-0,13
193;1;Банк РСБ 24 (Русславбанк);1073;Москва и обл.;14 921 513,00;14 266 262,00;655 251,00;4,59
194;18;БКС Банк;101;Новосибирская обл.;14 843 135,00;12 846 990,00;1 996 145,00;15,54
195;-19;Аресбанк;2914;Москва и обл.;14 560 528,00;15 587 224,00;-1 026 696,00;-6,59
196;1;НК Банк;2755;Москва и обл.;14 551 488,00;13 892 196,00;659 292,00;4,75
197;1;Гута-Банк;256;Москва и обл.;14 540 323,00;13 693 793,00;846 530,00;6,18
198;-8;Эллипс Банк;1950;Нижегородская обл.;14 389 221,00;14 357 436,00;31 785,00;0,22
199;-14;Рост Банк;2888;Татарстан;14 388 829,00;14 835 324,00;-446 495,00;-3,01
200;-4;Новокузнецкий Муниципальный Банк;2865;Кемеровская обл.;14 376 134,00;14 024 805,00;351 329,00;2,51
201;15;Национальная Факторинговая Компания;3437;Москва и обл.;14 338 663,00;12 582 149,00;1 756 514,00;13,96
202;3;Гаранти Банк — Москва;3275;Москва и обл.;14 309 185,00;13 385 389,00;923 796,00;6,90
203;14;Энерготрансбанк;1307;Калининградская обл.;14 247 593,00;12 476 493,00;1 771 100,00;14,20
204;0;Банк ПСА Финанс Рус;3481;Москва и обл.;14 227 334,00;13 409 190,00;818 144,00;6,10
205;5;МАСТ-Банк;3267;Москва и обл.;14 209 685,00;13 013 858,00;1 195 827,00;9,19
206;-11;Ланта-Банк;1920;Москва и обл.;14 093 242,00;14 181 824,00;-88 582,00;-0,62
207;-8;Газэнергобанк;3252;Калужская обл.;13 888 582,00;13 655 643,00;232 939,00;1,71
208;-6;Первомайский;518;Краснодарский край;13 843 038,00;13 477 018,00;366 020,00;2,72
209;10;АйСиБиСи Банк;3475;Москва и обл.;13 825 886,00;12 389 761,00;1 436 125,00;11,59
210;3;Форштадт;2208;Оренбургская обл.;13 785 056,00;12 697 904,00;1 087 152,00;8,56
211;4;Углеметбанк;2997;Челябинская обл.;13 749 675,00;12 593 603,00;1 156 072,00;9,18
212;-6;Тольяттихимбанк;2507;Самарская обл.;13 650 654,00;13 350 844,00;299 810,00;2,25
213;-10;ВУЗ-Банк;1557;Свердловская обл.;13 471 588,00;13 427 264,00;44 324,00;0,33
214;-13;АйМаниБанк;1975;Республика Алтай;13 466 211,00;13 479 229,00;-13 018,00;-0,10
215;13;Нацинвестпромбанк;3077;Москва и обл.;13 143 336,00;11 244 653,00;1 898 683,00;16,89
216;5;АктивКапитал Банк;3006;Самарская обл.;13 102 069,00;12 191 319,00;910 750,00;7,47
217;6;Держава;2738;Москва и обл.;13 087 177,00;12 042 429,00;1 044 748,00;8,68
218;-9;Александровский;53;Санкт-Петербург и обл.;13 075 166,00;13 078 743,00;-3 577,00;-0,03
219;-1;Балтика;967;Санкт-Петербург и обл.;13 041 184,00;12 397 475,00;643 709,00;5,19
220;5;Финпромбанк (ФПБ Банк);2157;Москва и обл.;12 897 067,00;11 900 107,00;996 960,00;8,38
221;-10;Гранд Инвест Банк;3053;Москва и обл.;12 677 987,00;12 847 815,00;-169 828,00;-1,32
222;9;Квантмобайл Банк;1189;Омская обл.;12 466 682,00;10 966 762,00;1 499 920,00;13,68
223;-15;РосДорБанк;1573;Москва и обл.;12 442 128,00;13 126 298,00;-684 170,00;-5,21
224;-2;Западный;2598;Москва и обл.;12 336 949,00;12 091 887,00;245 062,00;2,03
225;-1;Энергомашбанк;52;Санкт-Петербург и обл.;12 292 595,00;11 983 475,00;309 120,00;2,58
226;0;ТЭМБР-Банк;2764;Москва и обл.;12 171 475,00;11 475 253,00;696 222,00;6,07
227;0;Солидарность (Москва);1555;Москва и обл.;12 066 145,00;11 293 089,00;773 056,00;6,85
228;-8;Алеф-Банк;2119;Москва и обл.;12 045 241,00;12 382 253,00;-337 012,00;-2,72
229;25;Эс-Би-Ай Банк;3185;Москва и обл.;11 866 844,00;9 314 852,00;2 551 992,00;27,40
230;48;Замоскворецкий;1640;Москва и обл.;11 804 204,00;7 908 503,00;3 895 701,00;49,26
231;-17;Национальный Банк Развития Бизнеса;2795;Москва и обл.;11 762 697,00;12 609 041,00;-846 344,00;-6,71
232;-3;Экопромбанк;2011;Пермская обл.;11 742 746,00;11 166 073,00;576 673,00;5,16
233;1;Интрастбанк;3144;Москва и обл.;11 682 591,00;10 731 547,00;951 044,00;8,86
234;2;Расчетно-Кредитный Банк;103;Москва и обл.;11 538 591,00;10 541 768,00;996 823,00;9,46
235;-3;Хлынов;254;Кировская обл.;11 263 173,00;10 829 696,00;433 477,00;4,00
236;1;МАК-Банк;1088;Москва и обл.;11 228 730,00;10 516 018,00;712 712,00;6,78
237;-2;Бэнк оф Чайна;2309;Москва и обл.;11 221 004,00;10 619 011,00;601 993,00;5,67
238;3;РосинтерБанк;226;Москва и обл.;11 113 264,00;10 086 672,00;1 026 592,00;10,18
239;-6;Московское Ипотечное Агентство;3344;Москва и обл.;11 109 146,00;10 769 334,00;339 812,00;3,16
240;-10;СтарБанк;548;Москва и обл.;11 084 677,00;11 164 288,00;-79 611,00;-0,71
241;3;Банк24.ру;2227;Свердловская обл.;10 996 695,00;9 976 999,00;1 019 696,00;10,22
242;0;СИАБ;3245;Санкт-Петербург и обл.;10 758 532,00;10 059 514,00;699 018,00;6,95
243;29;Платежный Центр;3166;Новосибирская обл.;10 727 407,00;8 176 683,00;2 550 724,00;31,20
244;-5;Прио-Внешторгбанк;212;Рязанская обл.;10 619 740,00;10 340 253,00;279 487,00;2,70
245;-7;Социнвестбанк;1132;Башкортостан;10 406 287,00;10 411 665,00;-5 378,00;-0,05
246;-6;ОФК Банк;2270;Москва и обл.;10 230 046,00;10 187 030,00;43 016,00;0,42
247;14;Адмиралтейский;3054;Москва и обл.;10 179 374,00;9 047 593,00;1 131 781,00;12,51
248;53;Ю Би Эс Банк;3463;Москва и обл.;10 136 328,00;7 089 335,00;3 046 993,00;42,98
249;-4;Роспромбанк;3204;Москва и обл.;9 930 995,00;9 771 132,00;159 863,00;1,64
250;-7;Экономбанк;1319;Саратовская обл.;9 866 752,00;10 040 965,00;-174 213,00;-1,74
251;13;Денизбанк Москва;3330;Москва и обл.;9 862 431,00;8 929 086,00;933 345,00;10,45
252;-4;Нефтяной Альянс;2859;Москва и обл.;9 736 982,00;9 607 143,00;129 839,00;1,35
253;-4;Росэксимбанк;2790;Москва и обл.;9 717 911,00;9 552 624,00;165 287,00;1,73
254;-3;БайкалБанк;2632;Бурятия;9 712 967,00;9 424 677,00;288 290,00;3,06
255;-9;Международный Банк Развития;2704;Москва и обл.;9 638 602,00;9 698 849,00;-60 247,00;-0,62
256;0;Новосибирский Муниципальный Банк;2786;Новосибирская обл.;9 582 700,00;9 165 733,00;416 967,00;4,55
257;2;Экспресс;3084;Дагестан;9 491 206,00;9 113 753,00;377 453,00;4,14
258;-3;Европейский;1616;Калининградская обл.;9 455 476,00;9 218 003,00;237 473,00;2,58
259;-9;Банк Оренбург;3269;Оренбургская обл.;9 407 440,00;9 505 957,00;-98 517,00;-1,04
