Регион: все регионы
Показатель: Активы нетто

Позиция в рейтинге;Изменение позиции в рейтинге;Название банка;Номер лицензии;Регион регистрации;Июль, 2011, тыс. рублей;Июнь, 2011, тыс. рублей;Изменение, тыс. рублей;Изменение, %
1;0;СберБанк;1481;Москва и обл.;9 525 245 879,00;9 382 264 891,00;142 980 988,00;1,52
2;0;ВТБ;1000;Санкт-Петербург и обл.;3 307 648 455,00;3 168 164 137,00;139 484 318,00;4,40
3;0;Газпромбанк;354;Москва и обл.;1 904 872 651,00;1 857 262 691,00;47 609 960,00;2,56
4;0;Россельхозбанк;3349;Москва и обл.;1 243 104 070,00;1 213 104 781,00;29 999 289,00;2,47
5;0;ВТБ 24;1623;Москва и обл.;1 031 419 173,00;1 004 670 510,00;26 748 663,00;2,66
6;1;Альфа-Банк;1326;Москва и обл.;892 755 370,00;916 199 545,00;-23 444 175,00;-2,56
7;-1;БМ-Банк;2748;Москва и обл.;882 136 893,00;917 604 616,00;-35 467 723,00;-3,87
8;0;ЮниКредит Банк;1;Москва и обл.;684 967 857,00;670 230 889,00;14 736 968,00;2,20
9;0;Райффайзенбанк;3292;Москва и обл.;548 929 585,00;546 934 444,00;1 995 141,00;0,36
10;0;Промсвязьбанк;3251;Москва и обл.;512 401 283,00;507 478 393,00;4 922 890,00;0,97
11;0;Росбанк;2272;Москва и обл.;444 272 170,00;426 601 293,00;17 670 877,00;4,14
12;1;Банк Уралсиб;30;Москва и обл.;441 196 083,00;416 929 732,00;24 266 351,00;5,82
13;-1;Транскредитбанк;2142;Москва и обл.;429 352 771,00;421 550 106,00;7 802 665,00;1,85
14;1;Банк Открытие;2209;Москва и обл.;406 568 131,00;388 566 865,00;18 001 266,00;4,63
15;-1;МДМ Банк;2562;Новосибирская обл.;380 647 701,00;388 662 313,00;-8 014 612,00;-2,06
16;0;Банк «Санкт-Петербург»;436;Санкт-Петербург и обл.;302 480 649,00;299 582 205,00;2 898 444,00;0,97
17;0;Ак Барс;2590;Татарстан;275 708 675,00;274 868 013,00;840 662,00;0,31
18;1;Россия;328;Санкт-Петербург и обл.;267 105 231,00;252 826 810,00;14 278 421,00;5,65
19;-1;Ситибанк;2557;Москва и обл.;233 237 123,00;260 047 289,00;-26 810 166,00;-10,31
20;3;Московский Кредитный Банк;1978;Москва и обл.;207 674 271,00;189 616 480,00;18 057 791,00;9,52
21;0;Ханты-Мансийский банк Открытие;1971;Тюменская обл.;207 444 945,00;199 272 191,00;8 172 754,00;4,10
22;-2;Петрокоммерц;1776;Москва и обл.;205 213 833,00;204 797 012,00;416 821,00;0,20
