iter	Passed	Remaining
424	2107	2850
425	2112	2846
426	2116	2840
427	2121	2835
428	2126	2829
429	2130	2824
430	2136	2820
431	2141	2815
432	2146	2810
433	2151	2806
434	2156	2801
435	2161	2796
436	2166	2791
437	2172	2787
438	2177	2782
439	2182	2777
440	2187	2772
441	2192	2767
442	2197	2762
443	2203	2759
444	2210	2756
445	2214	2751
446	2219	2746
447	2224	2740
448	2229	2735
449	2234	2730
450	2239	2725
451	2244	2721
452	2250	2717
453	2254	2711
454	2259	2706
455	2267	2705
456	2272	2700
457	2277	2695
458	2282	2690
459	2287	2685
460	2294	2682
461	2299	2678
462	2304	2672
463	2308	2667
464	2313	2662
465	2318	2656
466	2322	2651
467	2328	2646
468	2333	2641
469	2337	2636
470	2342	2630
471	2346	2625
472	2352	2620
473	2356	2615
474	2362	2610
475	2366	2605
476	2371	2599
477	2375	2594
478	2381	2589
479	2385	2584
480	2390	2579
481	2396	2575
482	2401	2570
483	2405	2564
484	2411	2560
485	2416	2556
486	2421	2550
487	2426	2546
488	2432	2541
489	2437	2537
490	2443	2533
491	2448	2528
492	2453	2523
493	2458	2518
494	2463	2512
495	2469	2508
496	2474	2504
497	2479	2499
498	2484	2494
499	2489	2489
500	2494	2484
501	2499	2479
502	2506	2476
503	2511	2471
504	2517	2467
505	2522	2462
506	2528	2458
507	2534	2454
508	2538	2449
509	2543	2444
510	2548	2439
511	2553	2434
512	2558	2429
513	2564	2424
514	2569	2419
515	2575	2415
516	2580	2411
517	2586	2406
518	2591	2401
519	2596	2396
520	2601	2391
521	2605	2386
522	2611	2381
523	2616	2376
524	2622	2372
525	2627	2367
526	2632	2362
527	2637	2357
528	2642	2353
529	2648	2348
530	2653	2344
531	2659	2339
532	2664	2334
533	2669	2329
534	2674	2324
535	2679	2319
536	2684	2314
537	2689	2309
538	2694	2304
539	2699	2299
540	2703	2294
541	2709	2289
542	2714	2284
543	2719	2279
544	2724	2274
545	2730	2270
546	2735	2265
547	2740	2260
548	2745	2255
549	2751	2251
550	2756	2246
551	2760	2240
552	2765	2235
553	2771	2231
554	2776	2226
555	2781	2220
556	2786	2215
557	2791	2211
558	2796	2206
559	2802	2202
560	2807	2196
561	2812	2191
562	2817	2186
563	2822	2181
564	2827	2177
565	2832	2172
566	2837	2167
567	2843	2162
568	2848	2157
569	2853	2152
570	2859	2148
571	2864	2143
572	2869	2138
573	2875	2134
574	2881	2129
575	2886	2124
576	2891	2119
577	2897	2115
578	2903	2111
579	2909	2107
580	2915	2102
581	2922	2098
582	2927	2093
583	2931	2088
584	2937	2083
585	2942	2079
586	2947	2073
587	2952	2068
588	2957	2063
589	2961	2058
590	2966	2053
591	2971	2048
592	2984	2048
593	2989	2043
594	2995	2038
595	2999	2033
596	3004	2028
597	3009	2023
598	3015	2018
599	3020	2013
600	3024	2008
601	3030	2003
602	3035	1998
603	3040	1993
604	3045	1988
605	3050	1983
606	3056	1978
607	3063	1975
608	3068	1969
609	3072	1964
610	3078	1959
611	3083	1954
612	3088	1950
613	3094	1945
614	3099	1940
615	3104	1934
616	3109	1930
617	3114	1925
618	3119	1920
619	3124	1915
620	3129	1910
621	3134	1904
622	3139	1899
623	3145	1895
624	3149	1889
625	3154	1884
626	3159	1879
627	3165	1874
628	3169	1869
629	3174	1864
630	3179	1859
631	3185	1854
632	3191	1850
633	3197	1845
634	3202	1840
635	3207	1835
636	3212	1830
637	3216	1825
638	3221	1819
639	3226	1815
640	3233	1810
641	3239	1806
642	3244	1801
643	3250	1796
644	3255	1791
645	3260	1786
646	3268	1783
647	3273	1778
648	3278	1773
649	3283	1767
650	3287	1762
651	3293	1758
652	3299	1753
653	3304	1748
654	3309	1743
655	3313	1737
656	3319	1732
657	3323	1727
658	3328	1722
659	3333	1717
660	3338	1712
661	3343	1707
662	3348	1701
663	3353	1696
664	3358	1691
665	3362	1686
666	3368	1681
667	3373	1676
668	3377	1671
669	3382	1666
670	3387	1660
671	3392	1656
672	3398	1651
673	3403	1645
674	3407	1640
675	3412	1635
676	3417	1630
677	3422	1625
678	3427	1620
679	3432	1615
680	3436	1609
681	3441	1604
682	3447	1599
683	3452	1595
684	3458	1590
685	3463	1585
686	3467	1579
687	3472	1574
688	3478	1570
689	3483	1565
690	3488	1560
691	3493	1555
692	3498	1549
693	3503	1544
694	3508	1539
695	3514	1534
696	3518	1529
697	3523	1524
698	3528	1519
699	3533	1514
700	3537	1508
701	3542	1503
702	3546	1498
703	3552	1493
704	3557	1488
705	3562	1483
706	3567	1478
707	3572	1473
708	3577	1468
709	3582	1463
710	3588	1458
711	3593	1453
712	3599	1448
713	3603	1443
714	3608	1438
715	3614	1433
716	3619	1428
717	3624	1423
718	3630	1418
719	3635	1413
720	3640	1408
721	3645	1403
722	3650	1398
723	3655	1393
724	3660	1388
725	3665	1383
726	3670	1378
727	3676	1373
728	3681	1368
729	3686	1363
730	3692	1358
731	3697	1353
732	3703	1349
733	3708	1343
734	3713	1338
735	3717	1333
736	3723	1328
737	3728	1323
738	3733	1318
739	3738	1313
740	3743	1308
741	3747	1303
742	3752	1298
743	3758	1293
744	3765	1288
745	3771	1284
746	3776	1279
747	3781	1273
748	3786	1268
749	3790	1263
750	3795	1258
751	3800	1253
752	3805	1248
753	3810	1243
754	3815	1238
755	3819	1232
756	3824	1227
757	3829	1222
758	3833	1217
759	3838	1212
760	3843	1206
761	3847	1201
762	3853	1196
763	3858	1191
764	3863	1186
765	3869	1181
766	3874	1176
767	3878	1171
768	3884	1166
769	3890	1162
770	3895	1157
771	3901	1152
772	3905	1146
773	3910	1141
774	3915	1136
775	3920	1131
776	3925	1126
777	3929	1121
778	3934	1116
779	3939	1111
780	3944	1105
781	3950	1101
782	3954	1096
783	3960	1091
784	3965	1086
785	3970	1080
786	3974	1075
787	3979	1070
788	3985	1065
789	3989	1060
790	3995	1055
791	4000	1050
792	4004	1045
793	4009	1040
794	4015	1035
795	4019	1030
796	4024	1025
797	4030	1020
798	4035	1015
799	4040	1010
800	4045	1005
801	4050	1000
802	4055	994
803	4061	990
804	4065	984
805	4070	979
806	4075	974
807	4080	969
808	4086	964
809	4091	959
810	4097	954
811	4102	949
812	4107	944
813	4112	939
814	4117	934
815	4122	929
816	4126	924
817	4131	919
818	4136	914
819	4141	909
820	4146	904
821	4151	898
822	4156	893
823	4161	888
824	4165	883
825	4170	878
826	4175	873
827	4179	868
828	4184	863
829	4189	858
830	4194	853
831	4200	848
832	4205	843
833	4210	837
834	4214	832
835	4220	827
836	4225	822
837	4229	817
838	4237	813
839	4242	808
840	4247	803
841	4253	798
842	4258	793
843	4263	788
844	4268	782
845	4272	777
846	4277	772
847	4283	767
848	4287	762
849	4292	757
850	4300	753
851	4305	747
852	4310	742
853	4315	737
854	4320	732
855	4326	727
856	4332	722
857	4337	717
858	4342	712
859	4347	707
860	4352	702
861	4356	697
862	4361	692
863	4367	687
864	4371	682
865	4376	677
866	4381	672
867	4386	667
868	4392	662
869	4398	657
870	4403	652
871	4407	647
872	4412	641
873	4418	636
874	4423	631
875	4428	626
876	4433	621
877	4438	616
878	4443	611
879	4448	606
880	4453	601
881	4458	596
882	4463	591
883	4468	586
884	4473	581
885	4478	576
886	4483	571
887	4488	566
888	4494	561
889	4499	556
890	4504	550
891	4508	545
892	4513	540
893	4518	535
894	4524	530
895	4529	525
896	4534	520
897	4539	515
898	4544	510
899	4548	505
900	4554	500
901	4559	495
902	4564	490
903	4570	485
904	4575	480
905	4580	475
906	4586	470
907	4590	465
908	4595	460
909	4601	455
910	4606	450
911	4611	444
912	4617	439
913	4622	434
914	4626	429
915	4631	424
916	4636	419
917	4641	414
918	4647	409
919	4651	404
920	4657	399
921	4662	394
922	4667	389
923	4673	384
924	4677	379
925	4682	374
926	4687	369
927	4691	364
928	4697	359
929	4702	353
930	4707	348
931	4711	343
932	4717	338
933	4721	333
934	4726	328
935	4731	323
936	4735	318
937	4740	313
938	4744	308
939	4749	303
940	4754	298
941	4759	293
942	4764	287
943	4768	282
944	4774	277
945	4779	272
946	4783	267
947	4788	262
948	4793	257
949	4798	252
950	4803	247
951	4808	242
952	4813	237
953	4817	232
954	4823	227
955	4828	222
956	4833	217
957	4838	212
958	4843	207
959	4848	202
960	4853	196
961	4859	191
962	4864	186
963	4870	181
964	4874	176
965	4879	171
966	4884	166
967	4889	161
968	4895	156
969	4899	151
970	4904	146
971	4909	141
972	4913	136
973	4919	131
974	4924	126
975	4928	121
976	4933	116
977	4939	111
978	4944	106
979	4948	100
980	4953	95
981	4958	90
982	4963	85
983	4969	80
984	4973	75
985	4979	70
986	4984	65
987	4989	60
988	4993	55
989	4999	50
990	5004	45
991	5008	40
992	5013	35
993	5018	30
994	5022	25
995	5027	20
996	5033	15
997	5040	10
998	5044	5
999	5050	0
