iter	Passed	Remaining
400	18378	27452
401	18423	27406
402	18474	27368
403	18518	27319
404	18563	27271
405	18610	27228
406	18653	27178
407	18690	27119
408	18731	27066
409	18783	27029
410	18829	26983
411	18877	26941
412	18926	26899
413	18968	26849
414	19018	26809
415	19065	26765
416	19111	26719
417	19153	26667
418	19199	26622
419	19245	26577
420	19328	26582
421	19378	26542
422	19430	26505
423	19479	26462
424	19533	26427
425	19579	26381
426	19644	26361
427	19694	26321
428	19738	26272
429	19791	26235
430	19842	26195
431	19886	26147
432	19936	26105
433	19984	26063
434	20031	26018
435	20079	25973
436	20126	25929
437	20168	25878
438	20211	25828
439	20256	25780
440	20296	25727
441	20363	25708
442	20400	25650
443	20443	25601
444	20488	25553
445	20533	25505
446	20583	25464
447	20641	25433
448	20684	25383
449	20734	25342
450	20784	25300
451	20828	25252
452	20878	25210
453	20925	25165
454	20972	25120
455	21021	25078
456	21062	25025
457	21100	24970
458	21142	24919
459	21186	24871
460	21226	24817
461	21272	24771
462	21315	24722
463	21388	24707
464	21432	24658
465	21471	24604
466	21514	24555
467	21557	24505
468	21599	24455
469	21651	24415
470	21698	24369
471	21744	24323
472	21791	24279
473	21834	24229
474	21878	24181
475	21921	24131
476	21966	24084
477	22009	24035
478	22051	23985
479	22094	23935
480	22136	23885
481	22174	23831
482	22214	23777
483	22256	23727
484	22295	23674
485	22335	23622
486	22375	23570
487	22459	23563
488	22499	23511
489	22540	23460
490	22585	23413
491	22637	23373
492	22684	23328
493	22726	23278
494	22771	23231
495	22818	23186
496	22862	23138
497	22908	23092
498	22954	23046
499	22997	22997
500	23038	22946
501	23081	22897
502	23125	22849
503	23172	22804
504	23218	22758
505	23259	22708
506	23301	22657
507	23347	22612
508	23392	22565
509	23475	22554
510	23524	22511
511	23571	22466
512	23621	22424
513	23668	22378
514	23716	22335
515	23762	22288
516	23806	22240
517	23849	22192
518	23896	22147
519	23943	22102
520	23988	22054
521	24040	22014
522	24084	21966
523	24132	21921
524	24173	21871
525	24215	21821
526	24262	21776
527	24304	21726
528	24340	21671
529	24381	21621
530	24437	21584
531	24516	21567
532	24563	21521
533	24608	21474
534	24655	21429
535	24704	21386
536	24751	21340
537	24797	21294
538	24841	21246
539	24893	21205
540	24937	21158
541	24987	21114
542	25026	21063
543	25069	21014
544	25110	20963
545	25152	20914
546	25194	20864
547	25255	20831
548	25294	20778
549	25329	20724
550	25374	20676
551	25412	20624
552	25464	20583
553	25501	20530
554	25583	20513
555	25625	20463
556	25665	20412
557	25711	20366
558	25749	20314
559	25787	20261
560	25826	20210
561	25864	20157
562	25901	20104
563	25947	20058
564	25996	20014
565	26040	19967
566	26088	19923
567	26138	19880
568	26180	19830
569	26225	19784
570	26267	19735
571	26312	19688
572	26362	19645
573	26408	19599
574	26453	19552
575	26500	19507
576	26538	19455
577	26622	19437
578	26671	19392
579	26710	19342
580	26751	19292
581	26792	19242
582	26833	19192
583	26871	19141
584	26914	19093
585	26959	19046
586	27004	18999
587	27048	18952
588	27092	18905
589	27134	18856
590	27172	18804
591	27213	18755
592	27257	18707
593	27299	18659
594	27342	18611
595	27381	18560
596	27421	18510
597	27462	18461
598	27499	18409
599	27541	18360
600	27585	18313
601	27674	18296
602	27714	18246
603	27756	18197
604	27794	18146
605	27830	18094
606	27874	18047
607	27913	17997
608	27951	17946
609	27992	17896
610	28029	17844
611	28066	17793
612	28109	17746
613	28157	17701
614	28200	17653
615	28241	17604
616	28279	17554
617	28320	17505
618	28360	17456
619	28399	17405
620	28449	17362
621	28486	17311
622	28524	17260
623	28560	17209
624	28603	17161
625	28645	17114
626	28967	17232
627	29008	17183
628	29048	17133
629	29087	17083
630	29130	17035
631	29168	16984
632	29207	16933
633	29245	16883
634	29292	16837
635	29333	16788
636	29377	16740
637	29430	16698
638	29468	16648
639	29508	16598
640	29553	16551
641	29595	16503
642	29631	16451
643	29675	16404
644	29713	16353
645	29757	16306
646	29799	16258
647	29841	16210
648	29881	16160
649	29927	16114
650	30029	16098
651	30074	16052
652	30119	16005
653	30156	15954
654	30198	15906
655	30242	15858
656	30288	15812
657	30328	15763
658	30370	15715
659	30414	15667
660	30457	15620
661	30497	15571
662	30542	15524
663	30586	15477
664	30629	15429
665	30669	15380
666	30711	15332
667	30755	15285
668	30797	15237
669	30837	15188
670	30890	15145
671	30926	15094
672	30964	15045
673	31053	15020
674	31097	14972
675	31143	14926
676	31187	14879
677	31230	14832
678	31271	14783
679	31315	14736
680	31356	14688
681	31392	14637
682	31445	14594
683	31482	14544
684	31530	14499
685	31576	14453
686	31613	14403
687	31653	14354
688	31695	14306
689	31733	14257
690	31775	14209
691	31819	14162
692	31860	14114
693	31896	14063
694	31938	14016
695	31978	13967
696	32016	13918
697	32112	13894
698	32163	13850
699	32213	13805
700	32260	13760
701	32306	13714
702	32351	13667
703	32398	13622
704	32444	13576
705	32484	13527
706	32525	13479
707	32574	13434
708	32618	13387
709	32665	13342
710	32709	13295
711	32752	13248
712	32801	13203
713	32852	13159
714	32898	13113
715	32948	13068
716	33001	13025
717	33043	12978
718	33090	12932
719	33189	12907
720	33232	12859
721	33274	12812
722	33319	12765
723	33365	12719
724	33407	12671
725	33472	12632
726	33512	12584
727	33555	12537
728	33599	12490
729	33637	12441
730	33682	12394
731	33725	12347
732	33760	12297
733	33800	12249
734	33839	12200
735	33878	12152
736	33922	12105
737	33964	12057
738	34006	12010
739	34047	11962
740	34094	11916
741	34135	11869
742	34206	11831
743	34280	11795
744	34324	11748
745	34365	11700
746	34417	11656
747	34467	11611
748	34505	11563
749	34544	11514
750	34592	11469
751	34632	11421
752	34674	11373
753	34721	11328
754	34760	11279
755	34803	11232
756	34848	11186
757	34887	11138
758	34929	11090
759	34971	11043
760	35008	10994
761	35050	10947
762	35094	10901
763	35140	10854
764	35177	10806
765	35220	10759
766	35323	10730
767	35361	10682
768	35403	10634
769	35448	10588
770	35483	10539
771	35525	10491
772	35565	10444
773	35606	10396
774	35651	10350
775	35693	10303
776	35731	10254
777	35777	10209
778	35814	10160
779	35854	10112
780	35898	10066
781	35939	10018
782	35978	9970
783	36019	9923
784	36060	9876
785	36098	9828
786	36138	9780
787	36183	9734
788	36223	9687
789	36262	9639
790	36362	9607
791	36404	9560
792	36449	9514
793	36492	9467
794	36530	9419
795	36568	9371
796	36612	9325
797	36655	9278
798	36699	9232
799	36745	9186
800	36781	9138
801	36824	9091
802	36871	9045
803	36914	8998
804	36953	8951
805	36998	8905
806	37037	8857
807	37074	8809
808	37115	8762
809	37165	8717
810	37206	8670
811	37251	8624
812	37288	8576
813	37331	8530
814	37429	8496
815	37475	8450
816	37517	8403
817	37564	8357
818	37602	8310
819	37642	8263
820	37683	8215
821	37726	8169
822	37764	8121
823	37801	8074
824	37843	8027
825	37885	7980
826	37923	7933
827	37970	7887
828	38011	7840
829	38047	7792
830	38090	7746
831	38128	7699
832	38174	7653
833	38219	7607
834	38258	7560
835	38296	7512
836	38341	7466
837	38377	7419
838	38416	7371
839	38526	7338
840	38569	7291
841	38614	7245
842	38657	7199
843	38696	7152
844	38737	7105
845	38775	7058
846	38815	7011
847	38853	6964
848	38894	6917
849	38932	6870
850	38983	6825
851	39026	6779
852	39069	6732
853	39110	6686
854	39154	6640
855	39194	6593
856	39242	6548
857	39279	6500
858	39323	6454
859	39362	6407
860	39401	6360
861	39451	6315
862	39491	6269
863	39599	6233
864	39640	6186
865	39679	6139
866	39720	6093
867	39766	6047
868	39805	6000
869	39847	5954
870	39892	5908
871	39933	5861
872	39975	5815
873	40015	5768
874	40058	5722
875	40106	5677
876	40150	5631
877	40189	5584
878	40229	5537
879	40270	5491
880	40311	5445
881	40352	5398
882	40394	5352
883	40436	5306
884	40477	5259
885	40514	5212
886	40561	5167
887	40678	5130
888	40715	5083
889	40759	5037
890	40795	4990
891	40836	4944
892	40877	4897
893	40915	4851
894	40954	4804
895	41000	4758
896	41039	4712
897	41077	4665
898	41117	4619
899	41160	4573
900	41203	4527
901	41244	4481
902	41280	4434
903	41317	4387
904	41360	4341
905	41400	4295
906	41436	4248
907	41479	4202
908	41518	4156
909	41557	4110
910	41601	4064
911	41639	4017
912	41755	3978
913	41800	3933
914	41842	3886
915	41881	3840
916	41923	3794
917	41962	3748
